,ticker,tradeDate,real_return,market_value,pred
405,600026,2014-07-31,0.14004376,15558821907.1,-0.36945927
669,600833,2014-07-31,0.13964386,2380331322.49,-0.30314457
582,601099,2014-07-31,0.13774105,17087460405.8,-0.37332478
699,603766,2014-07-31,0.13740458,9432000000.0,-0.46904445
529,600482,2014-07-31,0.13737201,6227773600.0,-0.32441303
852,600598,2014-07-31,0.13691275,13243715322.0,-0.48087883
671,600835,2014-07-31,0.13581731,17018382085.1,-0.5783945
767,600640,2014-07-31,0.13527697,9181501929.6,-0.36182797
754,600423,2014-07-31,0.13493976,1657292178.95,-0.27544218
160,600754,2014-07-31,0.13490725,10731652764.6,-0.401544
732,600198,2014-07-31,0.13468248,12640614403.8,-0.42807215
29,600256,2014-07-31,0.13444302,40779326782.0,-0.7815533
48,600479,2014-07-31,0.13387755,3734035200.0,-0.31997123
47,600410,2014-07-31,0.13321648,7335470150.68,-0.3961219
316,600218,2014-07-31,0.13292434,2771652000.0,-0.30238223
551,600681,2014-07-31,0.1328125,1287565056.0,-0.251388
593,601928,2014-07-31,0.13276231,23769366000.0,-0.3649337
650,600548,2014-07-31,0.13253012,9050196852.9,-0.34008452
790,600998,2014-07-31,0.13184438,22341478879.9,-0.34170166
16,600096,2014-07-31,0.13175165,8964880638.04,-0.39105704
178,600894,2014-07-31,0.13058419,10009781857.8,-0.4260709
909,600236,2014-07-31,0.13043478,6818544046.86,-0.30086648
549,600679,2014-07-31,0.13005143,4812763599.82,-0.29688472
17,600097,2014-07-31,0.12988193,2230602890.01,-0.34128258
67,600722,2014-07-31,0.12958963,3149880099.88,-0.37283853
104,600203,2014-07-31,0.12956419,2409283166.64,-0.43029982
744,600306,2014-07-31,0.12932138,1391264949.58,-0.26040044
606,600222,2014-07-31,0.12801205,3297483175.68,-0.38990894
806,600112,2014-07-31,0.12754029,7266353152.42,-0.38854375
127,600550,2014-07-31,0.12684989,6494246985.38,-0.26916647
661,600735,2014-07-31,0.12555066,2276352967.28,-0.3118649
905,600232,2014-07-31,0.12475634,1871006130.72,-0.27327046
