,ticker,tradeDate,real_return,market_value,pred
175,600890,2013-04-26,0.77125506,2861222929.5,-0.27786854
747,600390,2013-04-26,0.74278438,2300972616.1,-0.37748456
45,600388,2013-04-26,0.72490143,7049315700.0,-0.8355248
317,600280,2013-04-26,0.60904465,5289517504.15,-0.475996
487,601238,2013-04-26,0.60034904,36872665155.8,-0.27621898
872,600699,2013-04-26,0.5448505,5744387697.51,-0.2646182
380,600880,2013-04-26,0.54227405,6461914992.33,-0.5514748
778,600860,2013-04-26,0.53560372,2726120000.0,-0.24486917
875,600763,2013-04-26,0.50964467,3158304000.0,-0.29427293
919,600460,2013-04-26,0.49655172,3776496000.0,-0.40756735
614,600292,2013-04-26,0.49441341,7330016147.52,-0.5738375
62,600658,2013-04-26,0.47286349,4530560709.62,-0.26906517
443,600521,2013-04-26,0.44588415,9343876790.72,-0.36408937
876,600764,2013-04-26,0.44283122,1816795681.84,-0.22329067
223,600243,2013-04-26,0.44,1184250000.0,-0.20010342
647,600517,2013-04-26,0.43818932,8137792971.44,-0.38386083
37,600375,2013-04-26,0.43685684,3140432220.78,-0.2746219
70,600728,2013-04-26,0.43634686,3932755663.92,-0.460672
877,600765,2013-04-26,0.43059019,9359378496.0,-0.5444405
103,600200,2013-04-26,0.41039175,7546770000.0,-1.2081205
924,600804,2013-04-26,0.39761647,12354470162.7,-0.9394578
773,600645,2013-04-26,0.39503887,8779358220.3,-0.48613715
555,600686,2013-04-26,0.37974684,3496517066.3,-0.3103276
460,600707,2013-04-26,0.37263158,3499599018.0,-0.17333415
122,600366,2013-04-26,0.36812009,7197823522.5,-0.4533719
46,600389,2013-04-26,0.35877085,5183640000.0,-0.44853264
786,600990,2013-04-26,0.35767790000000005,2511936000.0,-0.32695508
368,600787,2013-04-26,0.35276074,6063040531.84,-0.3297702
739,600268,2013-04-26,0.35214008,3265166670.76,-0.21424991
282,600979,2013-04-26,0.35148909999999994,3747397002.12,-0.24116424
601,600129,2013-04-26,0.35074627,2860189800.0,-0.201656
192,601222,2013-04-26,0.35073556,4664957700.0,-0.38418823
219,600201,2013-04-26,0.35016648,5060285038.6,-0.41051102
32,600313,2013-04-26,0.34960422,2784037339.84,-0.4133157
561,600703,2013-04-26,0.34943182,20331713966.1,-0.7174446
139,600584,2013-04-26,0.33548387,3967071286.5,-0.23096015
78,600797,2013-04-26,0.32762836,3432792194.55,-0.28898296
933,601886,2013-04-26,0.32649388,12432000000.0,-0.48299453
109,600270,2013-04-26,0.32614943,6302152771.2,-0.38874137
240,600405,2013-04-26,0.32592593,2088755407.8,-0.57081664
159,600753,2013-04-26,0.32417582,931840000.0,-0.27284476
424,600316,2013-04-26,0.32328939,11423634176.2,-0.41975272
347,600563,2013-04-26,0.32079963,3694500000.0,-0.35898983
746,600340,2013-04-26,0.31361868,22665339117.0,-0.56363523
431,600420,2013-04-26,0.30867518,4278595687.74,-0.27081794
350,600568,2013-04-26,0.30788804,2878540447.2,-0.43559948
686,601117,2013-04-26,0.3059867,44495660000.0,-0.5479959
127,600475,2013-04-26,0.30555556,2396160000.0,-0.20875831
541,600671,2013-04-26,0.3040153,1273807137.1,-0.28866217
725,600089,2013-04-26,0.30144953,17500117337.6,-0.35872427
677,600885,2013-04-26,0.29953488,5123871797.75,-0.29356346
817,600167,2013-04-26,0.29905561,2010830000.0,-0.24167669
734,600261,2013-04-26,0.29850746,6918463737.6,-0.6299586
471,600783,2013-04-26,0.29688889,8374042057.5,-0.30962852
75,600794,2013-04-26,0.29473684,3154440068.5,-0.2498365
241,600406,2013-04-26,0.29198683,28706307589.1,-1.0075035
44,600387,2013-04-26,0.28964942,4625478000.0,-0.36400586
812,600119,2013-04-26,0.28793774,1580036000.0,-0.18172362
621,600301,2013-04-26,0.28461538,1528462910.0,-0.31073254
709,600061,2013-04-26,0.28354978,1982363182.8,-0.18645409
750,600396,2013-04-26,0.28218695,1931202000.0,-0.25242817
299,603128,2013-04-26,0.28195489,2128000000.0,-0.35322854
322,600285,2013-04-26,0.28091873,2592935869.48,-0.22429444
307,600168,2013-04-26,0.2807571,2796891000.0,-0.26865983
508,600057,2013-04-26,0.28051948,3310384000.0,-0.2647744
226,600248,2013-04-26,0.27826087,2939325480.0,-0.26238233
447,600527,2013-04-26,0.27765237,3553255997.7,-0.3830651
784,600867,2013-04-26,0.27657647,10983407172.1,-0.40828174
120,600351,2013-04-26,0.2761194,3709120000.0,-0.32414603
900,600133,2013-04-26,0.2754717,3139586593.7,-0.22467837
907,600233,2013-04-26,0.2726378,1676400000.0,-0.78418756
511,600088,2013-04-26,0.27135231,3725183280.0,-0.25450414
138,600583,2013-04-26,0.27005092,24659049600.0,-0.3444991
532,600501,2013-04-26,0.26719577,2942984016.0,-0.331843
820,600183,2013-04-26,0.26600985,5777454257.4,-0.3254375
843,600509,2013-04-26,0.26545455,7471996834.5,-0.27760613
286,601231,2013-04-26,0.26179084,14801519208.6,-0.8439133
674,600838,2013-04-26,0.26126126,1779915995.64,-0.22466022
564,600771,2013-04-26,0.26111111,3949696695.6,-0.2917754
887,600846,2013-04-26,0.25959368,2767693515.88,-0.21354133
315,600218,2013-04-26,0.25846501,2510924000.0,-0.64691395
593,601928,2013-04-26,0.25839416,17432565000.0,-0.28472358
340,600435,2013-04-26,0.25837743,8444444400.0,-0.9610293
543,600674,2013-04-26,0.25723831,17714569065.8,-0.3420784
333,600367,2013-04-26,0.25524862,2635360000.0,-0.17914584
574,600872,2013-04-26,0.25322581,4939150602.8,-0.43243784
882,600791,2013-04-26,0.25229358,1974556800.0,-0.27468964
577,600879,2013-04-26,0.25183374,6634313613.12,-0.2792298
280,600976,2013-04-26,0.25070946,2676805570.0,-0.373294
217,600158,2013-04-26,0.24951267,4328362463.49,-0.31816557
47,600410,2013-04-26,0.24879615,4038778830.38,-0.27925605
886,600845,2013-04-26,0.24558490000000002,4619429293.05,-0.34288698
819,600182,2013-04-26,0.24416342,3495200000.0,-0.42367738
548,600679,2013-04-26,0.24005682,2489482420.48,-0.23200396
776,600649,2013-04-26,0.23706177,17895265872.8,-0.36001846
671,600835,2013-04-26,0.23502304,6658032895.08,-0.2249392
445,600525,2013-04-26,0.23486995,4844291728.32,-0.33457267
833,600336,2013-04-26,0.23412698,2578232160.0,-0.5066745
626,600338,2013-04-26,0.23404255,1413916663.69,-0.31018052
748,600391,2013-04-26,0.23268719,3737064434.44,-0.17338926
898,603008,2013-04-26,0.23227133,2043300000.0,-0.27385423
178,600894,2013-04-26,0.23202171,5811380047.88,-0.24930632
714,600067,2013-04-26,0.23154848,8131716047.69,-0.41534877
389,601258,2013-04-26,0.23131673,14732830000.0,-0.43343377
457,600637,2013-04-26,0.2308494,21372595279.2,-0.56370354
590,601799,2013-04-26,0.23049645,2703698688.0,-0.33916193
926,600806,2013-04-26,0.22950820000000002,2591675782.64,-0.2121354
936,603000,2013-04-26,0.22842767,10987804869.0,-0.571161
199,603077,2013-04-26,0.22674934,5080500000.0,-0.26073486
483,600967,2013-04-26,0.22654351,4701547759.81,-0.48039097
911,600343,2013-04-26,0.22583333,3829238088.0,-0.31085688
341,600444,2013-04-26,0.22564612,1056300000.0,-0.2964284
655,600634,2013-04-26,0.22523585,739517759.84,-0.33351052
794,601012,2013-04-26,0.22446237,4006618560.0,-0.4205503
720,600083,2013-04-26,0.22438163,1301800000.0,-0.21921742
476,600883,2013-04-26,0.22321429,1322092800.0,-0.27606705
64,600705,2013-04-26,0.22307692,23750536165.2,-0.5116589
204,600037,2013-04-26,0.22275641,6616695945.6,-0.24885802
25,600172,2013-04-26,0.22154780000000002,3514856489.42,-0.2674632
563,600770,2013-04-26,0.22151899,6981072000.0,-0.36042142
170,600855,2013-04-26,0.22117962,2473865990.5,-0.12471689
768,600640,2013-04-26,0.2208589,4363221033.6,-0.65870774
624,600330,2013-04-26,0.22033898,2779222848.0,-0.22411978
422,600312,2013-04-26,0.22002564,7706471687.93,-0.45231092
171,600856,2013-04-26,0.21904762,986292589.8,-0.18770298
220,600240,2013-04-26,0.21890547,5704380000.0,-0.22902398
446,600526,2013-04-26,0.21872766,2846191702.75,-0.2664404
39,600381,2013-04-26,0.2184466,3299801503.4,-0.29428566
901,600135,2013-04-26,0.21811681,2869380000.0,-0.3831172
859,600604,2013-04-26,0.21686747,4701528277.0,-0.21485041
540,600579,2013-04-26,0.21596244,1633284000.0,-0.1480839
719,600082,2013-04-26,0.21558442,2487545930.1,-0.134421
416,600252,2013-04-26,0.21550388,14083543111.2,-0.5634123
428,600416,2013-04-26,0.21544715,2993743946.64,-0.22481653
763,600499,2013-04-26,0.21501458,8940864942.52,-0.57148194
436,600481,2013-04-26,0.21447721,6043371475.9,-0.25761884
238,600401,2013-04-26,0.21425101,6477612618.75,-0.41336763
609,600225,2013-04-26,0.21409922,2399118537.81,-0.23762253
437,600485,2013-04-26,0.2132964,1000590920.0,-0.22202972
355,600664,2013-04-26,0.21303657,12060969887.8,-0.20248325
922,600802,2013-04-26,0.21276596,2512728722.28,-0.52061254
897,601965,2013-04-26,0.2123431,6125919685.68,-0.35896212
143,600588,2013-04-26,0.21183434,8853842776.74,-0.42194188
