,real_return,return,pred
0,0.04076739,1.0867324924683388,0.4328493656256454
14,0.00518135,0.10835322200967888,0.4933104489770193
42,0.04938272,1.3235967313710266,0.4205162731032369
55,0.0310702,0.8201243034790887,0.48429932703696577
64,-0.01414141,-0.4228940826088675,0.4177521309678976
65,-0.04582844,-1.2940765264661125,0.4253907859647001
82,0.02793946,0.7340497889448572,0.4515249805247483
111,-0.01705757,-0.5030690751998028,0.40559377913289757
134,-0.00468384,-0.1628738489185859,0.42492910958755287
151,0.06947608,1.8760304075503151,0.3754399682816225
158,0.02753442,0.7229138845366517,0.3906370880451892
161,-0.04740061,-1.3373007384783788,0.4769814564717804
167,-0.04225352,-1.1957900180052643,0.44140555709009716
177,-0.06849315,-1.9172052149899577,0.48429932703696577
218,0.05343511,1.4350104872093827,0.4412948039049836
219,-0.01272265,-0.3838876246338883,0.4501132086337066
221,0.02396932,0.6248973607224771,0.4627172345949194
225,-0.02233251,-0.648094819815197,0.4412948039049836
231,-0.0075188,-0.2408163819056641,0.4098558285639268
233,0.02265372,0.588727116204812,0.4274731567676076
249,0.00505051,0.10475599276622242,0.4272640218663498
310,-0.00202429,-0.08975392355604686,0.4257783699707313
334,0.01751592,0.4474718089055873,0.46282255302601977
345,0.01138952,0.27903658086285105,0.4263906751335414
355,-0.01969697,-0.5756350096631089,0.3741531687434108
357,0.00632911,0.13990898352350933,0.38035362253179644
362,-0.00519481,-0.17692212334940938,0.40136070415000685
374,0.00166806,0.011761128393482595,0.4412948039049836
403,-0.00455789,-0.15941106213156864,0.40013822590069076
411,0.01101322,0.2686908351863556,0.48429932703696577
455,-0.01654846,-0.48907193839044705,0.4082015335006793
456,0.0,-0.03409942045885592,0.3755125192415601
465,0.01580135,0.4003325445831084,0.41274588344516167
467,0.01489362,0.3753760106396453,0.45933853986855067
470,0.00927357,0.2208620377744096,0.46366141641637754
500,-0.02616822,-0.7535513176860191,0.4082015335006793
501,0.03681885,0.9781739204952608,0.4412948039049836
515,0.0058309,0.12621152417329198,0.4082015335006793
520,0.05669399,1.524607998955908,0.4974093366208587
549,-0.00344828,-0.12890417172472274,0.35155997327222593
553,0.0,-0.03409942045885592,0.4139560553502168
557,0.04682779,1.2533531597493193,0.4098064722589013
558,-0.0054407,-0.18368246192074464,0.4416284504290049
561,,-1.1923337696985244e-17,0.4512520810163203
570,0.0130246,0.3239903992012092,0.5031072673968315
574,0.01239669,0.306727053020693,0.4245598390055714
588,0.0,-0.03409942045885592,0.4412948039049836
605,-0.04121475,-1.1672307561493698,0.4512520810163203
611,-0.0208,-0.6059609938606766,0.46024404936065016
612,-0.01717557,-0.5063132898950632,0.43737598710032094
655,,-1.1923337696985244e-17,0.45182875601648226
656,0.00390117,0.07315679176748932,0.40755278429509795
658,-0.08793456,-2.451714604977933,0.4010475223339124
660,-0.00807754,-0.2561780134211704,0.3817032427709713
712,0.00335852,0.05823752817102305,0.38729913845248565
714,-0.01213172,-0.3676409823468528,0.4205162731032369
719,-0.00972763,-0.3015445068661036,0.38268052567398636
731,0.01900883,0.4885168984030542,0.43392268226579106
741,0.09792925,2.6583032231498094,0.44125326171376966
745,-0.00672269,-0.2189286551171581,0.40122021772055283
752,-0.00156986,-0.07726012284446082,0.4512520810163203
759,0.02150538,0.557155408550954,0.4116740046857698
764,-0.01600753,-0.4741999633471658,0.39488224169493963
765,-0.00391007,-0.14160032345458942,0.4418690001252383
766,0.00262467,0.03806153703444008,0.4149079681018894
767,0.01818182,0.4657796272579081,0.4412948039049836
768,-0.00195695,-0.08790252171215845,0.43392268226579106
803,-0.11774842,-3.2713973400155103,0.4512520810163203
810,0.00533808,0.11266225395195135,0.44467063098190107
818,0.00621118,0.13666669336239026,0.4362442945897077
833,0.0,-0.03409942045885592,0.44616655511846914
850,0.02184087,0.5663791508230971,0.44429773491355173
