sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
中证200-择时,16.72,-36.33,-28.79,140.07,22.20,17,11,23.68,0.77,437,1.52,16.73,68.12,0.71,52.94
中证500,12.15,-72.42,-65.56,251.29,25.13,17,10,30.30,0.53,1679,1.94,8.37,112.45,0.40,56.00
中证500-择时,13.10,-42.79,-31.09,139.62,18.72,17,11,23.18,0.65,761,1.48,11.08,62.01,0.57,53.27
中证800,10.78,-71.76,-69.85,292.94,22.75,11,10,26.91,0.52,1847,1.72,6.64,96.11,0.40,53.84
中证800-择时,17.47,-30.13,-24.61,139.56,22.68,10,9,21.01,0.87,792,1.35,12.80,73.79,0.83,53.13
中证700,11.50,-73.16,-68.27,273.41,24.77,17,10,29.49,0.52,1740,1.89,6.28,109.50,0.39,55.19
中证700-择时,13.31,-42.33,-30.68,104.09,17.52,17,12,22.13,0.68,437,1.42,14.99,50.37,0.60,53.02
中证红利,10.46,-72.13,-68.73,359.18,22.47,12,10,27.02,0.50,1850,1.73,5.09,96.25,0.39,53.45
中证红利-择时,18.47,-29.95,-24.34,144.84,23.62,12,10,20.11,0.94,1111,1.29,10.94,75.41,0.92,51.81
深证成指,6.68,-70.98,-70.31,349.16,15.32,13,10,27.35,0.37,1350,1.75,-0.24,73.23,0.24,51.72
深证成指-择时,7.73,-51.86,-37.86,116.08,11.32,13,11,21.15,0.46,1358,1.35,5.25,53.27,0.37,52.01
深证深成指R,7.03,-70.68,-70.01,353.65,15.78,13,10,27.36,0.39,1851,1.75,-0.16,73.61,0.26,51.67
深证深成指R-择时,7.25,-51.37,-38.89,122.68,10.98,13,11,21.34,0.43,1357,1.37,4.10,55.64,0.34,51.53
深证100R,12.65,-71.28,-69.90,331.76,23.48,14,10,27.66,0.57,1847,1.77,6.05,94.18,0.46,52.89
深证100R-择时,12.20,-41.26,-34.13,112.71,15.83,14,12,22.42,0.63,836,1.44,8.96,59.30,0.54,52.53
深证中小板指,14.05,-67.37,-61.09,187.97,21.47,17,10,29.34,0.60,1057,1.88,10.73,91.20,0.48,54.65
深证中小板指-择时,10.64,-33.72,-29.94,123.37,14.09,17,12,21.72,0.57,743,1.39,6.85,47.56,0.49,52.81
创业板指,10.18,-69.74,-47.31,197.24,16.73,9,9,30.91,0.47,651,1.98,2.94,75.82,0.33,51.84
创业板指-择时,9.38,-37.63,-26.97,115.04,11.40,8,13,19.51,0.56,881,1.25,5.08,42.32,0.48,50.78
深证300,4.26,-59.03,-45.74,162.86,8.06,11,9,25.25,0.29,1053,1.62,3.61,43.51,0.17,52.48
深证300-择时,4.30,-24.43,-14.79,44.06,5.37,11,11,13.62,0.38,837,0.87,3.88,22.25,0.32,50.68
中小300,4.44,-64.46,-44.91,171.64,7.92,11,8,26.23,0.30,1041,1.68,3.74,42.40,0.17,53.27
中小300-择时,4.46,-29.97,-23.13,91.91,7.17,9,9,16.20,0.35,500,1.04,1.23,30.53,0.28,52.15
深证200,10.34,-74.01,-67.77,240.85,22.87,17,10,30.44,0.48,1723,1.95,9.26,101.67,0.34,55.33
深证200-择时,17.66,-37.80,-24.91,218.07,25.25,17,9,24.46,0.79,426,1.57,9.93,86.18,0.72,53.56
深证700,12.51,-68.97,-63.32,273.15,25.91,17,10,30.19,0.54,916,1.93,12.53,107.06,0.41,55.88
深证700-择时,15.96,-53.70,-36.96,163.43,25.05,17,12,23.32,0.75,332,1.49,12.70,86.96,0.68,53.32
深证1000,12.11,-71.92,-68.75,279.17,24.74,17,10,28.78,0.54,1738,1.84,8.02,104.24,0.42,54.84
深证1000-择时,12.18,-41.72,-29.26,113.59,17.49,17,11,22.56,0.62,554,1.44,8.25,63.11,0.54,53.40
深证创业300,17.15,-70.20,-45.70,222.28,20.85,9,8,31.10,0.67,137,1.99,15.55,73.30,0.55,52.39
深证创业300-择时,11.45,-42.74,-26.83,170.12,17.98,9,12,20.97,0.62,429,1.34,1.41,87.85,0.55,50.45
深市精选,10.21,-58.52,-43.44,156.75,9.58,10,9,25.71,0.51,22,1.65,4.46,40.63,0.40,53.73
深市精选-择时,3.12,-27.31,-18.84,50.25,4.68,10,9,13.99,0.29,68,0.90,0.40,25.38,0.22,49.37
深证中小创新,-3.17,-69.41,-44.30,54.62,-3.10,9,8,29.44,0.04,7,1.88,-5.80,26.07,-0.11,52.98
深证中小创新-择时,0.90,-32.17,-25.01,40.17,1.60,8,10,16.22,0.14,752,1.04,-0.77,24.40,0.06,49.80
深证A指,8.13,-71.06,-67.62,261.56,15.69,17,10,27.03,0.43,1723,1.73,0.67,79.38,0.30,54.22
深证A指-择时,16.23,-45.71,-31.87,138.35,21.30,17,11,22.27,0.79,715,1.43,13.60,72.25,0.73,53.83
深证B指,13.01,-72.36,-72.27,384.21,21.36,12,10,27.24,0.59,1356,1.74,4.65,97.55,0.48,53.37
深证B指-择时,18.01,-41.93,-38.25,141.73,22.43,11,10,20.24,0.92,513,1.30,17.35,61.22,0.89,51.72
深信用债,5.13,-1.48,1.59,10.41,5.39,85,7,0.73,6.86,144,0.05,5.26,9.16,7.03,77.59
深信用债-择时,2.23,-0.45,1.03,4.71,2.30,85,7,0.41,5.41,56,0.03,2.13,3.70,5.47,74.65
深公司债,5.17,-1.63,1.52,10.49,5.44,40,10,0.74,6.79,144,0.05,5.38,9.19,6.95,76.45
