sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
上证综指,4.34,-71.98,-71.12,243.93,9.87,11,9,24.06,0.30,1331,1.54,-1.89,63.38,0.18,52.98
上证综指-择时,14.80,-28.43,-23.00,147.49,17.99,10,12,19.71,0.80,973,1.26,11.72,52.91,0.75,53.15
上证A股,4.27,-71.96,-71.10,243.73,9.80,11,9,24.07,0.29,1331,1.54,-1.84,63.39,0.18,52.94
上证A股-择时,14.49,-31.42,-27.62,144.32,17.73,10,12,19.40,0.79,973,1.24,11.55,51.25,0.75,52.75
上证B股,9.26,-78.58,-77.21,429.65,20.94,15,9,30.13,0.44,1822,1.93,-3.24,112.09,0.31,52.43
上证B股-择时,26.39,-30.45,-29.48,218.87,33.07,15,10,25.29,1.05,929,1.62,18.77,98.77,1.04,53.58
上证工业,5.10,-75.86,-74.09,301.59,11.67,14,8,24.84,0.33,1333,1.59,-1.02,64.08,0.21,52.93
上证工业-择时,16.98,-26.59,-23.55,150.31,20.17,14,12,20.46,0.87,464,1.31,10.86,64.60,0.83,53.16
上证商业,4.58,-74.81,-63.08,229.46,11.91,17,10,27.87,0.30,1740,1.78,-4.72,86.94,0.16,52.93
上证商业-择时,22.26,-43.53,-36.43,185.03,26.56,17,9,24.16,0.95,892,1.55,20.77,71.65,0.92,54.00
上证地产,5.88,-77.31,-75.06,453.82,18.97,12,10,32.91,0.34,1859,2.11,-2.08,93.35,0.18,50.30
上证地产-择时,4.99,-57.39,-42.40,96.11,7.53,12,10,24.19,0.32,1009,1.55,5.55,40.08,0.21,50.44
上证公用,3.78,-72.78,-65.72,296.49,10.91,11,10,26.18,0.27,1314,1.68,-4.99,65.43,0.14,51.68
上证公用-择时,11.79,-35.90,-26.07,122.13,13.72,9,11,20.13,0.65,930,1.29,9.50,44.62,0.59,52.30
