sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16,sta_re17
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%),择时信号
中证流通,12.00,-71.48,-69.13,278.36,21.12,17,10,27.52,0.55,1752,1.76,4.23,100.02,0.44,54.99,2021-04-19
中证流通-高阶择时,15.53,-40.54,-25.44,168.24,20.35,13,11,25.94,0.69,696,1.66,12.39,62.95,0.60,51.87,做空
中证100,9.50,-71.72,-70.94,324.66,18.49,13,10,25.70,0.48,513,1.65,2.54,77.73,0.37,51.95,2021-04-19
中证100-高阶择时,14.14,-42.73,-33.77,146.85,19.54,11,11,24.66,0.66,474,1.58,12.72,63.53,0.57,50.06,做多
中证200,10.88,-73.77,-70.47,304.97,24.55,17,10,29.14,0.50,1763,1.87,5.54,108.39,0.37,54.36,2021-04-19
中证200-高阶择时,14.03,-46.81,-29.44,94.13,17.60,11,11,27.51,0.62,675,1.76,13.30,48.06,0.51,51.36,做多
中证500,12.15,-72.42,-65.56,251.29,25.13,17,10,30.30,0.53,1679,1.94,8.37,112.45,0.40,56.00,2021-04-19
中证500-高阶择时,13.09,-46.58,-42.67,194.30,19.52,17,8,29.46,0.57,666,1.89,14.96,58.95,0.44,51.93,做多
中证800,10.78,-71.76,-69.85,292.94,22.75,11,10,26.91,0.52,1847,1.72,6.64,96.11,0.40,53.84,2021-04-19
中证800-高阶择时,15.19,-46.13,-37.44,174.62,21.41,11,11,25.56,0.68,889,1.64,11.88,68.34,0.59,51.19,做多
中证700,11.50,-73.16,-68.27,273.41,24.77,17,10,29.49,0.52,1740,1.89,6.28,109.50,0.39,55.19,2021-04-19
中证700-高阶择时,11.99,-49.01,-31.68,87.46,15.16,12,11,28.12,0.54,704,1.80,11.51,50.42,0.43,52.13,做空
中证红利,10.46,-72.13,-68.73,359.18,22.47,12,10,27.02,0.50,1850,1.73,5.09,96.25,0.39,53.45,2021-04-19
中证红利-高阶择时,21.61,-35.42,-29.02,243.38,28.56,12,10,26.21,0.88,427,1.68,13.15,87.22,0.82,52.15,做空
深证成指,6.68,-70.98,-70.31,349.16,15.32,13,10,27.35,0.37,1350,1.75,-0.24,73.23,0.24,51.72,2021-04-19
深证成指-高阶择时,4.08,-72.13,-70.39,86.92,6.32,13,10,26.25,0.28,3206,1.68,4.37,35.57,0.16,50.74,做多
深证深成指R,7.03,-70.68,-70.01,353.65,15.78,13,10,27.36,0.39,1851,1.75,-0.16,73.61,0.26,51.67,2021-04-19
深证深成指R-高阶择时,2.03,-72.05,-70.30,86.89,4.39,13,11,26.28,0.21,3205,1.68,1.80,35.92,0.08,50.33,做多
深证100R,12.65,-71.28,-69.90,331.76,23.48,14,10,27.66,0.57,1847,1.77,6.05,94.18,0.46,52.89,2021-04-19
深证100R-高阶择时,5.48,-45.57,-30.49,89.52,8.18,14,16,26.96,0.33,941,1.73,7.28,36.86,0.20,50.40,做多
深证中小板指,14.05,-67.37,-61.09,187.97,21.47,17,10,29.34,0.60,1057,1.88,10.73,91.20,0.48,54.65,2021-04-19
深证中小板指-高阶择时,9.64,-58.70,-35.46,111.07,12.71,14,10,28.32,0.47,1765,1.81,5.87,56.76,0.34,51.51,做多
创业板指,10.18,-69.74,-47.31,197.24,16.73,9,9,30.91,0.47,651,1.98,2.94,75.82,0.33,51.84,2021-04-19
创业板指-高阶择时,12.51,-46.47,-34.81,140.16,15.46,9,10,29.33,0.55,662,1.88,5.98,62.06,0.43,49.43,做多
深证300,4.26,-59.03,-45.74,162.86,8.06,11,9,25.25,0.29,1053,1.62,3.61,43.51,0.17,52.48,2021-04-19
深证300-高阶择时,5.43,-39.60,-25.47,58.57,6.74,11,14,23.48,0.34,484,1.50,1.16,34.64,0.23,50.42,做多
中小300,4.44,-64.46,-44.91,171.64,7.92,11,8,26.23,0.30,1041,1.68,3.74,42.40,0.17,53.27,2021-04-19
中小300-高阶择时,2.70,-47.50,-35.88,103.92,5.62,9,10,25.23,0.23,1282,1.62,-1.64,46.83,0.11,50.30,做多
深证200,10.34,-74.01,-67.77,240.85,22.87,17,10,30.44,0.48,1723,1.95,9.26,101.67,0.34,55.33,2021-04-19
深证200-高阶择时,18.10,-47.89,-37.67,222.61,24.93,12,12,29.43,0.71,862,1.88,14.07,73.95,0.62,51.39,做空
深证700,12.51,-68.97,-63.32,273.15,25.91,17,10,30.19,0.54,916,1.93,12.53,107.06,0.41,55.88,2021-04-19
深证700-高阶择时,16.61,-44.95,-37.55,245.12,26.45,17,13,29.11,0.67,758,1.86,15.36,82.91,0.57,51.91,做多
深证1000,12.11,-71.92,-68.75,279.17,24.74,17,10,28.78,0.54,1738,1.84,8.02,104.24,0.42,54.84,2021-04-19
深证1000-高阶择时,8.76,-50.91,-43.99,161.96,13.38,14,11,27.34,0.44,2731,1.75,5.82,56.46,0.32,50.77,做多
深证创业300,17.15,-70.20,-45.70,222.28,20.85,9,8,31.10,0.67,137,1.99,15.55,73.30,0.55,52.39,2021-04-19
深证创业300-高阶择时,21.70,-55.03,-40.09,270.32,35.45,9,9,29.26,0.82,790,1.87,9.87,134.99,0.74,50.85,做多
深市精选,10.21,-58.52,-43.44,156.75,9.58,10,9,25.71,0.51,22,1.65,4.46,40.63,0.40,53.73,2021-04-19
深市精选-高阶择时,1.10,-40.00,-27.41,65.75,2.83,10,16,23.49,0.16,152,1.50,-0.30,31.04,0.05,49.66,做多
深证中小创新,-3.17,-69.41,-44.30,54.62,-3.10,9,8,29.44,0.04,7,1.88,-5.80,26.07,-0.11,52.98,2021-04-19
深证中小创新-高阶择时,2.62,-39.75,-33.99,84.23,9.69,8,12,23.98,0.23,660,1.54,0.80,51.07,0.11,49.81,做多
深证A指,8.13,-71.06,-67.62,261.56,15.69,17,10,27.03,0.43,1723,1.73,0.67,79.38,0.30,54.22,2021-04-19
深证A指-高阶择时,17.28,-46.73,-36.57,161.09,21.61,13,11,26.31,0.74,763,1.68,14.12,66.41,0.66,52.66,做多
深证B指,13.01,-72.36,-72.27,384.21,21.36,12,10,27.24,0.59,1356,1.74,4.65,97.55,0.48,53.37,2021-04-19
深证B指-高阶择时,13.40,-48.81,-36.11,218.12,18.15,11,11,25.63,0.62,1145,1.64,7.63,56.08,0.52,50.90,做空
深信用债,5.13,-1.48,1.59,10.41,5.39,85,7,0.73,6.86,144,0.05,5.26,9.16,7.03,77.59,2021-04-19
深信用债-高阶择时,0.40,-1.65,-1.11,2.68,0.47,24,25,0.74,0.55,545,0.05,0.37,1.65,0.54,51.03,做空
深公司债,5.17,-1.63,1.52,10.49,5.44,40,10,0.74,6.79,144,0.05,5.38,9.19,6.95,76.45,2021-04-19
深公司债-高阶择时,1.11,-2.76,-2.31,6.32,1.24,21,29,0.76,1.45,419,0.05,0.90,4.65,1.46,51.36,做多
深证ETF,8.21,-45.47,-40.15,143.84,12.76,11,9,23.84,0.45,1235,1.53,7.31,43.27,0.34,51.27,2021-04-19
深证ETF-高阶择时,4.39,-33.40,-23.89,88.24,7.48,11,10,23.13,0.30,700,1.48,0.96,44.14,0.19,48.64,做多
深证转债,10.04,-55.06,-46.25,67.98,6.26,8,17,22.79,0.54,32,1.46,0.36,30.15,0.44,51.60,2021-04-19
深证转债-高阶择时,-6.90,-60.46,-57.20,23.84,-4.20,13,10,21.73,-0.22,19,1.39,2.62,11.32,-0.32,48.75,做空
深证红利,15.34,-70.31,-69.13,388.15,26.58,12,11,27.81,0.65,2386,1.78,8.38,92.18,0.55,52.53,2021-04-19
深证红利-高阶择时,-0.24,-73.36,-70.93,87.62,4.28,12,10,26.42,0.12,3010,1.69,4.00,38.50,-0.01,49.85,做多
深证100,11.03,-71.56,-70.19,327.81,21.67,14,10,27.67,0.52,1862,1.77,4.48,91.60,0.40,52.85,2021-04-19
深证100-高阶择时,5.18,-45.67,-32.81,90.89,7.92,14,16,26.93,0.32,1184,1.72,5.19,38.36,0.19,50.46,做多
深证中小板R,14.97,-67.15,-60.83,189.55,22.40,17,10,29.34,0.62,1053,1.88,11.66,92.67,0.51,54.86,2021-04-19
深证中小板R-高阶择时,9.43,-58.67,-35.49,123.51,12.68,14,11,28.32,0.46,1830,1.81,5.81,57.63,0.33,51.62,做多
巨潮大中盘,7.30,-50.28,-45.21,154.05,13.01,12,8,23.21,0.42,430,1.49,8.98,45.95,0.31,52.18,2021-04-19
巨潮大中盘-高阶择时,2.26,-48.77,-29.19,100.46,5.61,12,11,20.53,0.21,213,1.31,-2.48,44.42,0.11,49.22,做多
巨潮中小盘,6.77,-67.47,-50.39,196.80,11.58,10,7,26.33,0.38,116,1.69,2.52,45.94,0.26,54.32,2021-04-19
巨潮中小盘-高阶择时,5.49,-43.43,-42.80,190.50,15.20,8,11,25.57,0.34,810,1.64,3.47,71.28,0.21,49.68,做空
深证中小红利,16.08,-50.47,-42.64,158.11,19.92,10,9,26.05,0.70,1232,1.67,19.72,45.14,0.62,54.23,2021-04-19
深证中小红利-高阶择时,10.78,-33.01,-26.86,122.84,14.57,8,16,25.33,0.53,529,1.62,6.23,59.57,0.43,50.43,做多
