sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
连豆一2105,3.22,-56.14,-31.33,75.39,4.11,14,9,17.29,0.27,911,1.11,-0.79,36.86,0.19,51.31
连豆一2105-择时,-2.22,-57.21,-33.13,44.97,-1.89,11,9,11.64,-0.13,819,0.75,-2.68,10.02,-0.19,49.35
沪白银2106,-5.11,-68.70,-43.37,68.95,-4.38,11,8,24.32,-0.09,72,1.56,-8.40,19.08,-0.21,49.22
沪白银2106-择时,-2.33,-35.47,-24.53,24.42,-0.90,8,12,13.34,-0.11,70,0.85,-0.46,11.66,-0.18,47.48
沪铝2105,-1.46,-69.92,-44.32,68.24,-1.47,9,10,15.08,-0.02,477,0.97,-4.32,18.38,-0.10,49.99
沪铝2105-择时,4.28,-28.16,-19.16,35.14,4.60,10,10,10.16,0.46,1027,0.65,3.03,17.49,0.42,50.71
郑苹果110,-10.39,-60.58,-46.68,59.28,0.21,6,10,25.74,-0.30,148,1.65,3.79,40.28,-0.40,46.75
郑苹果110-择时,17.71,-17.88,3.03,44.02,21.28,10,8,15.93,1.10,223,1.02,22.81,33.51,1.11,51.59
沪黄金2106,1.65,-48.30,-31.91,62.61,4.75,9,9,17.21,0.18,403,1.10,1.81,25.60,0.10,51.64
沪黄金2106-择时,3.15,-18.08,-16.53,49.80,3.19,8,12,10.33,0.35,601,0.66,0.24,14.00,0.31,49.94
连豆二2105,5.25,-35.17,-32.38,60.07,5.97,9,11,18.00,0.37,683,1.15,3.54,30.04,0.29,51.07
连豆二2105-择时,-1.99,-42.69,-19.67,26.38,-1.55,11,8,10.15,-0.15,873,0.65,-1.72,9.85,-0.20,50.69
连胶合板2104,11.91,-69.50,-68.49,506.14,42.82,9,7,40.53,0.49,901,2.59,24.75,124.27,0.29,52.54
连胶合板2104-择时,37.82,-21.49,-12.67,504.67,40.20,7,8,26.22,1.35,598,1.68,11.58,97.65,1.44,50.78
沪石油沥青2106,-14.42,-76.12,-55.07,45.82,-12.01,7,9,28.19,-0.41,1,1.80,-10.79,19.45,-0.51,50.17
沪石油沥青2106-择时,5.43,-33.22,-29.15,54.55,8.49,8,7,17.72,0.39,1006,1.13,8.27,32.50,0.31,50.11
连玉米2109,2.79,-33.27,-31.23,41.00,2.76,11,8,11.09,0.30,2659,0.71,2.62,16.74,0.25,50.60
连玉米2109-择时,1.90,-13.05,-9.61,16.28,2.18,10,10,7.22,0.30,934,0.46,1.67,8.36,0.26,49.62
郑棉花109,-3.47,-68.37,-39.88,116.95,-0.88,8,9,17.17,-0.12,1563,1.10,-7.65,34.11,-0.20,49.57
郑棉花109-择时,3.68,-35.60,-31.04,63.36,4.40,9,14,12.34,0.35,905,0.79,2.63,14.99,0.30,50.33
郑红枣109,2.34,-24.23,-21.04,18.09,-8.99,6,7,19.32,0.22,53,1.24,-9.66,-1.46,0.12,49.67
郑红枣109-择时,-3.52,-10.03,-9.16,-0.62,-4.64,6,6,8.15,-0.40,117,0.52,-4.36,-2.99,-0.43,47.67
连玉米淀粉2105,2.23,-32.09,-25.96,39.21,1.27,7,7,14.59,0.22,1408,0.93,0.31,18.20,0.15,50.27
连玉米淀粉2105-择时,1.17,-12.03,-8.98,12.54,0.69,7,8,8.03,0.19,479,0.51,0.76,5.59,0.15,50.88
沪铜2106,12.36,-60.61,-48.08,197.02,16.28,8,7,22.16,0.64,2438,1.42,4.78,73.73,0.56,52.65
沪铜2106-择时,7.11,-40.84,-21.74,107.62,8.47,8,10,17.17,0.49,2283,1.10,3.35,35.07,0.41,49.58
郑棉纱109,-5.22,-38.11,-28.62,13.62,-9.66,8,7,17.13,-0.23,93,1.10,-10.34,1.66,-0.30,50.61
郑棉纱109-择时,-2.13,-18.32,-14.44,14.28,-0.76,6,12,9.63,-0.18,143,0.62,-0.29,9.92,-0.22,45.86
连苯乙烯2105,-10.32,-46.11,-42.57,61.54,-8.74,7,11,33.89,-0.15,NaN,2.17,-15.90,29.76,-0.30,51.38
连苯乙烯2105-择时,30.70,-19.21,16.70,72.19,41.21,11,6,21.84,1.34,136,1.40,41.42,57.48,1.41,53.59
连乙二醇2109,-9.31,-46.08,-36.82,49.80,-13.79,6,9,26.97,-0.23,NaN,1.73,-17.32,4.51,-0.35,50.00
连乙二醇2109-择时,-0.34,-28.69,-23.13,24.23,-3.21,9,5,16.43,0.06,123,1.05,-3.92,3.63,-0.02,49.64
连纤维板2105,9.55,-76.30,-62.58,245.49,33.11,12,8,35.04,0.43,338,2.24,11.80,125.46,0.27,49.19
连纤维板2105-择时,26.13,-31.52,-24.67,254.15,43.14,10,6,23.29,1.11,527,1.49,14.13,181.84,1.12,51.77
郑玻璃109,11.08,-39.13,-29.01,87.28,10.58,10,10,20.12,0.62,913,1.29,9.53,36.08,0.55,52.09
郑玻璃109-择时,-3.16,-43.62,-25.08,20.51,-4.90,9,9,11.17,-0.23,20,0.71,-3.53,7.58,-0.28,48.68
沪燃油2109,-6.38,-91.02,-66.55,131.85,-2.20,10,9,27.58,-0.10,387,1.77,-6.21,44.49,-0.23,51.77
沪燃油2109-择时,-0.99,-61.74,-56.40,80.98,3.75,10,10,18.12,0.04,390,1.16,1.75,31.54,-0.05,49.48
沪热轧卷板2110,18.59,-50.15,-41.21,157.85,22.39,12,9,23.82,0.84,627,1.52,16.86,71.41,0.78,52.33
沪热轧卷板2110-择时,9.11,-42.36,-29.11,109.23,11.32,10,10,15.76,0.63,183,1.01,1.72,53.11,0.58,50.06
连铁矿石2109,20.45,-62.11,-49.83,177.86,32.01,9,8,32.76,0.73,751,2.10,33.08,106.17,0.62,51.74
连铁矿石2109-择时,7.11,-29.13,-22.88,66.90,9.65,8,12,21.21,0.43,779,1.36,5.99,30.02,0.34,48.83
中证2104,7.93,-51.03,-38.21,67.20,9.92,8,6,32.42,0.40,1234,2.08,9.26,39.31,0.24,52.86
中证2104-择时,1.56,-26.86,-18.12,30.81,2.05,8,7,15.88,0.18,930,1.02,1.17,16.56,0.10,49.78
沪深2104,5.52,-45.89,-33.97,115.08,8.17,9,9,24.69,0.34,1019,1.58,4.67,33.93,0.22,50.38
沪深2104-择时,1.29,-37.85,-24.86,60.45,1.90,10,10,16.23,0.16,431,1.04,0.07,18.54,0.08,49.23
上证2104,4.62,-44.52,-30.87,45.41,9.89,9,7,25.14,0.31,690,1.61,11.84,33.44,0.18,51.93
上证2104-择时,-1.91,-18.97,-16.28,23.84,0.09,7,10,11.22,-0.12,695,0.72,-1.00,9.31,-0.17,47.56
连焦炭2105,3.27,-81.91,-46.14,264.10,15.16,16,9,27.53,0.25,1769,1.76,-4.96,111.21,0.12,49.77
连焦炭2105-择时,20.97,-32.26,-23.10,166.01,26.29,16,10,20.48,1.03,368,1.31,17.22,69.41,1.02,50.62
连鸡蛋2105,-9.29,-66.07,-54.13,29.76,-9.18,10,9,20.92,-0.36,69,1.34,-8.02,14.22,-0.44,49.29
连鸡蛋2105-择时,1.09,-31.61,-26.35,28.32,0.41,10,9,12.81,0.15,152,0.82,2.16,13.59,0.09,50.48
连焦煤2105,8.91,-60.38,-43.32,189.13,18.44,7,7,27.93,0.45,878,1.79,9.93,80.77,0.32,50.61
连焦煤2105-择时,-2.27,-41.53,-26.90,40.98,-2.28,7,10,15.17,-0.08,631,0.97,-6.25,23.76,-0.15,47.86
郑粳稻105,-9.24,-43.11,-32.55,18.00,-7.72,6,8,22.18,-0.33,60,1.42,-6.91,6.79,-0.42,45.52
郑粳稻105-择时,-5.90,-22.50,-19.85,8.24,-5.47,6,7,12.71,-0.42,170,0.81,-3.06,4.30,-0.46,49.59
连聚乙烯2105,0.37,-63.67,-55.50,102.65,0.64,9,13,21.91,0.13,54,1.40,1.10,22.24,0.02,50.70
连聚乙烯2105-择时,2.01,-47.19,-26.33,79.90,2.92,13,11,15.79,0.21,584,1.01,-0.44,22.90,0.13,50.05
郑晚籼稻105,-5.30,-34.69,-27.86,17.06,-14.88,5,9,22.61,-0.13,97,1.45,-18.15,-0.78,-0.23,46.80
郑晚籼稻105-择时,-12.63,-36.62,-32.03,2.99,-15.11,7,6,13.07,-0.97,168,0.84,-17.18,-0.31,-0.97,45.62
连豆粕2109,6.82,-45.60,-27.65,102.62,9.31,9,8,20.43,0.42,1030,1.31,6.92,31.77,0.33,51.02
连豆粕2109-择时,6.97,-29.39,-22.65,79.82,8.09,9,9,14.82,0.53,774,0.95,4.09,33.10,0.47,50.01
郑甲醇105,-5.68,-60.26,-42.32,58.18,-4.06,8,11,22.53,-0.15,1137,1.44,-6.73,28.10,-0.25,49.14
郑甲醇105-择时,3.57,-27.77,-22.96,39.84,4.90,11,10,13.98,0.32,172,0.90,2.89,23.75,0.26,49.73
沪镍2106,0.31,-43.98,-38.28,53.28,4.76,8,6,25.01,0.14,1056,1.60,3.30,25.96,0.01,52.76
沪镍2106-择时,11.79,-23.04,-16.12,42.12,12.93,8,7,15.32,0.80,290,0.98,11.63,31.71,0.77,52.34
20号胶2106,-4.10,-30.21,-18.67,19.44,-3.55,6,8,29.16,0.00,47,1.87,-4.78,11.82,-0.14,50.53
20号胶2106-择时,-8.59,-24.43,-23.60,-1.35,-12.88,7,9,15.73,-0.49,34,1.01,-12.78,-7.04,-0.55,47.89
郑菜油109,1.01,-64.86,-52.33,81.89,-0.19,11,10,18.28,0.15,35,1.17,-2.34,22.18,0.06,50.18
郑菜油109-择时,2.67,-19.87,-15.80,36.15,2.70,8,10,11.50,0.29,1439,0.74,2.56,10.45,0.23,49.51
连棕油2109,-4.16,-81.00,-61.73,98.59,-4.46,13,9,22.26,-0.08,29,1.43,-10.06,27.22,-0.19,50.49
连棕油2109-择时,6.28,-19.07,-18.60,52.66,7.10,11,12,14.24,0.50,1224,0.91,4.60,25.70,0.44,49.89
沪铅2105,-2.36,-46.32,-23.81,82.80,0.00,11,10,17.52,-0.05,1374,1.12,-4.14,22.48,-0.13,49.26
沪铅2105-择时,-2.67,-32.03,-21.68,28.14,-1.49,8,10,9.54,-0.24,767,0.61,-3.25,10.26,-0.28,49.34
连液化石油气2106,44.61,-18.75,14.57,46.80,25.56,6,5,33.05,1.29,23,2.12,21.10,44.23,1.35,53.31
连液化石油气2106-择时,-25.47,-32.79,-28.40,-21.87,-26.00,6,8,16.43,-1.71,5,1.05,-26.53,-22.47,-1.55,46.28
郑普麦107,-10.04,-76.61,-36.80,25.28,-7.54,7,9,16.81,-0.55,NaN,1.08,-6.81,7.70,-0.60,48.26
郑普麦107-择时,-0.76,-35.34,-25.91,36.39,-0.33,8,8,11.14,-0.01,480,0.71,-0.84,9.85,-0.07,49.20
连聚丙烯2105,7.95,-36.65,-29.85,121.08,9.40,7,7,21.01,0.47,516,1.35,2.12,39.97,0.38,49.85
连聚丙烯2105-择时,2.74,-20.74,-17.44,32.79,2.89,8,10,13.10,0.27,841,0.84,1.99,14.98,0.21,48.62
沪螺钢2110,3.91,-79.05,-41.19,113.91,4.82,11,10,21.50,0.29,2768,1.38,-1.75,45.49,0.18,50.82
沪螺钢2110-择时,9.11,-44.73,-33.81,131.72,10.71,11,13,16.73,0.61,296,1.07,5.58,26.99,0.54,52.08
郑籼稻105,-2.19,-44.51,-23.41,56.47,-1.39,7,8,13.91,-0.09,30,0.89,-5.35,35.73,-0.16,47.29
郑籼稻105-择时,-3.24,-44.14,-38.49,19.06,-0.33,9,8,8.26,-0.36,653,0.53,1.16,10.24,-0.39,48.66
郑菜籽粕109,8.02,-32.43,-25.40,48.33,6.11,11,10,20.79,0.48,1088,1.33,5.93,26.07,0.39,51.15
郑菜籽粕109-择时,-2.96,-31.53,-17.83,21.14,-0.96,8,8,12.01,-0.19,524,0.77,-2.36,10.71,-0.25,48.59
连粳米2106,-9.49,-15.68,-12.94,-0.56,-7.65,6,9,9.26,-1.03,NaN,0.59,-8.65,-2.39,-1.02,44.62
连粳米2106-择时,-5.43,-10.25,-8.84,-2.80,-5.84,6,10,4.34,-1.27,72,0.28,-5.99,-3.10,-1.25,46.51
郑油菜籽107,3.77,-34.83,-31.59,52.38,1.93,8,10,23.14,0.28,438,1.48,-0.56,36.37,0.16,48.98
郑油菜籽107-择时,-14.40,-63.52,-43.68,0.92,-15.87,7,10,14.25,-1.02,84,0.91,-9.92,-2.44,-1.01,48.15
沪天胶2109,-4.80,-92.39,-55.07,116.08,-2.00,9,10,28.06,-0.03,1085,1.80,-8.35,42.84,-0.17,50.91
沪天胶2109-择时,10.91,-41.54,-29.77,94.38,14.08,9,8,21.16,0.60,753,1.35,12.46,44.90,0.52,50.00
郑纯碱109,-12.65,-36.37,-35.29,1.79,-19.85,4,6,23.98,-0.45,21,1.53,-25.36,-2.23,-0.53,44.84
郑纯碱109-择时,10.04,-13.11,-0.66,16.48,5.30,6,6,13.55,0.78,77,0.87,4.58,13.01,0.74,52.26
中质含硫原油2105,-21.49,-74.34,-62.53,27.19,-29.00,7,9,34.36,-0.53,28,2.20,-27.91,1.38,-0.63,50.00
中质含硫原油2105-择时,7.41,-22.78,-20.84,26.50,4.61,7,8,19.79,0.46,310,1.27,5.38,17.50,0.37,52.40
郑硅铁105,0.54,-41.34,-37.63,65.27,3.58,13,7,23.90,0.14,750,1.53,-2.68,42.95,0.02,50.60
郑硅铁105-择时,14.24,-33.26,-30.24,109.78,22.44,6,8,18.08,0.83,315,1.16,15.87,76.82,0.79,50.80
郑锰硅105,11.77,-45.29,-44.34,185.90,23.98,11,8,24.13,0.58,391,1.54,11.41,69.83,0.49,50.47
郑锰硅105-择时,16.50,-31.03,-20.28,99.06,21.47,11,8,16.79,0.99,109,1.07,11.62,65.40,0.98,51.88
沪锡2106,5.90,-35.80,-27.55,79.09,8.01,8,9,19.00,0.40,973,1.22,-1.19,35.61,0.31,49.79
沪锡2106-择时,-4.50,-44.92,-30.45,25.23,-5.48,8,8,10.56,-0.38,112,0.68,-7.49,11.47,-0.43,46.79
