x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
全市场,6.72,-5.03,-3.67,30.10,7.46,12,9,3.59,1.83,185,0.23,5.90,15.58,1.87,57.74
中证500,8.16,-5.16,-2.19,36.03,9.02,12,7,4.06,1.95,184,0.26,7.08,16.92,2.01,56.87
沪深300,8.59,-5.69,-1.84,31.55,9.45,11,7,3.86,2.16,268,0.25,8.38,18.05,2.23,57.79
中证800,8.32,-5.22,-1.44,34.28,9.17,14,7,3.90,2.07,139,0.25,8.24,17.34,2.14,57.53
