sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16,sta_re17
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%),择时信号
郑普麦107,-10.04,-76.61,-36.80,25.28,-7.54,7,9,16.81,-0.55,NaN,1.08,-6.81,7.70,-0.60,48.26,2021-03-03
郑普麦107-择时,-4.39,-52.03,-27.19,9.28,-4.30,3,5,7.81,-0.54,603,0.50,-3.66,2.95,-0.56,48.50,平仓
连聚丙烯2105,7.95,-36.65,-29.85,121.08,9.40,7,7,21.01,0.47,516,1.35,2.12,39.97,0.38,49.85,2021-04-12
连聚丙烯2105-择时,-1.01,-24.95,-16.99,17.66,-0.56,2,5,8.89,-0.07,26,0.57,-0.23,10.73,-0.11,47.06,平仓
沪螺钢2110,3.91,-79.05,-41.19,113.91,4.82,11,10,21.50,0.29,2768,1.38,-1.75,45.49,0.18,50.82,2021-04-12
沪螺钢2110-择时,-2.18,-31.99,-17.16,18.80,-2.42,3,5,9.01,-0.20,5,0.58,-3.41,5.08,-0.24,49.06,平仓
郑籼稻105,-2.19,-44.51,-23.41,56.47,-1.39,7,8,13.91,-0.09,30,0.89,-5.35,35.73,-0.16,47.29,2020-12-14
郑籼稻105-择时,-2.44,-31.59,-29.04,13.47,-1.85,4,4,7.08,-0.31,1183,0.45,-0.59,8.44,-0.34,48.31,平仓
郑菜籽粕109,8.02,-32.43,-25.40,48.33,6.11,11,10,20.79,0.48,1088,1.33,5.93,26.07,0.39,51.15,2021-04-12
郑菜籽粕109-择时,-1.90,-28.49,-22.62,14.29,-2.30,3,5,9.64,-0.15,321,0.62,-1.88,6.21,-0.20,47.52,平仓
连粳米2106,-9.49,-15.68,-12.94,-0.56,-7.65,6,9,9.26,-1.03,NaN,0.59,-8.65,-2.39,-1.02,44.62,2021-04-12
连粳米2106-择时,-6.21,-11.79,-11.52,0.85,-3.64,3,4,6.74,-0.92,72,0.43,-3.57,-1.39,-0.92,41.61,平仓
郑油菜籽107,3.77,-34.83,-31.59,52.38,1.93,8,10,23.14,0.28,438,1.48,-0.56,36.37,0.16,48.98,2021-04-12
郑油菜籽107-择时,-14.36,-65.31,-39.24,11.60,-16.55,3,5,13.54,-1.08,75,0.87,-18.00,-1.43,-1.06,44.57,做空
沪天胶2109,-4.80,-92.39,-55.07,116.08,-2.00,9,10,28.06,-0.03,1085,1.80,-8.35,42.84,-0.17,50.91,2021-04-12
沪天胶2109-择时,-2.23,-62.91,-27.32,32.69,-0.93,3,5,9.90,-0.18,237,0.63,-0.46,14.50,-0.22,45.45,平仓
郑纯碱109,-12.65,-36.37,-35.29,1.79,-19.85,4,6,23.98,-0.45,21,1.53,-25.36,-2.23,-0.53,44.84,2021-04-12
郑纯碱109-择时,-2.63,-14.11,-7.17,5.98,-2.61,3,3,13.04,-0.14,58,0.83,-3.63,5.98,-0.20,45.12,平仓
中质含硫原油2105,-21.49,-74.34,-62.53,27.19,-29.00,7,9,34.36,-0.53,28,2.20,-27.91,1.38,-0.63,50.00,2021-04-12
中质含硫原油2105-择时,7.50,-6.92,-1.28,21.79,10.43,2,2,9.66,0.80,131,0.62,10.98,17.52,0.78,61.25,平仓
郑硅铁105,0.54,-41.34,-37.63,65.27,3.58,13,7,23.90,0.14,750,1.53,-2.68,42.95,0.02,50.60,2021-04-12
郑硅铁105-择时,-15.31,-65.25,-30.23,7.43,-14.34,4,4,13.15,-1.20,1,0.84,-15.27,-5.70,-1.16,41.86,平仓
郑锰硅105,11.77,-45.29,-44.34,185.90,23.98,11,8,24.13,0.58,391,1.54,11.41,69.83,0.49,50.47,2021-04-12
郑锰硅105-择时,-7.26,-50.64,-35.14,23.02,-7.90,3,4,12.43,-0.54,153,0.80,-7.58,9.78,-0.58,43.81,平仓
沪锡2106,5.90,-35.80,-27.55,79.09,8.01,8,9,19.00,0.40,973,1.22,-1.19,35.61,0.31,49.79,2021-04-12
沪锡2106-择时,0.93,-30.80,-29.74,11.23,-1.15,3,4,8.87,0.15,228,0.57,3.28,9.51,0.11,52.41,平仓
沪纸浆2106,4.38,-27.25,-22.05,45.81,-3.48,7,5,16.93,0.34,472,1.08,-10.01,32.62,0.26,50.55,2021-04-12
沪纸浆2106-择时,-4.11,-13.01,-10.02,3.91,-3.49,2,3,8.02,-0.48,77,0.51,-2.94,0.65,-0.51,47.15,做空
郑白糖109,-3.48,-68.70,-47.39,57.31,-1.16,11,9,17.78,-0.11,4,1.14,-2.36,19.34,-0.20,49.97,2021-04-12
郑白糖109-择时,-0.20,-27.86,-13.16,24.94,0.16,3,5,6.82,0.00,616,0.44,-2.47,11.53,-0.03,47.97,平仓
沪不锈钢2106,-8.00,-25.49,-10.83,17.55,0.57,7,6,20.05,-0.32,4,1.28,-2.20,13.91,-0.40,50.14,2021-04-12
沪不锈钢2106-择时,3.12,-11.59,1.09,19.25,10.05,2,5,10.95,0.34,74,0.70,10.25,15.43,0.28,43.10,做多
10年期国债期货2106,1.55,-7.55,-5.94,9.28,1.89,7,7,4.16,0.39,679,0.27,2.10,6.21,0.37,51.04,2021-04-12
10年期国债期货2106-择时,1.28,-1.53,-0.63,6.15,1.67,2,2,1.70,0.76,416,0.11,1.03,4.92,0.75,55.12,平仓
郑PTA109,-4.65,-68.98,-50.87,69.40,-2.80,10,9,21.07,-0.12,633,1.35,-4.22,23.68,-0.22,50.01,2021-04-12
郑PTA109-择时,0.74,-20.90,-14.58,23.95,1.25,4,4,8.82,0.13,1335,0.56,0.53,12.60,0.08,48.38,平仓
5年期国债期货2106,0.59,-5.42,-4.83,7.77,1.17,13,9,2.98,0.21,793,0.19,1.54,3.86,0.20,51.76,2021-04-12
5年期国债期货2106-择时,1.52,-0.98,-0.39,4.94,1.61,3,5,1.28,1.19,435,0.08,1.16,3.82,1.19,61.42,平仓
2年期国债期货2106,1.18,-2.53,-1.52,3.68,1.23,7,7,1.11,1.06,77,0.07,1.15,2.25,1.06,53.57,2021-04-12
2年期国债期货2106-择时,0.30,-0.74,-0.30,1.34,0.60,2,5,0.50,0.61,120,0.03,0.66,1.00,0.61,53.25,平仓
郑尿素105,15.40,-12.99,-3.49,33.19,14.26,6,10,20.09,0.82,217,1.29,15.20,27.08,0.77,53.09,2021-04-12
郑尿素105-择时,-3.87,-11.64,-8.20,-3.20,-6.36,2,3,7.42,-0.50,46,0.47,-6.68,-5.17,-0.52,39.62,平仓
