x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
S52P2:dongfang-v1,25.73,-9.08,10.35,62.62,26.80,14,14,6.90,3.36,82,0.44,24.79,40.91,3.73,58.32
S52P2:dongfang-v2,33.13,-12.31,8.78,91.81,36.49,21,10,7.28,3.97,130,0.47,29.30,60.98,4.55,62.39
S52P2:equal,17.52,-7.63,-0.20,38.35,19.09,16,9,6.11,2.68,104,0.39,18.91,29.27,2.87,56.18
S52P2:guojun,26.49,-9.54,11.42,66.37,27.83,12,14,7.17,3.32,78,0.46,25.37,42.80,3.69,58.17
S52P2:icir,24.74,-8.50,7.23,65.07,26.38,13,14,6.71,3.33,93,0.43,24.22,42.37,3.68,58.22
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
策略曲线,16.71,-67.11,-53.64,238.24,19.36,14,10,34.24,0.62,529,2.19,11.18,70.32,0.49,56.05
000906,5.83,-71.76,-69.85,160.42,6.68,11,10,27.35,0.34,1847,1.75,3.84,45.07,0.21,53.32
000905,7.88,-72.42,-65.56,197.63,9.59,17,10,30.80,0.40,1679,1.97,3.61,51.97,0.26,55.53
对冲000906,11.21,-59.77,-37.94,88.36,14.78,15,13,16.18,0.74,224,1.04,15.20,45.73,0.69,55.70
对冲000905,8.82,-39.10,-26.00,65.72,11.28,16,10,10.36,0.87,240,0.66,10.51,34.68,0.85,52.95
