sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
中证2109-择时,1.41,-26.86,-18.12,30.81,2.03,8,7,15.86,0.17,930,1.02,1.13,16.55,0.09,49.78
沪深2106,5.48,-45.89,-33.97,115.08,8.23,9,9,24.68,0.34,1019,1.58,4.70,35.02,0.22,50.38
沪深2106-择时,1.18,-37.85,-24.86,60.45,1.89,10,10,16.22,0.15,431,1.04,0.04,18.49,0.07,49.19
上证2105,4.25,-44.52,-30.87,45.41,9.98,9,7,25.11,0.29,690,1.61,11.93,33.49,0.17,51.85
上证2105-择时,-1.74,-18.97,-16.28,23.84,0.05,7,10,11.20,-0.10,695,0.72,-1.05,9.29,-0.16,47.64
连焦炭2109,3.50,-81.91,-46.14,264.10,15.23,16,9,27.52,0.26,1769,1.76,-4.71,110.92,0.13,49.81
连焦炭2109-择时,21.18,-32.26,-23.10,166.01,26.27,16,10,20.49,1.04,368,1.31,17.22,69.39,1.03,50.66
连鸡蛋2109,-8.28,-66.07,-54.13,29.76,-9.24,10,9,20.96,-0.31,69,1.34,-8.07,14.21,-0.40,49.41
连鸡蛋2109-择时,0.95,-31.61,-26.35,28.32,0.47,10,9,12.84,0.14,152,0.82,2.18,13.83,0.07,50.54
连焦煤2105,9.81,-60.38,-43.32,189.13,18.50,7,7,27.96,0.47,878,1.79,10.07,80.43,0.35,50.69
连焦煤2105-择时,-2.39,-41.53,-26.90,40.98,-2.27,7,10,15.16,-0.08,631,0.97,-6.18,23.59,-0.16,47.78
郑粳稻105,-9.36,-43.16,-32.55,18.00,-7.83,6,8,22.23,-0.33,60,1.42,-7.03,6.16,-0.42,45.54
郑粳稻105-择时,-6.21,-22.50,-19.85,8.24,-5.46,6,7,12.73,-0.44,170,0.81,-3.36,4.27,-0.49,49.59
连聚乙烯2109,0.12,-63.67,-55.50,102.65,0.69,9,13,21.91,0.12,54,1.40,1.15,22.37,0.01,50.68
连聚乙烯2109-择时,2.21,-47.19,-26.33,79.90,2.92,13,11,15.80,0.22,584,1.01,-0.42,22.86,0.14,50.06
郑晚籼稻105,-5.30,-34.69,-27.86,17.06,-14.88,5,9,22.61,-0.13,97,1.45,-18.15,-0.78,-0.23,46.80
郑晚籼稻105-择时,-12.63,-36.62,-32.03,2.99,-15.11,7,6,13.07,-0.97,168,0.84,-17.18,-0.31,-0.97,45.62
连豆粕2109,6.80,-45.60,-27.65,102.62,9.32,9,8,20.43,0.42,1030,1.31,6.97,31.75,0.33,51.01
连豆粕2109-择时,6.80,-29.39,-22.65,79.82,8.08,9,9,14.82,0.52,774,0.95,4.06,33.09,0.46,49.98
郑甲醇109,-5.56,-60.26,-42.32,58.18,-4.01,8,11,22.58,-0.14,1137,1.45,-6.71,28.05,-0.25,49.19
郑甲醇109-择时,2.77,-30.64,-22.96,39.84,4.86,11,10,14.03,0.27,172,0.90,2.88,23.73,0.20,49.64
沪镍2106,-0.04,-43.98,-38.28,53.28,4.83,8,6,25.01,0.12,1056,1.60,3.34,25.94,-0.00,52.64
沪镍2106-择时,11.47,-23.04,-16.12,42.12,12.90,8,7,15.32,0.79,290,0.98,11.59,31.68,0.75,52.23
20号胶2106,-3.81,-30.21,-18.67,19.44,-3.25,6,8,29.13,0.01,47,1.86,-4.39,11.78,-0.13,50.91
20号胶2106-择时,-8.70,-24.43,-23.60,-1.35,-12.80,7,9,15.76,-0.50,34,1.01,-12.57,-7.06,-0.55,47.53
郑菜油109,1.14,-64.86,-52.33,81.89,-0.08,11,10,18.28,0.15,35,1.17,-2.31,22.26,0.06,50.20
郑菜油109-择时,2.49,-19.87,-15.80,36.15,2.70,8,10,11.50,0.27,1439,0.74,2.54,10.44,0.22,49.50
连棕油2109,-3.94,-81.00,-61.73,98.59,-4.32,13,9,22.27,-0.07,29,1.43,-9.99,27.46,-0.18,50.53
连棕油2109-择时,6.10,-19.07,-18.60,52.66,7.11,11,12,14.25,0.49,1224,0.91,4.62,25.64,0.43,49.84
沪铅2105,-2.26,-46.32,-23.81,82.80,0.02,11,10,17.51,-0.04,1374,1.12,-4.12,22.44,-0.13,49.30
沪铅2105-择时,-2.69,-32.06,-21.68,28.14,-1.51,8,10,9.53,-0.24,767,0.61,-3.26,10.25,-0.28,49.30
连液化石油气2106,47.64,-18.75,9.06,46.80,20.39,6,5,32.80,1.36,23,2.10,17.28,39.94,1.45,53.85
连液化石油气2106-择时,-24.70,-32.81,-30.08,-21.87,-27.33,6,8,16.28,-1.67,5,1.04,-28.31,-23.48,-1.52,46.96
郑普麦107,-9.86,-76.61,-36.80,25.28,-7.55,7,9,16.82,-0.53,NaN,1.08,-6.82,7.70,-0.59,48.28
郑普麦107-择时,-0.92,-35.34,-25.91,36.39,-0.32,8,8,11.15,-0.03,480,0.71,-0.84,9.85,-0.08,49.18
连聚丙烯2105,7.82,-36.65,-29.85,121.08,9.47,7,7,21.01,0.46,516,1.34,2.16,39.83,0.37,49.88
连聚丙烯2105-择时,2.80,-20.74,-17.44,32.79,2.90,8,10,13.10,0.28,841,0.84,2.03,14.94,0.21,48.60
沪螺钢2110,3.99,-79.05,-41.19,113.91,4.92,11,10,21.50,0.29,2768,1.38,-1.42,46.22,0.19,50.82
沪螺钢2110-择时,9.18,-44.73,-33.81,131.72,10.71,11,13,16.73,0.61,296,1.07,5.62,26.88,0.55,52.08
郑籼稻105,-2.19,-44.51,-23.41,56.47,-1.39,7,8,13.91,-0.09,30,0.89,-5.35,35.73,-0.16,47.29
郑籼稻105-择时,-3.24,-44.14,-38.49,19.06,-0.33,9,8,8.26,-0.36,653,0.53,1.16,10.24,-0.39,48.66
郑菜籽粕109,7.69,-32.43,-25.40,48.33,6.16,11,10,20.79,0.46,1088,1.33,6.04,26.10,0.37,51.12
郑菜籽粕109-择时,-3.17,-31.92,-17.83,21.14,-0.98,8,8,12.01,-0.21,524,0.77,-2.38,10.71,-0.26,48.57
连粳米2106,-8.51,-15.68,-12.94,-0.56,-7.59,6,9,9.23,-0.92,NaN,0.59,-7.98,-2.43,-0.92,45.36
连粳米2106-择时,-5.53,-10.68,-8.84,-2.80,-5.81,6,10,4.33,-1.29,72,0.28,-5.91,-3.11,-1.28,46.95
郑油菜籽107,3.97,-34.83,-31.59,61.10,2.17,8,10,23.10,0.28,438,1.48,-0.45,37.01,0.17,49.02
郑油菜籽107-择时,-14.39,-63.52,-43.68,0.92,-15.86,7,10,14.23,-1.02,84,0.91,-10.05,-2.44,-1.01,48.12
沪天胶2109,-4.80,-92.39,-55.07,116.08,-1.97,9,10,28.05,-0.03,1085,1.80,-8.30,42.82,-0.17,50.94
沪天胶2109-择时,10.90,-41.54,-29.77,94.38,14.05,9,8,21.15,0.59,753,1.35,12.42,44.89,0.52,49.97
郑纯碱109,-12.78,-36.37,-35.29,1.79,-18.98,4,6,23.93,-0.45,21,1.53,-24.96,-2.25,-0.53,45.08
郑纯碱109-择时,10.11,-13.11,-0.66,16.48,5.32,6,6,13.57,0.78,77,0.87,4.73,12.43,0.74,52.06
中质含硫原油2106,-20.18,-74.34,-62.53,27.19,-28.87,7,9,34.33,-0.48,28,2.20,-27.28,1.37,-0.59,50.14
中质含硫原油2106-择时,6.48,-22.78,-20.84,26.50,4.61,7,8,19.79,0.42,310,1.27,5.35,17.50,0.33,52.39
郑硅铁105,1.97,-41.34,-37.63,65.27,3.68,13,7,23.96,0.20,750,1.53,-2.60,42.78,0.08,50.63
郑硅铁105-择时,14.54,-33.26,-30.24,109.78,22.35,6,8,18.13,0.84,315,1.16,15.67,76.70,0.80,50.90
郑锰硅105,12.76,-45.29,-44.34,185.90,23.88,11,8,24.12,0.62,391,1.54,11.19,69.80,0.53,50.57
郑锰硅105-择时,16.03,-31.03,-20.28,99.06,21.38,11,8,16.79,0.97,109,1.07,11.42,65.32,0.95,51.84
沪锡2106,6.06,-35.80,-27.55,79.09,8.17,8,9,19.01,0.40,973,1.22,-1.05,36.27,0.32,49.76
沪锡2106-择时,-4.73,-44.92,-30.45,25.23,-5.47,8,8,10.56,-0.41,112,0.68,-7.45,11.46,-0.45,46.83
沪纸浆2106,6.05,-27.25,-22.05,45.81,-2.85,7,5,17.34,0.43,472,1.11,-9.95,34.58,0.35,50.64
沪纸浆2106-择时,0.47,-14.80,-10.64,9.14,-3.12,6,9,10.05,0.10,404,0.64,-4.99,5.36,0.05,47.55
郑白糖109,-3.42,-68.70,-47.39,57.31,-1.15,11,9,17.78,-0.11,4,1.14,-2.33,19.34,-0.19,49.96
郑白糖109-择时,1.95,-27.28,-18.80,46.82,2.39,10,10,11.03,0.23,223,0.71,1.60,13.55,0.18,48.17
沪不锈钢2106,-9.88,-25.49,-10.83,17.55,0.75,7,6,20.03,-0.42,4,1.28,-1.75,13.79,-0.49,49.86
沪不锈钢2106-择时,0.86,-9.77,-3.53,9.37,3.77,6,6,11.46,0.13,55,0.73,4.10,7.32,0.07,50.97
10年期国债期货2106,1.65,-7.55,-5.94,9.28,1.87,7,7,4.16,0.41,679,0.27,2.08,6.21,0.40,51.07
10年期国债期货2106-择时,0.75,-3.61,-3.30,5.33,0.92,6,11,2.26,0.34,434,0.14,0.60,3.32,0.33,47.55
郑PTA109,-4.25,-68.98,-50.87,69.40,-2.76,10,9,21.07,-0.10,633,1.35,-4.14,23.70,-0.20,50.06
郑PTA109-择时,12.06,-40.67,-31.09,79.80,15.03,9,11,15.47,0.81,932,0.99,11.69,47.26,0.78,49.76
5年期国债期货2106,0.64,-5.42,-4.83,7.77,1.16,13,9,2.98,0.23,793,0.19,1.54,3.86,0.22,51.78
5年期国债期货2106-择时,0.86,-3.29,-2.89,4.86,1.06,9,8,1.63,0.53,475,0.10,0.91,2.95,0.53,50.22
