x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
S5千3,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
300,11.97,-72.30,-70.85,314.32,22.32,12,10,26.59,0.56,73,1.70,6.27,93.86,0.45,53.84
择时策略,14.19,-25.00,-21.75,162.01,18.38,12,9,14.96,0.96,573,0.96,6.87,79.97,0.95,50.66
改进择时策略净值,14.43,-22.22,-17.56,130.61,18.01,12,7,14.91,0.98,522,0.95,8.45,68.08,0.97,50.88
