sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16,sta_re17
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%),择时信号
上证综指,4.32,-71.98,-71.12,243.93,9.90,11,9,24.03,0.30,1331,1.54,-1.73,63.20,0.18,52.96,2021-05-06
上证综指-择时,19.15,-32.32,-24.68,202.09,23.95,10,12,24.00,0.85,504,1.54,14.78,66.30,0.80,53.23,做多
上证A股,4.26,-71.96,-71.10,243.73,9.83,11,9,24.04,0.29,1331,1.54,-1.77,63.37,0.18,52.92,2021-05-06
上证A股-择时,18.74,-32.34,-24.69,202.51,23.55,10,12,24.01,0.84,504,1.54,14.43,66.22,0.78,53.00,做多
上证B股,9.27,-78.58,-77.21,429.65,20.92,15,9,30.09,0.45,1822,1.93,-3.10,112.00,0.31,52.45,2021-05-06
上证B股-择时,32.86,-33.02,-30.23,457.78,44.07,15,10,30.03,1.10,929,1.92,19.96,133.46,1.09,53.57,做多
上证工业,5.15,-75.86,-74.09,301.59,11.74,14,8,24.82,0.33,1333,1.59,-0.93,64.01,0.21,52.91,2021-05-06
上证工业-择时,21.67,-31.59,-27.10,176.42,26.20,14,12,24.78,0.92,372,1.59,15.34,85.62,0.87,53.22,做多
上证商业,4.47,-74.81,-63.08,229.46,11.92,17,10,27.84,0.30,1740,1.78,-4.59,86.76,0.16,52.91,2021-05-06
上证商业-择时,28.10,-45.08,-37.64,198.83,33.26,17,9,27.78,1.03,953,1.78,25.60,82.73,1.01,53.88,做空
上证地产,5.76,-77.31,-75.06,453.82,18.91,12,10,32.87,0.34,1859,2.10,-2.02,93.24,0.18,50.29,2021-05-06
上证地产-择时,6.15,-74.69,-43.80,172.35,10.41,12,10,32.87,0.35,1007,2.10,4.91,50.50,0.19,50.31,做空
上证公用,3.56,-72.78,-65.72,296.49,10.88,11,10,26.15,0.27,1314,1.67,-4.95,65.31,0.14,51.65,2021-05-06
上证公用-择时,15.33,-41.57,-33.88,191.68,19.84,9,11,26.13,0.68,811,1.67,10.17,68.40,0.59,52.54,做空
上证综合,3.27,-68.69,-68.69,192.99,8.22,11,10,25.33,0.25,1525,1.62,-2.68,64.48,0.13,49.80,2021-05-06
上证综合-择时,12.26,-38.92,-28.19,196.85,15.67,11,13,25.32,0.58,797,1.62,10.21,46.61,0.48,51.25,做空
上证380,2.62,-63.80,-51.28,207.41,7.77,10,8,25.42,0.23,874,1.63,1.77,39.59,0.10,53.69,2021-05-06
上证380-择时,4.24,-55.41,-41.09,124.27,6.98,10,8,25.42,0.29,222,1.63,0.90,38.99,0.17,51.36,做多
上证180,5.91,-72.28,-70.98,309.33,13.42,13,10,25.37,0.35,1522,1.62,-0.61,68.38,0.23,51.66,2021-05-06
上证180-择时,12.59,-41.73,-32.64,172.10,17.57,13,11,25.36,0.59,920,1.62,8.91,58.54,0.50,51.85,做多
上证基金,10.02,-58.72,-52.93,294.53,17.33,13,10,20.60,0.57,1694,1.32,3.57,67.16,0.49,50.21,2021-05-06
上证基金-择时,13.87,-33.15,-24.17,231.98,18.77,13,12,20.59,0.73,721,1.32,7.28,44.34,0.67,52.57,做多
上证国债,3.47,-10.42,-9.80,14.79,3.60,34,8,1.39,2.46,420,0.09,3.48,6.94,2.50,68.49,2021-05-06
上证国债-择时,4.43,-2.36,0.16,15.01,4.52,34,9,1.38,3.15,215,0.09,3.87,9.18,3.21,67.35,做多
上证企债,5.10,-12.32,-9.65,26.01,5.66,202,13,1.88,2.65,611,0.12,5.49,12.99,2.71,72.97,2021-05-06
上证企债-择时,6.96,-3.83,-0.42,25.30,7.05,202,10,1.86,3.63,195,0.12,6.21,11.65,3.75,74.15,做多
