x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
,总计交易日,交易次数,盈利次数,亏损次数,平均盈利率%,平均亏损率%,成功率%,累计收益率%,最大回撤率%,年化收益率%,累计收益（无手续费）%,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
ZJIH,1017,1017,278,739,0.525316773605135,-0.165883955323976,27.3352999016716,25.3459362268078,12.9708877522274,6.2305644608672,38.7606607172164,5.60,-12.97,-12.20,22.53,4.87,5,18,6.44,0.88,388,0.41,4.67,18.56,0.87,27.36
ZJIC,1034,1034,296,738,0.707180797976459,-0.208829562210661,28.6266924564797,71.2176646610734,6.00279927196089,17.2189711462943,89.8583218242427,13.64,-6.00,-0.45,33.05,16.87,4,15,8.22,1.60,100,0.53,16.82,25.82,1.66,28.65
ZJIF,2252,2252,613,1639,0.665007822550085,-0.19190330838771,27.2202486678508,145.505550086894,8.96762532888413,16.1529251872662,207.483597290576,10.24,-8.97,-3.37,34.79,10.30,6,28,8.51,1.19,232,0.54,8.40,22.83,1.20,27.23
