sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
多空-弹簧策略-上证综指,16.45,-14.24,-11.78,62.94,18.77,12,15,7.57,2.05,360,0.48,11.90,49.47,2.17,54.14
多空-弹簧策略-沪深300,4.78,-13.82,-8.08,23.64,4.39,13,8,4.71,1.02,581,0.30,4.10,13.66,1.01,53.59
多空-弹簧策略-中证500,6.47,-17.30,-14.40,26.34,6.27,14,11,5.35,1.20,420,0.34,5.76,20.44,1.21,53.89
多空-弹簧策略-A股市场,23.81,-20.10,-15.48,119.91,28.05,13,10,8.30,2.62,202,0.53,19.10,80.45,2.87,57.32
多空-动量上涨加减速-上证综指,15.53,-17.31,-11.78,85.26,15.98,11,10,11.46,1.32,192,0.73,9.14,54.38,1.36,52.76
多空-动量上涨加减速-沪深300,8.74,-27.39,-24.54,85.69,9.07,14,11,15.97,0.60,611,1.02,4.63,39.88,0.55,51.86
多空-动量上涨加减速-中证500,7.77,-25.31,-14.73,99.24,9.65,11,9,12.93,0.64,1581,0.83,5.50,28.23,0.60,51.39
多空-动量上涨加减速-A股市场,11.72,-15.04,-11.50,61.37,12.03,15,12,9.24,1.25,231,0.59,7.87,32.74,1.27,53.55
多空-动量下跌加减速-上证综指,7.20,-27.08,-16.55,78.89,8.28,13,12,12.18,0.63,401,0.78,6.31,19.17,0.59,52.44
多空-动量下跌加减速-沪深300,2.50,-43.37,-29.49,54.88,3.61,11,12,15.98,0.23,814,1.02,3.05,25.71,0.16,50.40
多空-动量下跌加减速-中证500,6.39,-33.07,-24.77,42.48,7.98,13,10,14.08,0.51,494,0.90,7.11,28.81,0.45,51.83
多空-动量下跌加减速-A股市场,9.61,-27.66,-12.91,72.25,10.56,14,12,9.61,1.00,545,0.62,5.87,24.53,1.00,54.51
