sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
上证综指,4.32,-71.98,-71.12,243.93,9.90,11,9,24.03,0.30,1331,1.54,-1.73,63.20,0.18,52.96
上证综指-择时,14.54,-28.43,-23.00,147.49,17.89,10,12,19.69,0.79,973,1.26,11.64,52.82,0.74,53.10
上证A股,4.26,-71.96,-71.10,243.73,9.83,11,9,24.04,0.29,1331,1.54,-1.77,63.37,0.18,52.92
上证A股-择时,14.23,-31.42,-27.62,144.32,17.61,10,12,19.38,0.78,973,1.24,11.49,51.08,0.73,52.69
上证B股,9.27,-78.58,-77.21,429.65,20.92,15,9,30.09,0.45,1822,1.93,-3.10,112.00,0.31,52.45
上证B股-择时,26.29,-30.45,-29.48,218.87,32.93,15,10,25.25,1.05,929,1.62,18.71,98.56,1.04,53.57
上证工业,5.15,-75.86,-74.09,301.59,11.74,14,8,24.82,0.33,1333,1.59,-0.93,64.01,0.21,52.91
上证工业-择时,16.71,-26.59,-23.55,150.31,20.10,14,12,20.44,0.86,464,1.31,10.78,64.46,0.82,53.13
上证商业,4.47,-74.81,-63.08,229.46,11.92,17,10,27.84,0.30,1740,1.78,-4.59,86.76,0.16,52.91
上证商业-择时,22.07,-43.53,-36.43,185.03,26.42,17,9,24.14,0.95,892,1.55,20.70,71.60,0.91,53.94
上证地产,5.76,-77.31,-75.06,453.82,18.91,12,10,32.87,0.34,1859,2.10,-2.02,93.24,0.18,50.29
上证地产-择时,5.06,-57.71,-42.40,96.11,7.45,12,10,24.16,0.33,1009,1.55,5.50,40.01,0.21,50.43
上证公用,3.56,-72.78,-65.72,296.49,10.88,11,10,26.15,0.27,1314,1.67,-4.95,65.31,0.14,51.65
上证公用-择时,11.81,-35.90,-26.07,122.13,13.66,9,11,20.11,0.66,930,1.29,9.49,44.58,0.59,52.30
上证综合,3.27,-68.69,-68.69,192.99,8.22,11,10,25.33,0.25,1525,1.62,-2.68,64.48,0.13,49.80
上证综合-择时,7.81,-30.97,-24.34,105.44,9.55,11,10,19.08,0.49,973,1.22,6.08,31.16,0.41,50.90
上证380,2.62,-63.80,-51.28,207.41,7.77,10,8,25.42,0.23,874,1.63,1.77,39.59,0.10,53.69
上证380-择时,4.72,-26.62,-21.90,91.94,6.56,12,8,14.99,0.38,740,0.96,1.27,26.17,0.32,51.28
上证180,5.91,-72.28,-70.98,309.33,13.42,13,10,25.37,0.35,1522,1.62,-0.61,68.38,0.23,51.66
上证180-择时,11.15,-29.58,-23.63,96.37,13.80,13,10,18.40,0.67,546,1.18,8.24,47.24,0.61,51.85
上证基金,10.02,-58.72,-52.93,294.53,17.33,13,10,20.60,0.57,1694,1.32,3.57,67.16,0.49,50.21
上证基金-择时,9.26,-30.14,-23.31,152.86,12.02,13,12,17.22,0.60,707,1.10,5.10,33.61,0.54,52.55
上证国债,3.47,-10.42,-9.80,14.79,3.60,34,8,1.39,2.46,420,0.09,3.48,6.94,2.50,68.49
上证国债-择时,2.27,-1.64,-0.74,10.35,2.30,30,9,0.89,2.52,342,0.06,1.76,6.01,2.54,65.22
上证企债,5.10,-12.32,-9.65,26.01,5.66,202,13,1.88,2.65,611,0.12,5.49,12.99,2.71,72.97
上证企债-择时,3.83,-1.54,-0.68,12.36,3.87,202,10,1.25,3.01,159,0.08,3.28,8.34,3.06,73.69
上证红利,6.57,-74.34,-72.28,338.66,17.91,12,11,26.87,0.37,290,1.72,0.60,87.22,0.24,52.27
上证红利-择时,15.87,-26.38,-22.95,114.50,19.15,12,8,19.82,0.84,355,1.27,12.93,53.21,0.80,51.59
上证50,7.44,-72.41,-71.54,316.73,17.79,19,9,26.39,0.40,622,1.69,2.65,78.13,0.28,50.94
上证50-择时,7.82,-45.77,-24.37,82.79,10.20,11,10,18.71,0.50,339,1.20,7.76,32.50,0.42,50.06
上证中型企业,4.31,-71.02,-64.08,206.67,9.48,17,10,29.39,0.29,962,1.88,5.84,51.51,0.15,55.82
上证中型企业-择时,12.81,-28.70,-24.78,98.32,15.23,17,9,21.10,0.68,891,1.35,10.91,43.42,0.61,53.62
上证流通,3.50,-53.06,-45.89,172.08,7.42,9,8,22.35,0.27,883,1.43,3.62,35.57,0.16,52.63
上证流通-择时,5.33,-18.64,-14.87,63.57,7.50,9,9,13.40,0.45,817,0.86,3.62,30.36,0.40,49.66
上证100,12.06,-73.32,-68.00,246.92,22.91,17,11,28.49,0.54,1708,1.82,6.54,107.15,0.42,54.89
上证100-择时,16.12,-46.92,-34.39,138.73,20.95,17,14,23.12,0.76,436,1.48,12.78,69.50,0.70,53.66
上证150,8.92,-72.22,-63.14,326.39,22.69,17,10,30.62,0.43,983,1.96,4.92,110.25,0.29,56.58
上证150-择时,26.23,-39.44,-30.68,207.99,35.33,17,9,25.20,1.05,633,1.61,20.07,92.12,1.04,55.34
沪深300,7.39,-72.30,-70.85,314.32,17.16,12,10,25.77,0.41,1034,1.65,1.31,80.79,0.29,52.62
沪深300-择时,12.01,-33.02,-28.18,134.15,15.68,12,12,19.53,0.68,578,1.25,4.06,60.53,0.62,51.75
中证1000,12.14,-72.51,-65.18,288.29,26.04,17,10,31.15,0.53,929,1.99,11.60,111.82,0.39,56.31
中证1000-择时,16.86,-47.34,-35.51,162.55,24.99,17,9,26.72,0.72,792,1.71,17.66,78.82,0.63,54.12
