x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
S49行业轮动因子-全市场,11.39,-18.58,-11.79,55.68,12.24,13,9,11.77,0.98,394,0.75,11.20,26.26,0.97,53.42
S49行业轮动因子-中证500,11.22,-23.46,-21.93,44.98,11.85,13,12,14.26,0.82,377,0.91,10.87,32.09,0.79,52.62
S49行业轮动因子-沪深300,12.58,-31.38,-23.26,60.96,14.30,10,9,16.83,0.79,638,1.08,15.61,38.40,0.75,52.80
