indexMethod,dealDate,symbol,weight
csi500-csi500-ETE,2010-12-31,000511,0.0569827671656503
csi500-csi500-ETE,2010-12-31,600682,0.0403109882727468
csi500-csi500-ETE,2010-12-31,600162,0.0342266490480484
csi500-csi500-ETE,2010-12-31,000916,0.0341661315547111
csi500-csi500-ETE,2010-12-31,000597,0.0334431895212708
csi500-csi500-ETE,2010-12-31,002251,0.0321212896352994
csi500-csi500-ETE,2010-12-31,600590,0.0308207951082139
csi500-csi500-ETE,2010-12-31,600557,0.0300121171768609
csi500-csi500-ETE,2010-12-31,600191,0.0283191071554995
csi500-csi500-ETE,2010-12-31,600359,0.0276260443336233
csi500-csi500-ETE,2010-12-31,600884,0.0266844575454776
csi500-csi500-ETE,2010-12-31,600555,0.026071558802622
csi500-csi500-ETE,2010-12-31,600328,0.0254612872587153
csi500-csi500-ETE,2010-12-31,600475,0.0253075011667969
csi500-csi500-ETE,2010-12-31,600138,0.0242582557217028
csi500-csi500-ETE,2010-12-31,002328,0.0236060773206593
csi500-csi500-ETE,2010-12-31,600487,0.0234765051996773
csi500-csi500-ETE,2010-12-31,600602,0.0234326374062165
csi500-csi500-ETE,2010-12-31,000987,0.0230123494887232
csi500-csi500-ETE,2010-12-31,000016,0.0229924001076823
csi500-csi500-ETE,2010-12-31,000548,0.0228949231732723
csi500-csi500-ETE,2010-12-31,600326,0.0228868482868113
csi500-csi500-ETE,2010-12-31,600761,0.0223427776184414
csi500-csi500-ETE,2010-12-31,600548,0.0218299580817841
csi500-csi500-ETE,2010-12-31,600836,0.021724706264541
csi500-csi500-ETE,2010-12-31,600606,0.0215256764191994
csi500-csi500-ETE,2010-12-31,002123,0.0214524830184758
csi500-csi500-ETE,2010-12-31,000990,0.0206972596117899
csi500-csi500-ETE,2010-12-31,600121,0.0202335163764924
csi500-csi500-ETE,2010-12-31,600770,0.0201198505798518
csi500-csi500-ETE,2010-12-31,600178,0.0200742274272344
csi500-csi500-ETE,2010-12-31,000786,0.0198472227883474
csi500-csi500-ETE,2010-12-31,600363,0.019706041065579
csi500-csi500-ETE,2010-12-31,000860,0.0193753822977898
csi500-csi500-ETE,2010-12-31,000099,0.0193014124127798
csi500-csi500-ETE,2010-12-31,600317,0.0191711763700648
csi500-csi500-ETE,2010-12-31,002274,0.0188048610404696
