sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
多空-弹簧策略-上证综指,16.66,-14.24,-11.78,62.94,18.90,12,15,7.56,2.08,360,0.48,12.06,49.53,2.20,54.14
多空-弹簧策略-沪深300,4.68,-13.82,-8.08,23.64,4.41,13,8,4.70,1.00,581,0.30,4.13,13.80,1.00,53.51
多空-弹簧策略-中证500,6.12,-17.30,-14.40,26.34,6.32,14,11,5.34,1.14,420,0.34,5.80,20.47,1.15,53.78
多空-弹簧策略-A股市场,23.88,-20.10,-15.48,119.91,28.25,13,10,8.31,2.62,202,0.53,19.39,80.83,2.88,57.34
多空-动量上涨加减速-上证综指,15.31,-17.31,-11.78,85.26,16.07,11,10,11.47,1.30,192,0.73,9.17,54.65,1.34,52.66
多空-动量上涨加减速-沪深300,8.68,-27.39,-24.54,85.69,9.13,14,11,15.98,0.60,611,1.02,4.69,40.34,0.54,51.89
多空-动量上涨加减速-中证500,7.68,-25.31,-14.73,99.24,9.70,11,9,12.93,0.64,1581,0.83,5.59,28.40,0.59,51.41
多空-动量上涨加减速-A股市场,11.59,-15.04,-11.50,61.37,12.09,15,12,9.25,1.23,231,0.59,7.92,32.78,1.25,53.46
多空-动量下跌加减速-上证综指,7.15,-27.08,-16.55,78.89,8.38,13,12,12.21,0.63,401,0.78,6.42,19.20,0.59,52.34
多空-动量下跌加减速-沪深300,2.49,-43.37,-29.49,54.88,3.64,11,12,16.01,0.23,814,1.02,3.11,25.81,0.16,50.42
多空-动量下跌加减速-中证500,6.32,-33.07,-24.77,42.48,8.05,13,10,14.11,0.51,494,0.90,7.21,28.87,0.45,51.76
多空-动量下跌加减速-A股市场,9.55,-27.66,-12.91,72.25,10.66,14,12,9.63,1.00,545,0.62,5.91,24.64,0.99,54.48
