sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16,sta_re17
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%),择时信号
上证综指,4.34,-71.98,-71.12,243.93,9.87,11,9,24.06,0.30,1331,1.54,-1.89,63.38,0.18,52.98,2021-04-12
上证综指-高阶择时,11.81,-48.13,-40.77,127.37,14.98,11,11,23.05,0.60,987,1.48,11.61,47.07,0.51,50.99,做空
上证A股,4.27,-71.96,-71.10,243.73,9.80,11,9,24.07,0.29,1331,1.54,-1.84,63.39,0.18,52.94,2021-04-12
上证A股-高阶择时,11.80,-46.61,-40.86,126.88,15.89,11,11,23.13,0.60,987,1.48,12.05,50.47,0.51,50.87,做空
上证B股,9.26,-78.58,-77.21,429.65,20.94,15,9,30.13,0.44,1822,1.93,-3.24,112.09,0.31,52.43,2021-04-12
上证B股-高阶择时,9.08,-51.99,-47.52,113.76,12.52,13,11,28.71,0.45,842,1.84,10.47,39.53,0.32,50.78,做空
上证工业,5.10,-75.86,-74.09,301.59,11.67,14,8,24.84,0.33,1333,1.59,-1.02,64.08,0.21,52.93,2021-04-12
上证工业-高阶择时,12.80,-59.51,-42.77,117.18,15.70,14,12,24.22,0.62,1123,1.55,13.87,47.14,0.53,51.28,做多
上证商业,4.58,-74.81,-63.08,229.46,11.91,17,10,27.87,0.30,1740,1.78,-4.72,86.94,0.16,52.93,2021-04-12
上证商业-高阶择时,11.79,-53.65,-45.96,99.76,15.60,17,15,26.33,0.56,735,1.69,16.26,50.23,0.45,51.16,做空
上证地产,5.88,-77.31,-75.06,453.82,18.97,12,10,32.91,0.34,1859,2.11,-2.08,93.35,0.18,50.30,2021-04-12
上证地产-高阶择时,5.36,-82.45,-72.26,193.19,12.36,12,11,30.99,0.32,1963,1.98,6.37,57.85,0.17,50.02,做空
上证公用,3.78,-72.78,-65.72,296.49,10.91,11,10,26.18,0.27,1314,1.68,-4.99,65.43,0.14,51.68,2021-04-12
上证公用-高阶择时,10.82,-60.69,-52.27,190.99,13.96,9,10,24.87,0.54,1128,1.59,10.80,39.96,0.43,51.54,做空
上证综合,3.34,-68.69,-68.69,192.99,8.21,11,10,25.36,0.26,1525,1.62,-2.82,64.64,0.13,49.79,2021-04-12
上证综合-高阶择时,2.90,-62.55,-41.75,64.67,5.32,10,10,24.37,0.24,1957,1.56,3.16,34.58,0.12,49.64,做空
上证380,2.48,-63.80,-51.28,207.41,7.66,10,8,25.48,0.22,874,1.63,1.70,39.68,0.10,53.69,2021-04-12
上证380-高阶择时,2.17,-47.35,-36.15,164.69,8.13,9,9,24.73,0.21,785,1.58,-1.74,57.78,0.09,50.15,做空
上证180,5.94,-72.28,-70.98,309.33,13.38,13,10,25.40,0.35,1522,1.63,-0.72,69.05,0.23,51.65,2021-04-12
上证180-高阶择时,13.18,-45.30,-38.76,130.75,17.03,13,11,23.87,0.64,725,1.53,11.10,57.38,0.55,51.00,做空
上证基金,10.01,-58.72,-52.93,294.53,17.33,13,10,20.62,0.57,1694,1.32,3.55,67.41,0.49,50.22,2021-04-12
上证基金-高阶择时,5.24,-66.40,-53.56,85.17,7.82,13,15,19.80,0.36,1531,1.27,3.25,39.18,0.26,50.62,做多
上证国债,3.46,-10.42,-9.80,14.79,3.61,34,8,1.39,2.46,420,0.09,3.49,6.95,2.49,68.45,2021-04-12
上证国债-高阶择时,1.10,-5.93,-2.93,14.54,1.12,27,22,1.40,0.79,321,0.09,0.18,4.92,0.78,51.01,做多
上证企债,5.10,-12.32,-9.65,26.01,5.66,202,13,1.88,2.65,611,0.12,5.52,13.01,2.70,72.88,2021-04-12
上证企债-高阶择时,1.69,-7.08,-4.36,15.45,1.80,34,29,1.83,0.92,951,0.12,0.53,7.53,0.92,51.90,做多
上证红利,6.62,-74.34,-72.28,338.66,17.92,12,11,26.91,0.37,290,1.72,0.48,87.55,0.25,52.27,2021-04-12
上证红利-高阶择时,17.38,-32.87,-27.65,135.26,21.30,11,11,25.48,0.76,475,1.63,13.09,60.48,0.68,51.35,做空
上证50,7.51,-72.41,-71.54,316.73,17.76,19,9,26.42,0.41,622,1.69,2.49,78.18,0.28,50.95,2021-04-12
上证50-高阶择时,11.27,-53.50,-33.15,118.37,15.61,11,10,25.28,0.55,339,1.62,9.45,50.58,0.45,49.73,做空
上证中型企业,4.21,-71.02,-64.08,206.67,9.42,17,10,29.44,0.29,962,1.88,5.56,51.61,0.14,55.89,2021-04-12
上证中型企业-高阶择时,10.47,-39.32,-32.25,106.86,14.08,10,10,27.33,0.50,702,1.75,9.27,52.59,0.38,51.43,做多
上证流通,3.50,-53.06,-45.89,172.08,7.31,9,8,22.40,0.27,883,1.43,3.36,35.77,0.16,52.62,2021-04-12
上证流通-高阶择时,3.49,-50.24,-25.38,61.82,6.46,9,11,20.43,0.27,339,1.31,-1.85,38.34,0.17,49.58,做多
上证100,11.96,-73.32,-68.00,246.92,22.89,17,11,28.53,0.54,1708,1.83,6.46,107.37,0.42,54.87,2021-04-12
上证100-高阶择时,16.15,-43.27,-23.63,97.02,19.02,11,13,27.33,0.68,536,1.75,14.98,48.05,0.59,52.56,做多
上证150,8.94,-72.22,-63.14,326.39,22.76,17,10,30.67,0.43,983,1.96,5.01,110.76,0.29,56.66,2021-04-12
上证150-高阶择时,21.87,-46.88,-29.92,284.80,34.76,12,12,29.80,0.81,666,1.91,12.86,126.29,0.73,52.59,做多
沪深300,7.32,-72.30,-70.85,314.32,17.11,12,10,25.80,0.40,1034,1.65,1.18,80.97,0.28,52.62,2021-04-12
沪深300-高阶择时,13.44,-45.96,-37.88,164.50,19.65,12,11,24.93,0.63,933,1.60,6.40,83.18,0.54,51.36,做多
中证1000,12.21,-72.51,-65.18,288.29,26.09,17,10,31.20,0.53,929,2.00,11.53,111.99,0.39,56.38,2021-04-12
中证1000-高阶择时,-0.23,-57.68,-37.33,106.12,3.65,11,11,29.26,0.14,1330,1.87,-0.75,34.94,-0.01,50.92,做多
中证流通,12.07,-71.48,-69.13,278.36,21.12,17,10,27.53,0.55,1752,1.76,4.19,100.20,0.44,55.01,2021-04-12
中证流通-高阶择时,15.50,-40.54,-25.44,168.24,20.40,13,11,25.95,0.69,696,1.66,12.42,63.01,0.60,51.86,做空
中证100,9.61,-71.72,-70.94,324.66,18.47,13,10,25.71,0.49,513,1.65,2.51,77.77,0.37,51.96,2021-04-12
中证100-高阶择时,14.04,-42.73,-33.77,146.85,19.59,11,11,24.67,0.66,474,1.58,12.75,63.56,0.57,50.02,做空
中证200,10.96,-73.77,-70.47,304.97,24.54,17,10,29.15,0.50,1763,1.87,5.50,108.42,0.38,54.35,2021-04-12
中证200-高阶择时,14.12,-46.81,-29.44,94.13,17.62,11,11,27.52,0.62,675,1.76,13.46,48.06,0.51,51.34,做多
中证500,12.16,-72.42,-65.56,251.29,25.14,17,10,30.31,0.53,1679,1.94,8.32,112.57,0.40,56.02,2021-04-12
中证500-高阶择时,13.11,-46.58,-42.67,194.30,19.57,17,8,29.47,0.57,666,1.89,14.97,58.98,0.44,51.95,做多
中证800,10.87,-71.76,-69.85,292.94,22.74,11,10,26.92,0.52,1847,1.72,6.62,96.24,0.40,53.86,2021-04-12
中证800-高阶择时,15.29,-46.13,-37.44,174.62,21.47,11,11,25.57,0.68,889,1.64,11.98,68.49,0.60,51.20,做多
中证700,11.55,-73.16,-68.27,273.41,24.77,17,10,29.50,0.52,1740,1.89,6.26,109.56,0.39,55.21,2021-04-12
中证700-高阶择时,11.98,-49.01,-31.68,87.46,15.17,12,11,28.14,0.54,704,1.80,11.55,50.44,0.43,52.12,做空
中证红利,10.42,-72.13,-68.73,359.18,22.47,12,10,27.04,0.50,1850,1.73,5.08,96.25,0.39,53.44,2021-04-12
中证红利-高阶择时,21.70,-35.42,-29.02,243.38,28.59,12,10,26.23,0.88,427,1.68,13.25,87.25,0.83,52.16,做空
深证成指,6.72,-70.98,-70.31,349.16,15.30,13,10,27.36,0.38,1350,1.75,-0.25,73.42,0.25,51.71,2021-04-12
深证成指-高阶择时,4.12,-72.13,-70.39,86.92,6.31,13,10,26.26,0.29,3206,1.68,4.36,35.58,0.16,50.73,做多
深证深成指R,7.08,-70.68,-70.01,353.65,15.77,13,10,27.36,0.39,1851,1.75,-0.17,73.97,0.26,51.66,2021-04-12
深证深成指R-高阶择时,2.06,-72.05,-70.30,86.89,4.38,13,11,26.28,0.21,3205,1.68,1.78,35.92,0.08,50.32,做多
深证100R,12.70,-71.28,-69.90,331.76,23.45,14,10,27.67,0.57,1847,1.77,6.03,94.35,0.46,52.91,2021-04-12
深证100R-高阶择时,5.51,-45.57,-30.49,89.52,8.19,14,16,26.97,0.33,941,1.73,7.29,36.89,0.20,50.41,做多
深证中小板指,14.17,-67.37,-61.09,187.97,21.46,17,10,29.35,0.60,1057,1.88,10.65,91.23,0.48,54.65,2021-04-12
