x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
,总计交易日,交易次数,盈利次数,亏损次数,平均盈利率%,平均亏损率%,成功率%,累计收益率%,最大回撤率%,年化收益率%,累计收益（无手续费）%,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
郑菜油001合约,1207,1207,317,890,0.407933952583926,-0.109942122929679,26.2634631317316,36.1882010760289,3.1436618649257,7.49548489561494,53.6537074876951,6.46,-3.14,0.51,14.04,7.17,5,22,4.85,1.32,225,0.31,6.98,12.11,1.33,26.29
连棕油0801合约,2549,2549,718,1831,0.505504971469299,-0.134613495414775,28.1679089839153,214.416876310977,7.7541756673653,21.0295092498016,305.65147479329,11.60,-7.75,-2.14,36.51,10.70,8,39,6.05,1.85,214,0.39,10.03,19.77,1.92,28.18
沪铅1109合约,1719,1719,393,1326,0.449426317173248,-0.0956158300891287,22.8621291448517,63.1004175861009,4.39790185963607,9.17690773503504,93.6804174932186,7.19,-4.40,-0.13,15.72,7.13,4,22,5.12,1.38,136,0.33,7.00,12.40,1.40,22.88
连聚丙烯1405合约,1011,1011,272,739,0.564805837545272,-0.166308451694966,26.9040553907023,34.8502581354927,5.40603310713512,8.61776907405852,49.1915174349603,7.52,-5.41,0.92,17.67,6.76,10,26,6.32,1.18,163,0.40,6.07,11.20,1.19,26.93
沪螺钢0909合约,2206,2206,562,1644,0.600971197446948,-0.130450860795636,25.4759746146872,236.552263580859,4.93572939118396,26.807826788402,319.566898542187,14.38,-4.94,1.82,29.57,14.78,4,25,6.50,2.10,158,0.42,14.15,23.87,2.21,25.49
郑菜籽粕001合约,1156,1156,339,817,0.489852179188124,-0.152547595442033,29.3252595155709,50.0589942260586,6.56377599091485,10.8259070558085,68.4405699198884,8.99,-6.56,-3.00,15.12,8.32,5,16,5.96,1.47,251,0.38,8.64,12.42,1.51,29.35
郑菜油001合约,805,805,227,578,0.308504644351657,-0.088944458977823,28.1987577639752,20.1924793937641,3.46980693724725,6.2709563334671,30.2651859266183,5.76,-3.47,0.32,12.40,6.77,5,16,3.72,1.53,163,0.24,7.57,10.80,1.55,28.23
沪天胶0201合约,3464,3464,880,2584,0.796966128972558,-0.19471324717423,25.4041570438799,584.33149099802,10.9623784018868,42.1717300085176,867.425679302126,14.52,-10.96,-10.24,43.17,14.21,7,28,9.10,1.54,396,0.58,13.34,32.23,1.60,25.41
郑硅铁001合约,945,945,285,660,0.584606127991754,-0.185604309457227,30.1587301587302,53.3345639322875,5.87483344804959,14.1096729979597,68.5236511899688,11.78,-5.87,-2.33,22.44,9.95,4,23,8.47,1.36,138,0.54,10.21,19.99,1.39,30.19
郑锰硅001合约,914,914,254,660,0.547655893719603,-0.165794410763849,27.7899343544858,33.259917326805,7.92895644923915,9.09735156641276,46.0091309865452,7.79,-7.93,-5.55,22.57,4.39,5,17,7.22,1.08,550,0.46,3.35,14.78,1.08,27.71
沪锡1507合约,750,750,243,507,0.320795585616384,-0.108120692818356,32.4,25.6908476120428,3.87307652103872,8.56361587068094,35.4766035365952,7.63,-3.87,-0.38,16.16,5.72,7,14,4.18,1.78,205,0.27,4.70,11.09,1.82,32.31
郑白糖001合约,2653,2653,746,1907,0.371027540827176,-0.103575253517302,28.1191104410102,118.465266339354,6.96816576652871,11.1633307896112,184.814118165375,7.41,-6.97,-3.93,25.07,7.43,5,22,4.54,1.60,804,0.29,6.38,19.00,1.63,28.09
郑精对苯二甲酸001合约,2624,2624,662,1962,0.523601289409808,-0.125813552502132,25.2286585365854,166.125533999317,6.14682663925294,15.8275089557276,245.93780960102,9.54,-6.15,-5.01,42.35,9.75,5,22,5.95,1.56,276,0.38,7.20,24.52,1.60,25.24
连聚氯乙烯0909合约,2165,2165,555,1610,0.469491739140654,-0.134985475733199,25.635103926097,52.0009859451017,8.54048192167606,6.00473278811798,88.7334446605384,4.81,-8.54,-5.70,24.80,4.20,4,19,5.57,0.87,519,0.36,2.74,12.97,0.86,25.60
郑强麦001合约,1218,1218,306,912,0.332496570235851,-0.109202121169369,25.1231527093596,1.67487478678565,11.2274317935932,0.343775613051242,14.8438013917036,0.21,-11.23,-7.04,13.44,2.34,5,23,4.45,0.07,258,0.28,1.93,10.92,0.05,25.06
郑强麦001合约,1328,1328,364,964,0.286256355196405,-0.0853046742974614,27.4096385542169,24.0898925549897,7.9985519806377,4.53499483339415,41.7093884512024,3.97,-8.00,-6.06,14.76,4.10,5,21,3.73,1.06,521,0.24,4.66,11.38,1.06,27.35
郑硬麦001合约,1075,1075,226,849,0.312727317594922,-0.0943889791486984,21.0232558139535,-9.35936698966836,10.6100864971048,-2.17659697434148,0.92800256492287,-2.12,-10.61,-8.80,5.13,-1.24,4,26,4.09,-0.50,NaN,0.26,-0.94,3.18,-0.52,21.04
连豆油0603合约,2986,2986,799,2187,0.442838443775844,-0.109120929706572,26.7582049564635,211.301544054677,4.32893404934527,17.6910200983487,319.572010384592,9.69,-4.33,-1.57,42.46,8.53,6,21,5.13,1.83,169,0.33,7.28,13.76,1.89,26.73
郑动力煤001合约,713,713,216,497,0.400234527466957,-0.13805642051042,30.2945301542777,19.1067808915441,4.05859262533785,6.69943229016273,27.906523355278,6.03,-4.06,0.29,13.91,5.80,7,21,4.91,1.22,144,0.31,5.71,8.32,1.23,30.20
沪锌0707合约,2692,2692,695,1997,0.504002260310249,-0.125401608792413,25.8172362555721,166.389261666862,4.95299068269093,15.4521974059122,248.643203324411,9.31,-4.95,0.30,34.19,8.73,5,29,5.83,1.56,132,0.37,6.73,18.58,1.60,25.83
