sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
连豆一2109,3.45,-56.14,-31.33,75.39,4.23,14,9,17.30,0.28,911,1.11,-0.75,37.26,0.20,51.31
连豆一2109-择时,-2.35,-57.21,-33.13,44.97,-1.91,11,9,11.65,-0.15,819,0.75,-2.71,9.96,-0.20,49.31
沪白银2106,-5.02,-68.70,-43.37,68.95,-4.10,11,8,24.29,-0.09,72,1.56,-8.29,19.82,-0.21,49.25
沪白银2106-择时,-2.45,-35.94,-24.53,24.42,-0.95,8,12,13.31,-0.12,70,0.85,-0.51,11.65,-0.18,47.43
沪铝2106,-1.14,-69.92,-44.32,68.24,-1.25,9,10,15.08,-0.00,477,0.97,-4.28,18.86,-0.08,50.03
沪铝2106-择时,4.42,-28.16,-19.16,35.14,4.65,10,10,10.15,0.48,1027,0.65,3.08,17.64,0.43,50.75
郑苹果110,-10.45,-60.74,-51.28,59.28,-1.01,6,10,25.77,-0.30,148,1.65,2.48,40.19,-0.41,46.63
郑苹果110-择时,15.96,-17.88,3.03,44.02,21.19,10,8,15.87,1.01,223,1.02,22.62,33.40,1.01,51.38
沪黄金2106,1.62,-48.30,-31.91,62.61,4.71,9,9,17.18,0.18,403,1.10,1.75,25.57,0.09,51.63
沪黄金2106-择时,3.06,-18.08,-16.53,49.80,3.19,8,12,10.31,0.34,601,0.66,0.27,13.95,0.30,49.91
连豆二2106,5.42,-35.17,-32.38,60.07,6.09,9,11,18.01,0.38,683,1.15,3.62,30.90,0.30,51.10
连豆二2106-择时,-1.74,-42.69,-19.67,26.38,-1.56,11,8,10.15,-0.12,873,0.65,-1.74,9.84,-0.17,50.69
