sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16,sta_re17
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%),择时信号
连铁矿石2109,21.46,-62.11,-49.83,177.86,32.33,9,8,32.76,0.76,751,2.10,33.29,107.56,0.65,51.77,2021-04-19
连铁矿石2109-择时,9.61,-52.93,-49.98,113.35,12.39,9,12,32.79,0.44,337,2.10,8.35,49.86,0.29,48.80,做多
中证2109,7.93,-51.03,-38.21,67.20,10.00,8,6,32.38,0.40,1234,2.07,9.36,39.29,0.25,52.85,2021-04-19
中证2109-择时,-6.07,-62.69,-50.15,48.96,-6.63,8,8,32.39,-0.03,13,2.07,-10.20,15.39,-0.19,48.83,做多
沪深2106,5.48,-45.89,-33.97,115.08,8.23,9,9,24.68,0.34,1019,1.58,4.70,35.02,0.22,50.38,2021-04-19
沪深2106-择时,3.39,-54.10,-45.21,86.12,3.48,7,10,24.68,0.26,356,1.58,2.31,22.17,0.14,48.87,做空
上证2105,4.25,-44.52,-30.87,45.41,9.98,9,7,25.11,0.29,690,1.61,11.93,33.49,0.17,51.85,2021-04-19
上证2105-择时,-5.05,-40.47,-35.93,34.07,-0.05,7,10,25.11,-0.08,12,1.61,-0.98,23.01,-0.20,48.36,做空
连焦炭2109,3.50,-81.91,-46.14,264.10,15.23,16,9,27.52,0.26,1769,1.76,-4.71,110.92,0.13,49.81,2021-04-19
连焦炭2109-择时,28.09,-53.46,-35.49,260.76,38.02,16,14,27.46,1.04,476,1.76,28.44,119.21,1.02,50.53,做多
连鸡蛋2109,-8.28,-66.07,-54.13,29.76,-9.24,10,9,20.96,-0.31,69,1.34,-8.07,14.21,-0.40,49.41,2021-04-19
连鸡蛋2109-择时,1.03,-46.89,-36.35,48.23,2.15,10,10,20.97,0.15,1281,1.34,0.89,31.14,0.05,48.61,做多
连焦煤2105,9.81,-60.38,-43.32,189.13,18.50,7,7,27.96,0.47,878,1.79,10.07,80.43,0.35,50.69,2021-04-19
连焦煤2105-择时,-4.06,-63.80,-36.77,91.09,-1.20,7,10,27.98,-0.01,646,1.79,-9.61,45.66,-0.15,48.36,做多
郑粳稻105,-9.36,-43.16,-32.55,18.00,-7.83,6,8,22.23,-0.33,60,1.42,-7.03,6.16,-0.42,45.54,2021-04-19
郑粳稻105-择时,-17.73,-48.41,-46.54,19.32,-12.47,8,10,22.21,-0.77,4,1.42,-5.57,13.22,-0.80,47.57,做多
连聚乙烯2109,0.12,-63.67,-55.50,102.65,0.69,9,13,21.91,0.12,54,1.40,1.15,22.37,0.01,50.68,2021-04-19
连聚乙烯2109-择时,7.84,-50.73,-28.78,175.45,11.34,13,11,21.90,0.45,349,1.40,2.18,41.56,0.36,50.03,做空
郑晚籼稻105,-5.30,-34.69,-27.86,17.06,-14.88,5,9,22.61,-0.13,97,1.45,-18.15,-0.78,-0.23,46.80,2020-11-04
郑晚籼稻105-择时,-15.45,-56.42,-54.12,32.10,-20.22,6,6,22.59,-0.63,149,1.45,-27.32,10.39,-0.68,48.65,做多
连豆粕2109,6.80,-45.60,-27.65,102.62,9.32,9,8,20.43,0.42,1030,1.31,6.97,31.75,0.33,51.01,2021-04-19
连豆粕2109-择时,10.59,-39.72,-32.35,114.77,12.58,9,9,20.42,0.60,738,1.31,7.27,48.58,0.52,49.94,做多
郑甲醇109,-5.56,-60.26,-42.32,58.18,-4.01,8,11,22.58,-0.14,1137,1.45,-6.71,28.05,-0.25,49.19,2021-04-19
郑甲醇109-择时,3.13,-44.72,-39.15,56.70,5.92,11,11,22.58,0.25,1230,1.45,6.43,29.59,0.14,48.74,做多
沪镍2106,-0.04,-43.98,-38.28,53.28,4.83,8,6,25.01,0.12,1056,1.60,3.34,25.94,-0.00,52.64,2021-04-19
沪镍2106-择时,2.94,-33.54,-30.49,36.36,3.27,7,8,25.01,0.24,469,1.60,1.33,23.75,0.12,49.30,做空
20号胶2106,-3.81,-30.21,-18.67,19.44,-3.25,6,8,29.13,0.01,47,1.86,-4.39,11.78,-0.13,50.91,2021-04-19
20号胶2106-择时,-18.76,-46.03,-42.44,-3.92,-25.35,7,9,29.11,-0.57,34,1.86,-27.78,-10.80,-0.64,47.53,做空
郑菜油109,1.14,-64.86,-52.33,81.89,-0.08,11,10,18.28,0.15,35,1.17,-2.31,22.26,0.06,50.20,2021-04-19
郑菜油109-择时,3.20,-47.37,-30.70,99.38,3.54,8,10,18.28,0.26,111,1.17,1.74,21.46,0.18,49.59,做多
连棕油2109,-3.94,-81.00,-61.73,98.59,-4.32,13,9,22.27,-0.07,29,1.43,-9.99,27.46,-0.18,50.53,2021-04-19
连棕油2109-择时,11.82,-34.12,-27.83,111.89,14.22,11,12,22.26,0.61,865,1.42,8.99,54.01,0.53,50.19,做多
沪铅2105,-2.26,-46.32,-23.81,82.80,0.02,11,10,17.51,-0.04,1374,1.12,-4.12,22.44,-0.13,49.30,2021-04-19
沪铅2105-择时,-1.14,-37.54,-27.20,58.78,1.86,8,10,17.51,0.02,798,1.12,0.78,21.96,-0.07,49.22,做空
连液化石油气2106,47.64,-18.75,9.06,46.80,20.39,6,5,32.80,1.36,23,2.10,17.28,39.94,1.45,53.85,2021-04-19
连液化石油气2106-择时,-36.50,-52.56,-47.63,-28.83,-40.48,6,8,32.83,-1.22,5,2.10,-42.21,-32.04,-1.11,45.75,做多
郑普麦107,-9.86,-76.61,-36.80,25.28,-7.55,7,9,16.82,-0.53,NaN,1.08,-6.82,7.70,-0.59,48.28,2021-04-15
郑普麦107-择时,-0.87,-51.04,-40.52,33.07,1.38,8,8,16.83,0.03,772,1.08,2.45,14.87,-0.05,49.22,做空
连聚丙烯2105,7.82,-36.65,-29.85,121.08,9.47,7,7,21.01,0.46,516,1.34,2.16,39.83,0.37,49.88,2021-04-19
连聚丙烯2105-择时,-0.45,-49.60,-36.58,80.74,2.27,7,10,21.02,0.08,404,1.35,-4.98,38.74,-0.02,47.72,做空
沪螺钢2110,3.99,-79.05,-41.19,113.91,4.92,11,10,21.50,0.29,2768,1.38,-1.42,46.22,0.19,50.82,2021-04-19
沪螺钢2110-择时,17.94,-51.12,-37.39,172.33,20.28,11,7,21.47,0.88,258,1.37,15.26,47.48,0.84,52.29,做多
郑籼稻105,-2.19,-44.51,-23.41,56.47,-1.39,7,8,13.91,-0.09,30,0.89,-5.35,35.73,-0.16,47.29,2020-12-14
郑籼稻105-择时,-5.08,-56.09,-44.04,32.72,-0.89,8,10,13.91,-0.31,335,0.89,2.38,14.40,-0.37,48.51,做多
郑菜籽粕109,7.69,-32.43,-25.40,48.33,6.16,11,10,20.79,0.46,1088,1.33,6.04,26.10,0.37,51.12,2021-04-19
郑菜籽粕109-择时,-11.51,-68.87,-47.89,32.38,-6.13,8,10,20.79,-0.48,834,1.33,-3.79,17.14,-0.55,47.19,做空
连粳米2106,-8.51,-15.68,-12.94,-0.56,-7.59,6,9,9.23,-0.92,NaN,0.59,-7.98,-2.43,-0.92,45.36,2021-04-19
连粳米2106-择时,-1.61,-10.66,-9.09,10.47,0.03,6,8,9.25,-0.13,72,0.59,-0.58,8.46,-0.17,48.01,做多
郑油菜籽107,3.97,-34.83,-31.59,61.10,2.17,8,10,23.10,0.28,438,1.48,-0.45,37.01,0.17,49.02,2021-04-19
郑油菜籽107-择时,-15.09,-73.06,-59.02,7.87,-16.68,8,10,23.09,-0.59,163,1.48,-12.76,3.11,-0.65,50.15,做空
沪天胶2109,-4.80,-92.39,-55.07,116.08,-1.97,9,10,28.05,-0.03,1085,1.80,-8.30,42.82,-0.17,50.94,2021-04-19
沪天胶2109-择时,13.95,-49.68,-38.13,181.26,21.27,9,8,28.03,0.61,621,1.79,12.69,70.41,0.50,50.34,做空
郑纯碱109,-12.78,-36.37,-35.29,1.79,-18.98,4,6,23.93,-0.45,21,1.53,-24.96,-2.25,-0.53,45.08,2021-04-19
郑纯碱109-择时,29.82,-23.59,2.77,44.87,20.20,6,6,23.87,1.22,62,1.53,19.24,34.11,1.25,50.16,做空
中质含硫原油2106,-20.18,-74.34,-62.53,27.19,-28.87,7,9,34.33,-0.48,28,2.20,-27.28,1.37,-0.59,50.14,2021-04-19
中质含硫原油2106-择时,25.65,-34.75,-30.84,78.15,23.57,8,8,34.30,0.84,291,2.20,24.62,52.99,0.75,51.97,做多
郑硅铁105,1.97,-41.34,-37.63,65.27,3.68,13,7,23.96,0.20,750,1.53,-2.60,42.78,0.08,50.63,2021-04-19
郑硅铁105-择时,9.33,-49.30,-46.15,137.73,15.63,10,8,23.95,0.49,431,1.53,3.10,67.59,0.39,49.63,做多
郑锰硅105,12.76,-45.29,-44.34,185.90,23.88,11,8,24.12,0.62,391,1.54,11.19,69.80,0.53,50.57,2021-04-19
郑锰硅105-择时,28.14,-30.84,-23.96,144.30,36.84,11,8,24.07,1.15,114,1.54,22.51,103.33,1.17,52.31,做多
沪锡2106,6.06,-35.80,-27.55,79.09,8.17,8,9,19.01,0.40,973,1.22,-1.05,36.27,0.32,49.76,2021-04-19
沪锡2106-择时,-9.41,-66.53,-53.20,56.03,-5.05,8,9,19.01,-0.43,163,1.22,-5.50,36.34,-0.49,46.62,做多
沪纸浆2106,6.05,-27.25,-22.05,45.81,-2.85,7,5,17.34,0.43,472,1.11,-9.95,34.58,0.35,50.64,2021-04-19
沪纸浆2106-择时,4.34,-28.22,-23.59,32.52,-6.01,6,9,17.34,0.33,486,1.11,-12.25,20.42,0.25,47.01,做多
郑白糖109,-3.42,-68.70,-47.39,57.31,-1.15,11,9,17.78,-0.11,4,1.14,-2.33,19.34,-0.19,49.96,2021-04-19
郑白糖109-择时,3.15,-47.70,-28.05,68.76,3.34,9,10,17.77,0.26,392,1.14,0.76,25.96,0.18,48.42,做多
