Date,8801 JT EQUITY,8802 JT EQUITY
2016/1/4,2993,2465.5
2016/1/5,3008,2449
2016/1/6,3019,2451.5
2016/1/7,2921.5,2386
2016/1/8,2901.5,2346.5
2016/1/12,2817.5,2307
2016/1/13,2880,2351.5
2016/1/14,2823.5,2328
2016/1/15,2788,2304
2016/1/18,2687.5,2258.5
2016/1/19,2689,2264
2016/1/20,2555,2124
2016/1/21,2419.5,2048
2016/1/22,2606.5,2161
2016/1/25,2592.5,2182
2016/1/26,2548.5,2147
2016/1/27,2628.5,2171
2016/1/28,2574,2146.5
2016/1/29,2803,2367.5
2016/2/1,3012,2430.5
2016/2/2,2886.5,2355
2016/2/3,2827.5,2360.5
2016/2/4,2745,2331
2016/2/5,2654.5,2231.5
2016/2/8,2664.5,2253
2016/2/9,2519,2135
2016/2/10,2445,2088
2016/2/12,2268.5,1974.5
2016/2/15,2501.5,2122.5
2016/2/16,2591,2156
2016/2/17,2568.5,2132
2016/2/18,2621,2154
2016/2/19,2649,2159.5
2016/2/22,2652,2144.5
2016/2/23,2562.5,2088
2016/2/24,2568.5,2099.5
2016/2/25,2651.5,2150
2016/2/26,2653.5,2140
2016/2/29,2623,2093.5
2016/3/1,2683,2125.5
2016/3/2,2782.5,2202
2016/3/3,2836,2215.5
2016/3/4,2817,2195.5
2016/3/7,2755.5,2163.5
2016/3/8,2768.5,2189.5
2016/3/9,2718.5,2133
2016/3/10,2697,2123
2016/3/11,2741,2150
2016/3/14,2852,2194.5
2016/3/15,2776,2166
2016/3/16,2758,2144
2016/3/17,2751.5,2139.5
2016/3/18,2750.5,2132
2016/3/22,2790.5,2184.5
2016/3/23,2797.5,2183
2016/3/24,2744.5,2133
2016/3/25,2759,2120
2016/3/28,2789.5,2126.5
2016/3/29,2850,2147.5
2016/3/30,2820,2107.5
2016/3/31,2808,2090.5
2016/4/1,2651.5,2043
2016/4/4,2677.5,2044
2016/4/5,2572,2013
2016/4/6,2559.5,2008
2016/4/7,2552,2006.5
2016/4/8,2558,2009.5
2016/4/11,2545,2001
2016/4/12,2570,2031.5
2016/4/13,2628.5,2075
2016/4/14,2782,2157.5
