Date,HSCEI INDEX,XIN9I INDEX
2010/1/4,12750.55,11836.68
2010/1/5,13142.03,11948.57
2010/1/6,13246.21,11806.98
2010/1/7,13073.2,11559.78
2010/1/8,13035.09,11564.92
2010/1/11,13119.03,11578.88
2010/1/12,12967.37,11732.34
2010/1/13,12482.18,11239.07
2010/1/14,12363.37,11350.83
2010/1/15,12356.88,11369.56
2010/1/18,12290.26,11349.01
2010/1/19,12600.76,11389.15
2010/1/20,12282.09,11035.09
2010/1/21,11957.83,11135.07
2010/1/22,11975.65,11121.22
2010/1/25,11858.46,11008.74
2010/1/26,11410.12,10820.91
2010/1/27,11372.69,10617.53
2010/1/28,11636.03,10563.71
2010/1/29,11498.2,10527.09
2010/2/1,11621.64,10384.22
2010/2/2,11570.35,10392.28
2010/2/3,11838.72,10715.22
2010/2/4,11605.88,10642.9
2010/2/5,11131.78,10447.96
2010/2/8,10989.19,10414.13
2010/2/9,11200.33,10484.19
2010/2/10,11345.64,10631.58
2010/2/11,11582.31,10649.25
2010/2/12,11536.36,10749.16
2010/2/22,11519.56,10654.62
2010/2/23,11619.68,10448.44
2010/2/24,11493.41,10555.29
2010/2/25,11388.5,10717.11
2010/2/26,11543.73,10683.93
2010/3/1,11913.45,10848.87
2010/3/2,12017.55,10820.75
2010/3/3,12048.25,10850.17
2010/3/4,11775.06,10626.28
2010/3/5,11927.37,10659.86
2010/3/8,12202.8,10727.13
2010/3/9,12210.34,10809.58
2010/3/10,12217.33,10760.76
2010/3/11,12170.04,10802.96
2010/3/12,12173.28,10672.09
2010/3/15,11971.49,10499.9
2010/3/16,11940.47,10588.67
2010/3/17,12231.47,10814.54
2010/3/18,12208.36,10763.6
2010/3/19,12262.36,10848.33
2010/3/22,12008.65,10861.49
2010/3/23,12020.85,10754.05
2010/3/24,12048.63,10759.82
2010/3/25,11902.49,10608.56
2010/3/26,12050.33,10752.12
2010/3/29,12215.48,11083.9
2010/3/30,12414.2,11106.79
2010/3/31,12397.59,11017.64
2010/4/1,12696.05,11134.91
2010/4/7,12987.82,11060.01
2010/4/8,12855.31,10876.05
2010/4/9,13046.72,10980.01
2010/4/12,12953.45,10823.11
2010/4/13,12839.85,11040.24
2010/4/14,12842.47,11036.67
2010/4/15,12813.88,11037.97
2010/4/16,12557.4,10859.87
2010/4/19,12253.78,10285.9
2010/4/20,12436.56,10233.19
2010/4/21,12370.98,10405.94
2010/4/22,12330.89,10213.91
2010/4/23,12168.18,10157.42
2010/4/26,12380.71,10062.83
2010/4/27,12171.01,9893.2
2010/4/28,11987.67,9872.33
2010/4/29,11881.4,9855.44
2010/4/30,12181.2,9976.83
2010/5/4,11864.22,9769.06
2010/5/5,11539.88,9755.49
2010/5/6,11449.22,9266.53
2010/5/7,11379.56,9143.36
2010/5/10,11717.32,9292.51
2010/5/11,11509.22,9108.31
2010/5/12,11510.3,9263.08
2010/5/13,11729.71,9464.24
2010/5/14,11588.97,9356.62
2010/5/17,11232.62,8901.96
2010/5/18,11426.18,9106.26
2010/5/19,11124.59,9047.81
2010/5/20,11048.38,8924.33
2010/5/24,11242.55,9317.78
2010/5/25,10729.05,9077.53
2010/5/26,11016.05,9086.82
