Date,HSI INDEX,HSCEI INDEX
2021/1/18 2:15,28707.65,11377.64
2021/1/18 2:45,28745.71,11402.69
2021/1/18 3:15,28741.77,11412.38
2021/1/18 3:45,28712.79,11396.01
2021/1/18 4:45,28716.32,11399.07
2021/1/18 5:15,28819.16,11446.71
2021/1/18 5:45,28789.31,11429.1
2021/1/18 6:15,28811.28,11427.53
2021/1/18 6:45,28824.79,11447.94
2021/1/18 7:15,28813.96,11444.32
2021/1/18 7:45,28862.77,11462.52
2021/1/19 1:15,29256.49,11637.37
2021/1/19 1:45,29400.78,11674.15
2021/1/19 2:15,29511.41,11723.85
2021/1/19 2:45,29526.22,11738.61
2021/1/19 3:15,29814.2,11823.34
2021/1/19 3:45,29746.17,11796.28
2021/1/19 4:45,29738.12,11808.99
2021/1/19 5:15,29570.66,11725.58
2021/1/19 5:45,29501.17,11693.97
2021/1/19 6:15,29429.68,11658.64
2021/1/19 6:45,29443.49,11665.13
2021/1/19 7:15,29619.6,11727.06
2021/1/19 7:45,29642.28,11734.33
2021/1/20 1:15,29712.63,11817.64
2021/1/20 1:45,29862.21,11888.09
2021/1/20 2:15,29906.22,11905.18
2021/1/20 2:45,29758.82,11834.12
2021/1/20 3:15,29729.29,11817.42
2021/1/20 3:45,29718.86,11822.15
2021/1/20 4:45,29787.12,11861.29
2021/1/20 5:15,29835.03,11889.92
2021/1/20 5:45,29836.53,11887.05
2021/1/20 6:15,29877.67,11911.2
2021/1/20 6:45,29932.26,11931.87
2021/1/20 7:15,29956.61,11940.83
2021/1/20 7:45,29962.47,11949.35
2021/1/21 1:15,29976.25,11966.29
2021/1/21 1:45,30034.67,11963.6
2021/1/21 2:15,29990.85,11932.7
2021/1/21 2:45,30009.05,11939.37
2021/1/21 3:15,29986.49,11932.07
2021/1/21 3:45,30012.19,11947.49
2021/1/21 4:45,30031.78,11962.37
2021/1/21 5:15,30005.75,11954.14
2021/1/21 5:45,29942.8,11929.09
2021/1/21 6:15,29837.01,11864.67
2021/1/21 6:45,29837.52,11868.93
2021/1/21 7:15,29932.46,11889.28
2021/1/21 7:45,29927.76,11889.45
2021/1/22 1:15,29828.41,11845.17
2021/1/22 1:45,29633.2,11737.2
2021/1/22 2:15,29698.44,11774.53
2021/1/22 2:45,29576.29,11731.35
2021/1/22 3:15,29493.22,11709.25
2021/1/22 3:45,29480.11,11707.24
2021/1/22 4:45,29501.3,11716.38
2021/1/22 5:15,29524.48,11727.84
2021/1/22 5:45,29507.35,11708.82
2021/1/22 6:15,29512.98,11716.26
2021/1/22 6:45,29419.83,11668.25
2021/1/22 7:15,29430.41,11671.73
2021/1/22 7:45,29447.85,11677.45
2021/1/25 1:15,29734.34,11788.5
2021/1/25 1:45,29793.99,11816.59
2021/1/25 2:15,29968.7,11914.64
2021/1/25 2:45,29942.42,11894.39
2021/1/25 3:15,30044.97,11932.33
2021/1/25 3:45,30057.01,11939.37
2021/1/25 4:45,30034.5,11936.76
2021/1/25 5:15,29998.31,11916
2021/1/25 5:45,30078.53,11964.93
2021/1/25 6:15,30044.83,11939.89
2021/1/25 6:45,30083.88,11952.89
2021/1/25 7:15,30163.06,11977.07
2021/1/25 7:45,30159.01,11960.49
2021/1/26 1:15,29890.02,11894.68
2021/1/26 1:45,29784.21,11866.19
2021/1/26 2:15,29659.78,11802.88
2021/1/26 2:45,29567.46,11766.66
2021/1/26 3:15,29482.13,11726.12
2021/1/26 3:45,29434.08,11700.24
2021/1/26 4:45,29582.07,11771.89
2021/1/26 5:15,29540.42,11757.18
2021/1/26 5:45,29410.87,11706.25
2021/1/26 6:15,29425.77,11718.83
2021/1/26 6:45,29428.04,11727.44
2021/1/26 7:15,29373.39,11705.11
2021/1/26 7:45,29391.26,11695.43
2021/1/27 1:15,29572.66,11777.51
2021/1/27 1:45,29234.23,11610.01
2021/1/27 2:15,29407.98,11705.84
2021/1/27 2:45,29335.75,11667.35
2021/1/27 3:15,29446.99,11716.85
2021/1/27 3:45,29454.02,11724.14
2021/1/27 4:45,29429.93,11725.44
2021/1/27 5:15,29457.35,11725.88
2021/1/27 5:45,29399.53,11698.99
2021/1/27 6:15,29442.67,11734.33
2021/1/27 6:45,29384.73,11707.79
2021/1/27 7:15,29350.27,11691.59
2021/1/27 7:45,29297.53,11651.24
2021/1/28 1:15,29081.19,11572.49
2021/1/28 1:45,29002.86,11557.6
2021/1/28 2:15,28784.42,11462.92
2021/1/28 2:45,28661.96,11408.98
2021/1/28 3:15,28697.55,11426.21
2021/1/28 3:45,28721.27,11435.48
2021/1/28 4:45,28781.07,11447.53
2021/1/28 5:15,28775.07,11448
2021/1/28 5:45,28673.36,11407.57
2021/1/28 6:15,28630.88,11385.02
2021/1/28 6:45,28662.35,11390.3
2021/1/28 7:15,28495.95,11324.49
2021/1/28 7:45,28550.77,11334.03
2021/1/29 1:15,28884.39,11480.32
2021/1/29 1:45,28700.8,11387.07
2021/1/29 2:15,28641.79,11385.73
2021/1/29 2:45,28738,11433.24
2021/1/29 3:15,28629.06,11380.67
2021/1/29 3:45,28652.12,11387.84
2021/1/29 4:45,28450.4,11299.49
2021/1/29 5:15,28333.46,11241.82
2021/1/29 5:45,28316.94,11235.51
2021/1/29 6:15,28363.13,11248.03
2021/1/29 6:45,28480.5,11299.67
2021/1/29 7:15,28378.65,11260.97
2021/1/29 7:45,28283.71,11208.78
2021/2/1 1:15,28563.67,11340.63
2021/2/1 1:45,28636.97,11377.26
2021/2/1 2:15,28604.15,11358.73
2021/2/1 2:45,28612.13,11343.83
2021/2/1 3:15,28808.54,11425.83
2021/2/1 3:45,28822.61,11433.31
2021/2/1 4:45,28887.1,11455.98
2021/2/1 5:15,28883.17,11466.38
2021/2/1 5:45,28968.41,11483.49
2021/2/1 6:15,28950.29,11480.01
2021/2/1 6:45,28855.56,11443.49
2021/2/1 7:15,28862.09,11447.08
2021/2/1 7:45,28892.86,11454.18
