Date,8801 JT EQUITY,8802 JT EQUITY
2010/1/4,1570,1473
2010/1/5,1595,1487
2010/1/6,1645,1534
2010/1/7,1654,1532
2010/1/8,1655,1544
2010/1/12,1695,1584
2010/1/13,1661,1547
2010/1/14,1665,1545
2010/1/15,1682,1574
2010/1/18,1658,1556
2010/1/19,1653,1548
2010/1/20,1640,1536
2010/1/21,1642,1576
2010/1/22,1627,1543
2010/1/25,1597,1509
2010/1/26,1570,1485
2010/1/27,1556,1485
2010/1/28,1570,1504
2010/1/29,1535,1468
2010/2/1,1509,1412
2010/2/2,1535,1460
2010/2/3,1521,1430
2010/2/4,1539,1460
2010/2/5,1461,1387
2010/2/8,1467,1384
2010/2/9,1455,1371
2010/2/10,1465,1384
2010/2/12,1481,1404
2010/2/15,1472,1398
2010/2/16,1469,1396
2010/2/17,1527,1430
2010/2/18,1527,1415
2010/2/19,1461,1354
2010/2/22,1527,1402
2010/2/23,1534,1418
2010/2/24,1499,1381
2010/2/25,1490,1377
2010/2/26,1500,1395
2010/3/1,1510,1415
2010/3/2,1505,1400
2010/3/3,1486,1389
2010/3/4,1454,1369
2010/3/5,1493,1409
2010/3/8,1535,1437
2010/3/9,1554,1457
2010/3/10,1560,1457
2010/3/11,1601,1481
2010/3/12,1602,1487
2010/3/15,1624,1500
2010/3/16,1629,1509
2010/3/17,1652,1534
2010/3/18,1613,1476
2010/3/19,1584,1447
2010/3/23,1532,1425
2010/3/24,1543,1439
2010/3/25,1560,1452
2010/3/26,1570,1491
2010/3/29,1567,1498
2010/3/30,1592,1517
2010/3/31,1587,1530
2010/4/1,1613,1534
2010/4/2,1609,1540
2010/4/5,1636,1559
2010/4/6,1630,1573
2010/4/7,1619,1568
2010/4/8,1594,1539
2010/4/9,1596,1535
2010/4/12,1606,1567
2010/4/13,1622,1572
2010/4/14,1649,1586
2010/4/15,1659,1627
2010/4/16,1660,1635
2010/4/19,1624,1585
2010/4/20,1611,1570
2010/4/21,1621,1585
2010/4/22,1611,1572
2010/4/23,1634,1592
2010/4/26,1677,1629
2010/4/27,1689,1619
2010/4/28,1684,1617
2010/4/30,1749,1704
2010/5/6,1635,1631
2010/5/7,1562,1580
2010/5/10,1567,1598
2010/5/11,1528,1556
2010/5/12,1514,1549
2010/5/13,1563,1604
2010/5/14,1579,1610
2010/5/17,1524,1573
2010/5/18,1509,1541
2010/5/19,1514,1544
2010/5/20,1454,1498
2010/5/21,1434,1478
2010/5/24,1427,1470
2010/5/25,1370,1419
2010/5/26,1388,1408
2010/5/27,1385,1407
2010/5/28,1390,1408
2010/5/31,1388,1391
2010/6/1,1378,1377
2010/6/2,1373,1374
2010/6/3,1430,1402
2010/6/4,1413,1382
2010/6/7,1333,1319
2010/6/8,1325,1310
2010/6/9,1306,1307
2010/6/10,1304,1303
2010/6/11,1332,1313
2010/6/14,1346,1342
2010/6/15,1363,1337
2010/6/16,1381,1358
2010/6/17,1373,1355
2010/6/18,1342,1335
2010/6/21,1391,1369
2010/6/22,1376,1374
2010/6/23,1349,1338
2010/6/24,1371,1348
2010/6/25,1325,1302
2010/6/28,1308,1296
2010/6/29,1284,1268
2010/6/30,1251,1247
2010/7/1,1232,1229
2010/7/2,1226,1217
2010/7/5,1265,1239
2010/7/6,1313,1269
2010/7/7,1305,1267
2010/7/8,1326,1289
2010/7/9,1336,1286
2010/7/12,1331,1276
2010/7/13,1337,1276
2010/7/14,1360,1281
2010/7/15,1322,1250
2010/7/16,1296,1230
2010/7/20,1252,1192
2010/7/21,1241,1178
2010/7/22,1221,1164
2010/7/23,1270,1215
2010/7/26,1288,1228
2010/7/27,1289,1227
2010/7/28,1352,1270
2010/7/29,1332,1270
2010/7/30,1280,1218
2010/8/2,1294,1227
2010/8/3,1281,1224
2010/8/4,1268,1211
2010/8/5,1340,1277
2010/8/6,1392,1311
2010/8/9,1373,1299
2010/8/10,1356,1285
2010/8/11,1334,1257
2010/8/12,1324,1240
2010/8/13,1322,1221
2010/8/16,1347,1251
2010/8/17,1381,1261
2010/8/18,1399,1280
2010/8/19,1442,1323
2010/8/20,1417,1289
2010/8/23,1401,1280
2010/8/24,1395,1275
2010/8/25,1383,1266
2010/8/26,1391,1276
2010/8/27,1389,1286
2010/8/30,1413,1298
2010/8/31,1363,1263
2010/9/1,1397,1305
2010/9/2,1400,1306
2010/9/3,1421,1324
2010/9/6,1435,1338
2010/9/7,1434,1348
2010/9/8,1403,1320
2010/9/9,1353,1295
2010/9/10,1342,1303
2010/9/13,1365,1311
2010/9/14,1340,1291
2010/9/15,1374,1321
2010/9/16,1357,1298
2010/9/17,1389,1320
2010/9/21,1388,1320
2010/9/22,1411,1339
2010/9/24,1397,1346
2010/9/27,1426,1359
2010/9/28,1432,1376
2010/9/29,1422,1377
