Date,HSI INDEX,HSCEI INDEX
2010/1/4,21823.28,12750.55
2010/1/5,22279.58,13142.03
2010/1/6,22416.67,13246.21
2010/1/7,22269.45,13073.2
2010/1/8,22296.75,13035.09
2010/1/11,22411.52,13119.03
2010/1/12,22326.64,12967.37
2010/1/13,21748.6,12482.18
2010/1/14,21716.95,12363.37
2010/1/15,21654.16,12356.88
2010/1/18,21460.01,12290.26
2010/1/19,21677.98,12600.76
2010/1/20,21286.17,12282.09
2010/1/21,20862.67,11957.83
2010/1/22,20726.18,11975.65
2010/1/25,20598.55,11858.46
2010/1/26,20109.33,11410.12
2010/1/27,20033.07,11372.69
2010/1/28,20356.37,11636.03
2010/1/29,20121.99,11498.2
2010/2/1,20243.75,11621.64
2010/2/2,20272.18,11570.35
2010/2/3,20722.08,11838.72
2010/2/4,20341.64,11605.88
2010/2/5,19665.08,11131.78
2010/2/8,19550.89,10989.19
2010/2/9,19790.28,11200.33
2010/2/10,19922.22,11345.64
2010/2/11,20290.69,11582.31
2010/2/12,20268.69,11536.36
2010/2/17,20534.01,11708.34
2010/2/18,20422.15,11601.67
2010/2/19,19894.02,11263.83
2010/2/22,20377.27,11519.56
2010/2/23,20623,11619.68
2010/2/24,20467.74,11493.41
2010/2/25,20399.57,11388.5
2010/2/26,20608.7,11543.73
2010/3/1,21056.93,11913.45
2010/3/2,20906.11,12017.55
2010/3/3,20876.79,12048.25
2010/3/4,20575.78,11775.06
2010/3/5,20787.97,11927.37
2010/3/8,21196.87,12202.8
2010/3/9,21207.55,12210.34
2010/3/10,21208.29,12217.33
2010/3/11,21228.2,12170.04
2010/3/12,21209.74,12173.28
2010/3/15,21079.1,11971.49
2010/3/16,21022.93,11940.47
2010/3/17,21384.49,12231.47
2010/3/18,21330.67,12208.36
2010/3/19,21370.82,12262.36
2010/3/22,20933.25,12008.65
2010/3/23,20987.78,12020.85
2010/3/24,21008.62,12048.63
2010/3/25,20778.55,11902.49
2010/3/26,21053.11,12050.33
2010/3/29,21237.43,12215.48
2010/3/30,21374.79,12414.2
2010/3/31,21239.35,12397.59
2010/4/1,21537,12696.05
2010/4/7,21928.77,12987.82
2010/4/8,21867.04,12855.31
2010/4/9,22208.5,13046.72
2010/4/12,22138.17,12953.45
2010/4/13,22103.53,12839.85
2010/4/14,22121.43,12842.47
2010/4/15,22157.82,12813.88
2010/4/16,21865.26,12557.4
2010/4/19,21405.17,12253.78
2010/4/20,21623.38,12436.56
2010/4/21,21510.93,12370.98
2010/4/22,21454.94,12330.89
2010/4/23,21244.49,12168.18
2010/4/26,21587.06,12380.71
2010/4/27,21261.79,12171.01
2010/4/28,20949.4,11987.67
2010/4/29,20778.92,11881.4
2010/4/30,21108.59,12181.2
2010/5/3,20811.36,11944.96
2010/5/4,20763.05,11864.22
2010/5/5,20327.54,11539.88
2010/5/6,20133.41,11449.22
2010/5/7,19920.29,11379.56
2010/5/10,20426.64,11717.32
2010/5/11,20146.51,11509.22
2010/5/12,20212.49,11510.3
2010/5/13,20422.46,11729.71
2010/5/14,20145.43,11588.97
2010/5/17,19715.2,11232.62
2010/5/18,19944.94,11426.18
2010/5/19,19578.98,11124.59
2010/5/20,19545.83,11048.38
2010/5/24,19667.76,11242.55
2010/5/25,18985.5,10729.05
2010/5/26,19196.45,11016.05
2010/5/27,19431.37,11208.76
2010/5/28,19766.71,11508.49
2010/5/31,19765.19,11494.31
2010/6/1,19496.95,11233.96
2010/6/2,19471.8,11158.84
2010/6/3,19786.71,11397.41
2010/6/4,19780.07,11375.51
2010/6/7,19378.15,11093.46
2010/6/8,19487.48,11090.75
2010/6/9,19621.24,11163.35
2010/6/10,19632.7,11178.17
2010/6/11,19872.38,11340.38
2010/6/14,20051.91,11520.95
2010/6/15,20062.15,11556.45
2010/6/17,20138.4,11583.5
2010/6/18,20286.71,11622.69
2010/6/21,20912.18,12134.42
2010/6/22,20819.08,12061.34
2010/6/23,20856.61,12020.38
2010/6/24,20733.49,11935.95
2010/6/25,20690.79,11865.17
2010/6/28,20726.68,11856.55
2010/6/29,20248.9,11536.2
2010/6/30,20128.99,11466.24
2010/7/2,19905.32,11247.1
2010/7/5,19842.2,11184.33
2010/7/6,20084.12,11456.42
2010/7/7,19857.07,11305.18
2010/7/8,20050.56,11375.29
2010/7/9,20378.66,11620.68
2010/7/12,20467.43,11673.37
2010/7/13,20431.06,11622.61
2010/7/14,20560.81,11656.61
2010/7/15,20255.62,11427.94
2010/7/16,20250.16,11419.62
2010/7/19,20090.95,11310.7
2010/7/20,20264.59,11507.22
2010/7/21,20487.23,11689.91
2010/7/22,20589.7,11754.69
2010/7/23,20815.33,11915.58
2010/7/26,20839.91,11875.03
2010/7/27,20973.39,11931.12
2010/7/28,21091.18,11972.75
2010/7/29,21093.82,11942.21
2010/7/30,21029.81,11905
2010/8/2,21412.79,12181.45
2010/8/3,21457.66,12120.83
2010/8/4,21549.88,12137.82
2010/8/5,21551.72,12128.68
2010/8/6,21678.8,12161.75
2010/8/9,21801.59,12225.84
2010/8/10,21473.6,11943.68
2010/8/11,21294.54,11737.63
2010/8/12,21105.71,11597.02
2010/8/13,21071.57,11641.33
2010/8/16,21112.12,11726.9
2010/8/17,21137.43,11754.63
2010/8/18,21022.73,11711.04
2010/8/19,21072.46,11848.46
2010/8/20,20981.82,11779.67
2010/8/23,20889.01,11670.39
2010/8/24,20658.71,11573.25
2010/8/25,20634.98,11495.79
