Date,IBM US EQUITY,ABC US EQUITY
2016/12/9,166.52,78.9
2016/12/12,165.5,78.07
2016/12/13,168.29,79.04
2016/12/14,168.51,77.05
2016/12/15,168.02,76.67
2016/12/16,166.73,77.38
2016/12/19,166.68,78.42
2016/12/20,167.6,79.3
2016/12/21,167.33,78.85
2016/12/22,167.06,77.81
2016/12/23,166.71,78.56
2016/12/27,167.14,78.82
2016/12/28,166.19,78.35
2016/12/29,166.6,79.34
2016/12/30,165.99,78.19
2017/1/3,167.19,82.61
2017/1/4,169.26,84.66
2017/1/5,168.7,83.68
2017/1/6,169.53,84.8
2017/1/9,167.65,85.48
2017/1/10,165.52,84.83
2017/1/11,167.75,81.53
2017/1/12,167.95,83.86
2017/1/13,167.34,84.62
2017/1/17,167.89,85.99
2017/1/18,166.8,85.51
2017/1/19,166.81,85.47
2017/1/20,170.55,83.75
2017/1/23,171.03,84.88
2017/1/24,175.9,84.41
2017/1/25,178.29,85.83
2017/1/26,178.66,83.39
2017/1/27,177.3,82.43
2017/1/30,175.8,83.62
2017/1/31,174.52,87.28
2017/2/1,174.29,88.61
2017/2/2,174.58,88.05
2017/2/3,175.82,89.28
2017/2/6,175.86,89.98
2017/2/7,178.46,90.33
2017/2/8,176.17,91.07
2017/2/9,177.21,91.65
2017/2/10,178.68,91.17
2017/2/13,179.36,90.48
2017/2/14,180.13,90.82
2017/2/15,181.68,91.18
2017/2/16,181.43,90.32
2017/2/17,180.67,90.76
2017/2/21,180.26,91.01
2017/2/22,181.15,91.34
2017/2/23,181.65,91.61
2017/2/24,181.35,92.16
2017/2/27,179.4,91.73
2017/2/28,179.82,91.51
2017/3/1,181.95,92.23
2017/3/2,180.53,91.94
2017/3/3,180.05,92.23
2017/3/6,180.47,89.99
2017/3/7,180.38,88.48
2017/3/8,179.45,89.08
2017/3/9,177.18,88.61
2017/3/10,177.83,88.31
2017/3/13,176.46,89.14
2017/3/14,175.72,88.81
2017/3/15,175.81,89.48
2017/3/16,177.24,88
2017/3/17,175.65,87.53
2017/3/20,175.7,86.91
2017/3/21,173.88,85.91
2017/3/22,174.78,85.88
2017/3/23,174.82,85.99
2017/3/24,173.83,86.56
2017/3/27,173.77,87.48
2017/3/28,174.51,87.5
2017/3/29,173.94,89.51
2017/3/30,173.86,89.14
2017/3/31,174.14,88.5
2017/4/3,174.5,87.33
2017/4/4,174.52,86.93
2017/4/5,172.88,87.18
2017/4/6,172.45,87.64
2017/4/7,172.14,87.62
2017/4/10,171.2,88.44
2017/4/11,170.58,87.87
2017/4/12,170.66,86.82
2017/4/13,169.53,86.67
2017/4/17,171.1,86.64
2017/4/18,170.05,82.56
2017/4/19,161.69,81.85
2017/4/20,162.3,82.37
2017/4/21,160.38,81.26
2017/4/24,160.75,80.94
2017/4/25,160.39,81.49
2017/4/26,160.06,81.25
2017/4/27,160.32,82.12
2017/4/28,160.29,82.05
2017/5/1,158.84,82.49
2017/5/2,159.1,82.66
2017/5/3,158.63,82.67
2017/5/4,159.05,86.53
2017/5/5,155.05,85.89
2017/5/8,153.03,86.59
2017/5/9,152.11,87.54
2017/5/10,151.25,88.14
2017/5/11,150.65,88.86
2017/5/12,150.37,88.75
2017/5/15,151.51,89.92
2017/5/16,153.68,89.12
2017/5/17,150.93,86.28
2017/5/18,150.78,86.69
2017/5/19,151.98,89.16
2017/5/22,152.64,89.48
2017/5/23,152.03,89.19
2017/5/24,152.51,89.97
2017/5/25,153.2,91.11
2017/5/26,152.49,91
2017/5/30,151.73,91.03
2017/5/31,152.63,91.77
2017/6/1,152.67,93.14
2017/6/2,152.05,93.58
2017/6/5,152.41,93.32
2017/6/6,152.37,91.69
2017/6/7,150.98,91.93
2017/6/8,152.1,91.57
2017/6/9,154.1,92.1
2017/6/12,155.18,92.36
2017/6/13,154.25,93
2017/6/14,153.81,93.9
2017/6/15,154.22,94.43
2017/6/16,155.38,92.53
2017/6/19,154.84,93.75
2017/6/20,154.95,93.25
2017/6/21,153.79,95.62
2017/6/22,154.4,96.37
2017/6/23,154.11,95.82
2017/6/26,155.23,95.99
2017/6/27,154.75,95.53
2017/6/28,155.32,96.38
2017/6/29,154.13,95.76
2017/6/30,153.83,94.53
2017/7/3,155.58,94.7
2017/7/5,153.67,95.22
2017/7/6,152.36,92.51
2017/7/7,152.94,93.91
2017/7/10,153.42,92.49
2017/7/11,153.19,92.18
2017/7/12,153.7,93.21
2017/7/13,153.63,92.86
2017/7/14,154.24,92.96
2017/7/17,153.01,92.71
2017/7/18,154,91.37
2017/7/19,147.53,91.17
2017/7/20,147.66,91.95
2017/7/21,147.08,91.62
2017/7/24,145.99,93.13
2017/7/25,146.19,94.65
2017/7/26,145.36,94.21
2017/7/27,145.07,92.78
2017/7/28,144.29,93.97
2017/7/31,144.67,93.82
2017/8/1,145.3,92.98
2017/8/2,144.45,91.27
2017/8/3,144.94,81.71
2017/8/4,145.16,80.83
2017/8/7,143.47,80.58
2017/8/8,142.11,80.33
2017/8/9,141.77,79.8
2017/8/10,141.84,78.88
2017/8/11,141.84,80.02
2017/8/14,142.32,80.08
2017/8/15,142.07,80
2017/8/16,142.5,80.03
2017/8/17,140.7,79.94
2017/8/18,139.7,78.6
2017/8/21,140.33,78.04
2017/8/22,141.01,79.23
2017/8/23,142.14,78.14
2017/8/24,142.94,78.4
2017/8/25,143.74,78.1
2017/8/28,142.51,78.66
2017/8/29,143.14,78.56
2017/8/30,142.56,78.33
2017/8/31,143.03,80.25
2017/9/1,144.08,80.24
2017/9/5,143.04,79.69
2017/9/6,143.82,80.72
2017/9/7,142.9,82.56
2017/9/8,142.45,82.5
2017/9/11,144.86,84.39
2017/9/12,145.76,83.9
2017/9/13,145.99,84.32
2017/9/14,145.54,80.69
2017/9/15,144.82,81.6
2017/9/18,144.55,80.67
2017/9/19,144.39,79.28
2017/9/20,145.88,79.5
2017/9/21,145.26,80.38
2017/9/22,145.13,81.05
2017/9/25,145.87,80.98
2017/9/26,146.56,82
2017/9/27,145.66,82.43
2017/9/28,145.66,80.99
2017/9/29,145.08,82.75
2017/10/2,146.66,83.3
2017/10/3,146.78,82.88
2017/10/4,146.48,82.74
2017/10/5,146.72,84.12
2017/10/6,146.48,80.48
2017/10/9,147.39,78.35
2017/10/10,148.5,79.55
2017/10/11,147.62,80.32
2017/10/12,147.03,80.8
2017/10/13,147.1,79.44
2017/10/16,146.83,79
2017/10/17,146.54,79.95
2017/10/18,159.53,80.49
2017/10/19,160.9,82.2
2017/10/20,162.07,83.21
2017/10/23,159.55,82.53
2017/10/24,155.88,81.85
2017/10/25,153.5,82.22
2017/10/26,153.6,78.77
2017/10/27,153.68,76.38
2017/10/30,154.36,76.93
2017/10/31,154.06,76.95
2017/11/1,154.03,76.62
2017/11/2,153.35,73.23
2017/11/3,151.58,74.8
2017/11/6,150.84,74.86
2017/11/7,151.35,74.91
2017/11/8,151.57,75.01
2017/11/9,150.3,75.27
2017/11/10,149.16,75
2017/11/13,148.4,75.4
2017/11/14,148.89,75.4
2017/11/15,147.1,77.53
2017/11/16,149.12,80.31
2017/11/17,148.97,78.84
2017/11/20,150.51,77.46
2017/11/21,151.95,79.46
2017/11/22,151.77,81.4
2017/11/24,151.84,81.23
2017/11/27,151.98,81.12
2017/11/28,152.47,83.15
2017/11/29,153.55,84.66
2017/11/30,153.97,84.82
2017/12/1,154.76,84.95
2017/12/4,156.46,87.42
2017/12/5,155.35,85.89
2017/12/6,154.1,85.99
2017/12/7,153.57,85.93
2017/12/8,154.81,86.7
2017/12/11,155.41,86.77
2017/12/12,156.74,87.82
2017/12/13,153.91,88.48
2017/12/14,154,89.31
2017/12/15,152.5,93.17
2017/12/18,153.33,92.4
2017/12/19,153.23,93.79
2017/12/20,152.95,93.74
2017/12/21,151.5,92.99
2017/12/22,152.5,92.46
2017/12/26,152.83,93.25
2017/12/27,153.13,92.6
2017/12/28,154.04,92.59
2017/12/29,153.42,91.82
2018/1/2,154.25,94.04
2018/1/3,158.49,94.39
2018/1/4,161.7,94.18
2018/1/5,162.49,95.32
2018/1/8,163.47,96.9
2018/1/9,163.83,97.52
2018/1/10,164.18,97.21
2018/1/11,164.2,98.14
2018/1/12,163.14,99
2018/1/16,163.85,99.55
2018/1/17,168.65,101.3
2018/1/18,169.12,100.86
2018/1/19,162.37,100.06
2018/1/22,162.6,102.66
2018/1/23,166.25,102.81
2018/1/24,165.37,104.62
2018/1/25,165.47,104.37
2018/1/26,167.34,105.48
2018/1/29,166.8,105.09
2018/1/30,163.62,102.46
2018/1/31,163.7,99.67
2018/2/1,162.4,99.29
2018/2/2,159.03,96.02
2018/2/5,152.53,91.9
2018/2/6,155.34,91.54
2018/2/7,153.85,94.22
2018/2/8,147.59,91.55
2018/2/9,149.51,89.19
2018/2/12,151.4,89.45
2018/2/13,150.75,97.77
2018/2/14,154.76,96.4
2018/2/15,156.01,97.6
2018/2/16,156.18,99.4
2018/2/20,155.16,99.94
2018/2/21,153.96,98.57
2018/2/22,153.18,97.12
2018/2/23,155.52,98.42
2018/2/26,158.58,100.58
2018/2/27,156.55,97.64
2018/2/28,155.83,95.16
2018/3/1,153.81,93.3
2018/3/2,154.49,93.96
2018/3/5,156.95,94.9
2018/3/6,155.72,94.7
2018/3/7,158.32,95.6
2018/3/8,156.21,96.24
2018/3/9,159.31,99
2018/3/12,160.26,100.29
2018/3/13,159.32,100.6
2018/3/14,158.12,98.58
2018/3/15,159.61,97.36
2018/3/16,160.26,96.61
2018/3/19,157.35,93
2018/3/20,156.2,89.19
2018/3/21,156.69,89.5
2018/3/22,152.09,85
2018/3/23,148.89,84.03
2018/3/26,153.37,84.95
2018/3/27,151.91,84.01
2018/3/28,152.52,85.11
2018/3/29,153.43,86.21
2018/4/2,150.07,82.67
2018/4/3,149.85,83.93
2018/4/4,154.12,86.25
2018/4/5,154.03,87.38
2018/4/6,150.57,85.41
2018/4/9,152.69,86.79
2018/4/10,155.39,88.91
2018/4/11,155.36,89.09
2018/4/12,158.07,88.19
2018/4/13,156.71,86.82
2018/4/16,157.89,88.77
2018/4/17,160.91,91.04
2018/4/18,148.79,92.75
2018/4/19,147.7,91.69
2018/4/20,144.9,89.87
2018/4/23,145.86,90.74
2018/4/24,145.56,90.14
2018/4/25,145.94,91.43
2018/4/26,146.72,92.08
2018/4/27,146.48,93.07
2018/4/30,144.96,90.58
2018/5/1,145,89.2
2018/5/2,142.45,92.18
2018/5/3,141.99,85.37
2018/5/4,143.91,86.37
2018/5/7,143.22,84.69
2018/5/8,143,84.69
2018/5/9,142.61,84.72
2018/5/10,144.24,85.53
2018/5/11,144.14,86.88
2018/5/14,144.3,87.28
2018/5/15,143.74,85.67
2018/5/16,144.63,85.99
2018/5/17,144.5,87.07
2018/5/18,144.08,84.77
2018/5/21,145.49,84.34
2018/5/22,145.09,84.51
2018/5/23,144.67,83.96
2018/5/24,144.07,84.09
2018/5/25,143.64,85.49
2018/5/29,141.22,82.57
2018/5/30,142.62,84.13
2018/5/31,141.31,82.14
2018/6/1,141.95,83.34
2018/6/4,143.04,84.32
2018/6/5,143.7,84.79
2018/6/6,144.71,87.15
2018/6/7,145.36,86.6
2018/6/8,146.14,86.09
2018/6/11,146.58,87.28
2018/6/12,146.87,88.04
2018/6/13,146.35,90.66
2018/6/14,145.2,93.35
2018/6/15,145.39,94.85
2018/6/18,144.48,91.57
2018/6/19,143.9,92.17
2018/6/20,142.63,93.23
2018/6/21,141.25,93.21
2018/6/22,141.28,93.5
2018/6/25,138.79,92.22
2018/6/26,139.08,90.39
2018/6/27,137.48,89.82
2018/6/28,140.04,86.1
2018/6/29,139.7,85.27
2018/7/2,139.86,85.72
2018/7/3,139.57,86.68
2018/7/5,141.43,87.2
2018/7/6,142.48,87.97
2018/7/9,144.39,88.25
2018/7/10,144.71,88.14
2018/7/11,144.94,87.14
2018/7/12,146.45,86.8
2018/7/13,145.9,87.91
2018/7/16,145.46,86.9
2018/7/17,143.49,86.82
2018/7/18,144.52,86.33
2018/7/19,149.24,85.56
2018/7/20,146.35,84.7
2018/7/23,145.7,84.75
2018/7/24,146.38,83.93
2018/7/25,146.62,84.77
2018/7/26,146.71,83.24
2018/7/27,145.15,82.92
2018/7/30,145.49,82.91
2018/7/31,144.93,81.83
2018/8/1,143.5,79.49
2018/8/2,142.96,78.98
2018/8/3,147.7,80.97
2018/8/6,146.03,82.14
2018/8/7,147.01,83.44
2018/8/8,146.89,82.66
2018/8/9,144.77,83.24
2018/8/10,144.48,81.98
2018/8/13,142.71,83.06
2018/8/14,143.36,84.43
2018/8/15,143.91,85.12
2018/8/16,145.34,86.82
2018/8/17,146.06,87.72
2018/8/20,146.51,88.27
2018/8/21,145.97,87.99
2018/8/22,145.24,88.15
2018/8/23,145.37,88.28
2018/8/24,146.04,88.33
2018/8/27,146.69,88.46
2018/8/28,146.59,88.87
2018/8/29,147.54,89.26
2018/8/30,145.93,90.06
2018/8/31,146.48,89.97
2018/9/4,145.68,89.17
2018/9/5,146.66,89.44
2018/9/6,146.39,88.38
2018/9/7,145.45,88.64
2018/9/10,145.65,88.33
2018/9/11,146.49,84.1
2018/9/12,146.57,85.21
2018/9/13,148.95,85.93
2018/9/14,148.33,85.84
2018/9/17,147.94,86.76
2018/9/18,148.56,87.33
2018/9/19,149.06,89.39
2018/9/20,151.15,91.06
2018/9/21,151.35,90.13
2018/9/24,150.03,89.57
2018/9/25,148.91,89.52
2018/9/26,151.61,90.31
2018/9/27,151.5,91.15
2018/9/28,151.21,92.22
2018/10/1,153,92.79
2018/10/2,153.75,91.4
2018/10/3,153.22,91.03
2018/10/4,151.31,91.04
2018/10/5,149.03,90.58
2018/10/8,148.39,91.29
2018/10/9,147.24,90.92
2018/10/10,142.69,90.84
2018/10/11,139.02,87.31
2018/10/12,140.85,88.48
2018/10/15,141.13,89.54
2018/10/16,145.12,92.57
2018/10/17,134.05,93.76
2018/10/18,130.55,93.38
2018/10/19,129.1,92.8
2018/10/22,130.02,90.22
2018/10/23,131.21,90.28
2018/10/24,127.21,84.49
2018/10/25,126.45,85.72
2018/10/26,124.79,84.72
2018/10/29,119.64,85.99
2018/10/30,115.4,87.61
2018/10/31,115.43,88
2018/11/1,116.83,90.92
2018/11/2,115.67,88.57
2018/11/5,120.06,88.56
2018/11/6,123.12,84
2018/11/7,124.84,86.54
2018/11/8,123.38,89.17
2018/11/9,123.54,88.86
2018/11/12,120.9,89.92
2018/11/13,120.84,91.31
2018/11/14,120.2,89.58
2018/11/15,121.44,89.15
2018/11/16,121.57,88.75
2018/11/19,120.31,90.82
2018/11/20,117.2,88.87
2018/11/21,118.57,87.43
2018/11/23,117.19,87.66
2018/11/26,119.56,88.94
2018/11/27,120.03,89.63
2018/11/28,123,91.24
2018/11/29,121.48,90.5
2018/11/30,124.27,88.9
2018/12/3,125.31,89.02
2018/12/4,121.6,87.61
2018/12/6,123.91,85.98
2018/12/7,119.34,84.32
2018/12/10,121.13,83.55
2018/12/11,120.89,82.48
2018/12/12,121.16,83.22
2018/12/13,120.73,81.89
2018/12/14,119.9,78.97
2018/12/17,116.1,77
2018/12/18,116.65,76.24
2018/12/19,116.43,76.31
2018/12/20,113.02,73.22
2018/12/21,110.94,71.98
2018/12/24,107.57,70.76
2018/12/26,111.39,73.04
2018/12/27,113.78,73.53
2018/12/28,113.03,73.96
2018/12/31,113.67,74.4
2019/1/2,115.21,74.45
2019/1/3,112.91,73.37
2019/1/4,117.32,74.22
2019/1/7,118.15,74.75
2019/1/8,119.83,75.55
2019/1/9,120.69,76.32
2019/1/10,121.79,76
2019/1/11,121.46,76.56
2019/1/14,120.39,76.86
2019/1/15,121.73,77.26
2019/1/16,121.62,77.3
2019/1/17,122.19,76.08
2019/1/18,123.82,79.86
2019/1/22,122.52,79.71
2019/1/23,132.89,79.36
2019/1/24,132.53,78.7
2019/1/25,133.97,79.66
2019/1/28,134.27,80.12
2019/1/29,134.33,79.54
2019/1/30,134.38,78.53
2019/1/31,134.42,83.37
2019/2/1,134.1,83.76
2019/2/4,135.19,84.45
2019/2/5,135.55,85.77
2019/2/6,136.32,86.64
2019/2/7,133.19,85.8
2019/2/8,133.71,84.31
2019/2/11,133.99,83.64
2019/2/12,136.05,85.79
2019/2/13,137.52,86.41
2019/2/14,136.48,86.45
2019/2/15,138.03,86.66
2019/2/19,138.7,86.85
2019/2/20,138,86.33
2019/2/21,137.84,84.98
2019/2/22,139.25,85.67
2019/2/25,139.46,84.67
2019/2/26,139.72,83.92
2019/2/27,139.17,82.79
2019/2/28,138.13,83.3
2019/3/1,139.2,82.98
2019/3/4,138.43,80.48
2019/3/5,137.88,79.66
2019/3/6,136.98,76.63
2019/3/7,135.36,76.33
2019/3/8,135.09,76.41
2019/3/11,137.71,77.95
2019/3/12,138.28,78.42
2019/3/13,138.56,79.79
2019/3/14,138.79,79.51
2019/3/15,139.43,80.18
2019/3/18,140.21,80.39
2019/3/19,140.49,81.07
2019/3/20,139.6,79.27
2019/3/21,141.44,80.36
2019/3/22,139.45,78.77
2019/3/25,139.18,77.1
2019/3/26,140.22,76.56
2019/3/27,139.24,76.5
2019/3/28,139.92,77.89
2019/3/29,141.1,79.52
2019/4/1,143.3,79.09
2019/4/2,143,74.49
2019/4/3,143.63,75.05
2019/4/4,142.78,75.97
2019/4/5,143.28,77.27
2019/4/8,143.39,78.12
2019/4/9,142.11,77.43
2019/4/10,143.02,74
2019/4/11,143.78,74.18
2019/4/12,144.35,74.74
2019/4/15,143.9,76.11
2019/4/16,145.14,75.35
2019/4/17,139.11,72.3
2019/4/18,140.33,72.45
2019/4/22,138.89,71.06
2019/4/23,140.44,73.43
2019/4/24,139.95,74.09
2019/4/25,138.63,73.72
2019/4/26,139.44,74.05
2019/4/29,139.05,74.51
2019/4/30,140.27,74.76
2019/5/1,140.56,73.39
2019/5/2,139.59,77.06
2019/5/3,140.25,79.14
2019/5/6,140.38,78.31
2019/5/7,137.64,77.46
2019/5/8,138,78.72
2019/5/9,135.34,79.18
2019/5/10,135.32,77.47
2019/5/13,131.42,75.68
2019/5/14,133.31,76.69
2019/5/15,134.4,77.86
2019/5/16,135.88,77.59
2019/5/17,134.32,77.73
2019/5/20,135.12,79.23
2019/5/21,136.45,80.57
2019/5/22,136.35,81.8
2019/5/23,132.39,80.44
2019/5/24,132.28,80.68
2019/5/28,130.46,80.89
2019/5/29,129.69,78.35
2019/5/30,129.57,78.32
2019/5/31,126.99,77.86
2019/6/3,128.27,80.37
2019/6/4,132.69,82.21
2019/6/5,131.49,81.65
2019/6/6,132.22,81.75
2019/6/7,133.31,83.48
2019/6/10,134.74,84.77
2019/6/11,135.95,84.72
2019/6/12,134.87,85.38
2019/6/13,135.76,86.44
2019/6/14,135.15,85.05
2019/6/17,134.95,85.34
2019/6/18,136.38,85.45
2019/6/19,137.08,86.06
2019/6/20,138.85,85.56
2019/6/21,139.2,84.46
2019/6/24,139.35,83.52
2019/6/25,138.36,84.28
2019/6/26,138.52,83.78
2019/6/27,138.52,85.63
2019/6/28,137.9,85.26
2019/7/1,139.88,85.59
2019/7/2,140.22,85.46
2019/7/3,141.54,87.59
2019/7/5,141.38,87.97
2019/7/8,140.57,87.83
2019/7/9,139.33,88.23
2019/7/10,140.47,89.3
2019/7/11,141.24,90.53
2019/7/12,142.74,89.85
2019/7/15,143.32,89.93
2019/7/16,143.53,89
2019/7/17,143.07,85.46
2019/7/18,149.63,86.76
2019/7/19,149.68,85.52
2019/7/22,149.74,85.05
2019/7/23,150.38,85.81
2019/7/24,150.03,86.89
2019/7/25,150.39,85.93
2019/7/26,151.36,86.12
2019/7/29,150.88,87.23
2019/7/30,149.77,88.72
2019/7/31,148.24,87.15
2019/8/1,150.32,91.7
2019/8/2,147.25,90.44
2019/8/5,140.76,88.7
2019/8/6,140.73,84.11
2019/8/7,139.11,85.85
2019/8/8,140.1,87.89
2019/8/9,136.13,87.45
2019/8/12,133.67,87.38
2019/8/13,135.79,89.26
2019/8/14,131.25,86.34
2019/8/15,131.92,85.97
2019/8/16,133.76,87.34
2019/8/19,135.04,87.75
2019/8/20,133,86.3
2019/8/21,134.25,86.32
2019/8/22,134.32,85.55
2019/8/23,129.57,83.54
2019/8/26,129.99,85.9
2019/8/27,131.17,81.28
2019/8/28,132.76,81.01
2019/8/29,134.88,81.91
2019/8/30,135.53,82.27
2019/9/3,134.1,84.04
2019/9/4,136.32,85.18
2019/9/5,140.97,86.04
2019/9/6,140.57,86.32
2019/9/9,142.6,87.13
2019/9/10,145.05,85.88
2019/9/11,143.6,87.79
2019/9/12,143.62,84.64
2019/9/13,143.67,83.42
2019/9/16,142.48,83.79
2019/9/17,142.2,83.18
2019/9/18,142.22,83
2019/9/19,142.97,84.63
2019/9/20,141.88,85.12
2019/9/23,142.07,83.85
2019/9/24,141.68,82.7
2019/9/25,143.16,83.23
2019/9/26,143.55,82
2019/9/27,143.24,80.94
2019/9/30,145.42,82.33
2019/10/1,143.66,82.12
2019/10/2,141.69,80.98
2019/10/3,142.02,81.34
2019/10/4,142.99,81.85
2019/10/7,141.28,81.86
2019/10/8,138.38,80.17
2019/10/9,139.67,80.37
2019/10/10,141.13,80.82
2019/10/11,142.76,81.96
2019/10/14,142.04,81.58
2019/10/15,143,83.2
2019/10/16,142.11,86.05
2019/10/17,134.26,89.5
2019/10/18,134.09,89.64
2019/10/21,132.58,86.66
2019/10/22,133.96,86.06
2019/10/23,134.38,85.65
2019/10/24,134.07,85.98
2019/10/25,135.44,86.8
2019/10/28,135.97,87.39
2019/10/29,133.82,88.87
2019/10/30,135.25,85.85
2019/10/31,133.73,85.38
2019/11/1,135.53,86.87
2019/11/4,137.67,87.5
2019/11/5,137.89,86.13
2019/11/6,138.78,84.71
2019/11/7,137.69,84.08
2019/11/8,137.61,86.07
2019/11/11,135.47,84.04
2019/11/12,135.59,85.54
2019/11/13,134.48,86.09
2019/11/14,134,86.13
2019/11/15,134.4,87.3
2019/11/18,134.31,87.77
2019/11/19,134.52,87.81
2019/11/20,133.2,87.55
2019/11/21,133.84,88.31
2019/11/22,134.34,90.26
2019/11/25,135.97,90.64
2019/11/26,135.09,87.85
2019/11/27,133.77,88.51
2019/11/29,134.45,87.91
2019/12/2,132.91,87.83
2019/12/3,132.12,87.43
2019/12/4,131.99,88.36
2019/12/5,131.91,87.82
2019/12/6,133.22,88.24
2019/12/9,133.92,86.39
2019/12/10,133.91,86.76
2019/12/11,133.76,86.66
2019/12/12,135.32,86.79
2019/12/13,134.21,84.85
2019/12/16,134.13,85.96
