,trade_time,trade_price,close_time,close_price,long_short,trade_cost,close_cost,profit
0,2016-08-12,2.5327979861984287,2016-09-02,2.3851285852895447,-1,0.006167202013801571,0.006258871414710455,0.14766940090888392
1,2016-09-20,2.2645353850875707,2016-10-28,2.393586185558844,1,0.006191464614912428,0.0061964138144411565,0.12905080047127315
2,2016-09-28,2.2553743849192593,2016-10-28,2.393586185558844,1,0.006226625615080742,0.0061964138144411565,0.1382118006395845
0,2016-08-12,2.480127943809852,2016-09-02,2.3289900279144033,-1,0.006219872056190148,0.006315009972085597,0.15113791589544867
1,2016-09-21,2.202383392397571,2016-10-28,2.3384753363278694,1,0.006279616607602429,0.006251524663672131,0.13609194393029833
2,2016-09-28,2.1978227288458876,2016-10-28,2.3384753363278694,1,0.006284177271154114,0.006251524663672131,0.14065260748198183
0,2016-08-12,2.4320533402482383,2016-09-02,2.2777495358255613,-1,0.006267946659751761,0.006366250464174439,0.154303804422677
1,2016-09-21,2.1499703490023485,2016-10-28,2.288172885284132,1,0.006332029650997653,0.006301827114715868,0.13820253628178358
2,2016-09-28,2.1452924303200267,2016-10-28,2.288172885284132,1,0.006336707569679975,0.006301827114715868,0.1428804549641054
0,2016-08-12,2.386857103330614,2016-09-02,2.2295769613548253,-1,0.006313142896669385,0.006414423038645175,0.15728014197578855
1,2016-09-21,2.100695427289719,2016-10-28,2.2408821886069106,1,0.006381304572710282,0.0063491178113930895,0.14018676131719143
2,2016-09-28,2.095907273883208,2016-10-28,2.2408821886069106,1,0.006386092726116793,0.0063491178113930895,0.1449749147237025
0,2016-08-12,2.3344463649809133,2016-09-02,2.173714784138193,-1,0.006365553635019086,0.006470285215861808,0.16073158084272032
1,2016-09-21,2.0435549393816306,2016-10-28,2.1860426599434435,1,0.006438445060618371,0.006403957340056557,0.14248772056181291
2,2016-09-28,2.038638954905974,2016-10-28,2.1860426599434435,1,0.006443361045094027,0.006403957340056557,0.14740370503746947
0,2016-08-12,2.2894127947283023,2016-09-02,2.125715588527483,-1,0.006410587205271697,0.006518284411472517,0.16369720620081907
1,2016-09-21,1.994457364008662,2016-10-28,2.1389221681425408,1,0.006487542635991339,0.006451077831857459,0.14446480413387874
2,2016-09-28,1.9894315415567796,2016-10-28,2.1389221681425408,1,0.0064925684584432215,0.006451077831857459,0.14949062658576118
0,2016-08-12,2.2372541735967966,2016-09-02,2.070122131370244,-1,0.006462745826403203,0.006573877868629756,0.16713204222655254
1,2016-09-28,1.9324387067594269,2016-10-28,2.0843464401781113,1,0.006549561293240574,0.0065056535598218895,0.15190773341868447
0,2016-08-12,2.18976745872592,2016-09-02,2.0195082425932367,-1,0.006510232541274079,0.006624491757406764,0.17025921613268347
1,2016-09-28,1.8805507841688107,2016-10-28,2.034659121447365,1,0.00660144921583119,0.006555340878552635,0.15410833727855433
0,2016-08-12,2.1413343421732556,2016-09-02,1.967885628121251,-1,0.006558665657826744,0.0066761143718787495,0.17344871405200468
1,2016-09-28,1.8276287446185822,2016-10-28,1.983981543395919,1,0.006654371255381418,0.006606018456604082,0.15635279877733677
0,2016-08-12,2.0929774276034236,2016-09-02,1.9163442338114542,-1,0.006607022572396575,0.006727655766188546,0.1766331937919694
1,2016-09-28,1.7747899696739853,2016-10-28,1.9333836986387043,1,0.006707210030326016,0.006656616301361296,0.15859372896471902
0,2016-08-12,2.053298649017467,2016-09-02,1.8740524624893493,-1,0.006646701350982533,0.0067699475375106516,0.17924618652811786
1,2016-09-28,1.731433645755672,2016-10-28,1.8918661473865694,1,0.0067505663542443296,0.006698133852613431,0.1604325016308974
0,2016-08-12,1.9998295345294497,2016-09-02,1.817062211193584,-1,0.006700170465470549,0.006826937788806417,0.18276732333586576
0,2016-08-12,1.9491067923023988,2016-09-02,1.7629991908198739,-1,0.006750893207697601,0.006881000809180126,0.18610760148252492
1,2017-05-12,1.9357565667856766,2017-05-15,1.86776570714206,-1,0.007440243433214323,0.007454234292857942,0.06799085964361673
0,2016-08-12,1.9114250672779156,2016-09-02,1.722835986342559,-1,0.006788574932722083,0.006921164013657441,0.18858908093535653
1,2017-05-12,1.8925604429771226,2017-05-16,1.8017694680237368,-1,0.007483439557022876,0.007440230531976264,0.09079097495338573
0,2016-08-12,1.882412297247329,2016-09-02,1.6919126192611773,-1,0.00681758770275267,0.0069520873807388224,0.19049967798615164
1,2017-05-12,1.8593019017225476,2017-05-17,1.7682278753542295,-1,0.007516698098277452,0.007473772124645771,0.09107402636831807
0,2016-08-12,1.8910071149965177,2016-09-02,1.7010734372036058,-1,0.006808992885003482,0.006942926562796395,0.18993367779291193
1,2017-05-12,1.869154497678935,2017-05-18,1.8151544976789347,-1,0.007506845502321065,0.0074528455023210646,0.05400000000000027
0,2016-08-12,1.8929485210652075,2016-09-02,1.7031426919646235,-1,0.006807051478934792,0.006940857308035377,0.18980582910058397
1,2017-05-12,1.8713800119527986,2017-05-19,1.8253872034675918,-1,0.007504619988047201,0.0074706127965324075,0.045992808485206815
0,2016-08-12,1.8906796148078255,2016-09-02,1.7007243699293166,-1,0.006809320385192174,0.006943275630070684,0.1899552448785089
1,2017-05-12,1.8687790706333605,2017-05-22,1.8437823858275455,-1,0.007507220929366639,0.007506217614172455,0.02499668480581496
0,2017-05-12,1.8497268543765846,2017-05-23,1.867493580177137,-1,0.007526273145623415,0.007616506419822863,-0.017766725800552496
0,2017-05-12,1.8213978192344746,2017-05-24,1.832703744201797,-1,0.007554602180765525,0.007651296255798203,-0.011305924967322412
