,ticker,tradeDate,real_return,market_value,pred
0,600030,2018-08-31,0.04443054,193628196232.0,0.22768481
16,600109,2018-08-31,0.03692762,20474912461.0,0.34241548
61,601211,2018-08-31,0.025307800000000002,127397810110.0,0.39848542
143,601198,2018-08-31,0.026000000000000002,27579607000.0,0.7262306
148,601336,2018-08-31,0.10098146,143031211610.0,0.46019447
152,601688,2018-08-31,0.02539063,126743040000.0,0.10750154
213,600318,2018-08-31,-0.09963768,5343360000.0,0.22934277
239,600830,2018-08-31,-0.00787402,2307959316.0,0.25002217
245,600837,2018-08-31,0.04550758,98569569000.0,0.24064872
248,600958,2018-08-31,0.01708428,61404297924.0,0.24255845
321,600155,2018-08-31,0.06727829,11376700818.0,0.20298517
369,601555,2018-08-31,0.00471698,19080000000.0,0.391648
380,603300,2018-08-31,0.02811245,2416775574.0,0.15682882
421,600369,2018-08-31,-0.02191781,20604648215.0,0.3656417
441,600783,2018-08-31,0.09753483,6944872269.0,-0.20970397
453,600816,2018-08-31,-0.056466300000000004,30025567071.0,0.21631685
472,601788,2018-08-31,-0.08741595,47998298916.0,0.33520803
578,601375,2018-08-31,0.01449275,16017952698.0,0.2214493
643,600695,2018-08-31,0.05047319,2254288757.0,-0.34124357
656,600999,2018-08-31,0.00229008,87762261830.0,0.23788702
668,601377,2018-08-31,0.00220751,30335922801.0,0.23270772
774,601901,2018-08-31,-0.0738255,49063324344.0,0.29598513
865,601108,2018-08-31,-0.07825203,35315760000.0,0.08338596
869,601318,2018-08-31,0.09849186,1151289603370.0,0.30880892
900,600061,2018-08-31,-0.05119454,37156470063.0,0.13817976
921,600390,2018-08-31,0.0390625,28787618304.0,0.22939622
942,600643,2018-08-31,0.10376283,14224260325.0,0.26646897
967,601601,2018-08-31,0.08394383,296871120000.0,0.32206982
1011,600093,2018-08-31,-0.12734452,11370393175.0,0.5658542
1138,600864,2018-08-31,0.02689487,8623821442.0,0.4573524
1203,600053,2018-08-31,-0.01206637,5748751008.0,0.27865463
1211,600291,2018-08-31,0.00405515,13477484052.0,-0.07996349
1234,600705,2018-08-31,0.0518018,39854886552.0,0.3479061
1247,601099,2018-08-31,0.0,15404875064.0,0.2230165
1250,601878,2018-08-31,0.11061286,22300000446.0,0.04868199
1334,600599,2018-08-31,-0.01798561,1845920000.0,0.43553653
1360,600909,2018-08-31,-0.02509653,18756780000.0,0.31077012
1365,601628,2018-08-31,0.02624434,624649980500.0,0.69789666
1367,601881,2018-08-31,-0.04330176,74914341793.0,0.23002857
1,600031,2018-08-31,-0.01333333,70021962900.0,-0.17361008
17,600320,2018-08-31,0.01474926,17859718365.0,0.2940793
27,600582,2018-08-31,0.1143617,15561094264.0,0.18709292
71,603131,2018-08-31,-0.05777461,2804000000.0,0.24751219
96,603912,2018-08-31,-0.05944056,3009006000.0,0.38193107
108,600481,2018-08-31,0.02743902,5365738224.0,0.26633328
164,603036,2018-08-31,0.09824281,2546067200.0,0.16833857
188,603638,2018-08-31,-0.04649596,7731046400.0,0.680765
189,603690,2018-08-31,-0.13254486,5158027200.0,-0.46791023
192,603699,2018-08-31,-0.03411676,9892500000.0,0.30583858
195,603960,2018-08-31,-0.05654662,4016792000.0,0.32988247
197,603966,2018-08-31,0.00342857,1846640250.0,0.10124667
199,603969,2018-08-31,0.11224919,3967200000.0,0.0151189715
218,600495,2018-08-31,0.04783599,5303958051.0,0.008932635
222,600499,2018-08-31,-0.02097902,9021616604.0,0.028342947
229,600558,2018-08-31,-0.05620609,3832772496.0,0.087490425
243,600835,2018-08-31,0.04643558,15637683897.0,0.457223
270,603028,2018-08-31,0.00699301,1578720000.0,0.44110274
271,603029,2018-08-31,0.15763547,1326361400.0,0.13243383
274,603111,2018-08-31,0.05251641,4539269035.0,0.13733964
280,603203,2018-08-31,-0.06118053,3674498113.0,0.5704363
289,603686,2018-08-31,-0.06764168,4906672050.0,0.055042908
292,603757,2018-08-31,-0.03403141,2688974400.0,0.4034503
328,600302,2018-08-31,0.04941176,1470541650.0,0.19477525
342,600545,2018-08-31,-0.00645161,14689450750.0,-0.041325256
379,603169,2018-08-31,0.002,5257513000.0,-0.017662928
384,603308,2018-08-31,0.01830443,4502369634.0,0.22872196
397,603789,2018-08-31,0.01237624,3151200000.0,-0.19975345
398,603800,2018-08-31,0.06464174,2670720000.0,-0.06984858
426,600375,2018-08-31,-0.00952381,2334110520.0,0.42241326
437,600577,2018-08-31,-0.01440922,6784974974.0,0.30214304
439,600579,2018-08-31,0.04465335,3494512360.0,-0.02778171
452,600815,2018-08-31,-0.04266667,3596137500.0,-0.044779643
465,601038,2018-08-31,0.05202312,5116561500.0,0.08283599
470,601369,2018-08-31,-0.02599388,10717557108.0,0.55203646
471,601766,2018-08-31,0.05494505,235043696979.0,0.2194659
480,603311,2018-08-31,0.0527804,2228100000.0,0.39748448
482,603315,2018-08-31,0.10143627,2450253026.0,-0.09330998
484,603318,2018-08-31,-0.01205788,5017080612.0,-0.103977725
502,600172,2018-08-31,-0.05660377,5477139780.0,-0.08727531
525,600218,2018-08-31,-0.02737226,2020777400.0,0.18940954
530,600560,2018-08-31,0.01692708,1717597440.0,0.31590712
575,601028,2018-08-31,-0.07894737,4760796864.0,0.2890578
582,601798,2018-08-31,-0.02910603,1705280642.0,0.2580661
588,603090,2018-08-31,-0.01293103,1392000000.0,0.28092167
592,603321,2018-08-31,-0.02059202,2385390000.0,0.45976645
604,600165,2018-08-31,0.1815562,2376546786.0,-0.28843683
608,600169,2018-08-31,0.0,6127852450.0,0.079694375
