,ticker,tradeDate,real_return,market_value,pred
685,603338,2019-11-29,0.10203453,22498787952.0,1.2916787
686,603339,2019-11-29,0.04710425,2728239955.0,1.321236
690,603556,2019-11-29,0.07236842,7464791440.0,0.78339064
708,600169,2019-11-29,0.01746725,5871456950.0,1.0859948
736,600501,2019-11-29,0.08926081,3020603412.0,1.0985317
755,600761,2019-11-29,0.08836689,6617216352.0,1.2990261
764,600984,2019-11-29,0.05193483,8128932170.0,1.1313914
796,603855,2019-11-29,0.07814276,3072329600.0,1.180459
803,600243,2019-11-29,-0.15576923,2282020000.0,0.09917688
842,600894,2019-11-29,0.06373938,6071225114.0,1.2210331
851,601002,2019-11-29,0.06137184,4391502600.0,1.133922
858,601100,2019-11-29,0.14053187,38472840000.0,1.1034932
860,601106,2019-11-29,0.03928571,19201792120.0,1.0859948
861,601177,2019-11-29,0.01847826,3680552000.0,1.080161
882,603626,2019-11-29,0.29875,3303478400.0,0.6858235
888,603985,2019-11-29,0.10403397,2057328000.0,1.1641324
914,600520,2019-11-29,0.04545455,1638166200.0,1.0043315
919,600526,2019-11-29,0.02217742,2715127312.0,1.0983789
921,600528,2019-11-29,0.14200596,22371024612.0,1.0859948
956,601608,2019-11-29,0.04494382,15448332708.0,1.0859948
969,603277,2019-11-29,0.12343096,3919265400.0,1.1518064
970,603278,2019-11-29,0.13160987,2467285578.0,1.25284
972,603298,2019-11-29,0.01898734,7822315824.0,1.2340887
975,603337,2019-11-29,0.10899471,8428451220.0,1.2028599
977,603500,2019-11-29,0.06052856,2069172000.0,1.3218067
983,603611,2019-11-29,0.00121212,4414342350.0,1.2278354
987,603617,2019-11-29,0.15590551,1809808420.0,1.2576423
1023,600262,2019-11-29,0.01737668,3032800000.0,1.1564871
1075,603269,2019-11-29,0.053992399999999996,1202830500.0,1.1772097
1076,603283,2019-11-29,0.2515018,4239878533.0,0.44917274
1079,603289,2019-11-29,0.05593607,2337168000.0,1.0951508
1133,600388,2019-11-29,-0.00102459,10433928000.0,0.91452694
1164,603076,2019-11-29,0.12068171,1617395000.0,1.1498605
1222,600444,2019-11-29,0.06243706,1453969467.0,1.2438008
1274,603486,2019-11-29,0.06509186,10753298280.0,1.0523068
1275,603488,2019-11-29,0.10012516,1669438590.0,1.3101729
1280,603666,2019-11-29,0.13881293,6156552109.0,0.86266243
1281,603667,2019-11-29,0.20428752,2318134871.0,1.2223216
1316,600592,2019-11-29,0.10327635,5609732544.0,1.0163442
1335,600841,2019-11-29,0.04277286,5876156844.0,1.1930746
1336,600843,2019-11-29,0.04768392,4026647664.0,1.2232238
1342,600860,2019-11-29,0.18577075,2135320000.0,1.0537188
1363,603011,2019-11-29,0.04791667,2174759040.0,0.95406497
1364,603012,2019-11-29,-0.48259861,10974294400.0,1.1371511
1383,603656,2019-11-29,0.06771205,2088808848.0,1.2244189
1395,603901,2019-11-29,0.02901354,4543282260.0,0.39940774
1427,601882,2019-11-29,0.03129445,3669660000.0,1.0859948
2,600033,2019-11-29,0.01655629,8288088000.0,1.3619232
3,600035,2019-11-29,0.03647416,5569730817.0,1.200308
13,600106,2019-11-29,0.06506849,3527957432.0,1.1168108
31,600611,2019-11-29,0.02525253,9361926684.0,1.0859948
56,601188,2019-11-29,0.03412969,3855524298.0,1.1086545
61,601326,2019-11-29,0.02903226,17320977200.0,1.0223174
66,601866,2019-11-29,0.036000000000000004,29020312500.0,1.021705
75,603223,2019-11-29,0.04817276,1699084800.0,1.1728578
86,603648,2019-11-29,0.04293194,3520766985.0,1.07026
155,603032,2019-11-29,0.0,3552177600.0,0.77854943
202,600009,2019-11-29,0.04818315,144772392105.0,1.5526348
218,600317,2019-11-29,0.02,16182457500.0,1.0859948
239,600834,2019-11-29,0.08083832,3188911092.0,1.0859948
247,601000,2019-11-29,0.02766798,14992599358.0,1.1917665
250,601333,2019-11-29,0.03378378,20967269520.0,1.0859948
274,603117,2019-11-29,0.05263158,2321291009.0,1.1319603
302,600012,2019-11-29,0.02617801,9503835300.0,1.2266083
305,600017,2019-11-29,0.03191489,8673343998.0,1.0859948
306,600018,2019-11-29,0.03590664,129077368079.0,1.1301026
312,600125,2019-11-29,0.06785714,7310922640.0,1.113913
344,600548,2019-11-29,0.06481481,23552319240.0,1.0552299
366,601518,2019-11-29,0.03937008,3430003554.0,1.1929448
375,603167,2019-11-29,0.13221406,4505846898.0,1.1875637
390,603569,2019-11-29,0.0048216000000000005,5810047602.0,1.1604404
403,600153,2019-11-29,0.12375,22681604000.0,1.0859948
423,600377,2019-11-29,0.04372093,54155785625.0,1.5462525
430,600575,2019-11-29,-0.01153846,10104278860.0,1.0859948
439,600794,2019-11-29,0.02412869,4521327706.0,1.13778
443,600798,2019-11-29,0.04705882,4102216280.0,1.1478356
465,601228,2019-11-29,0.02406417,23162493200.0,1.1180754
500,600004,2019-11-29,0.04491018,34557652350.0,0.73800963
508,600179,2019-11-29,-0.20363636,8178389450.0,0.13308603
525,600368,2019-11-29,0.05361305,4828961709.0,1.1027917
528,600561,2019-11-29,-0.02341137,1417642720.0,1.0413179
552,600787,2019-11-29,0.05894309,10823020920.0,1.3793195
566,601021,2019-11-29,0.08935219999999999,36935563383.0,1.3346642
596,603329,2019-11-29,0.0329588,1762200000.0,1.0936141
607,600190,2019-11-29,0.03378378,5926782840.0,1.1970005
617,600221,2019-11-29,0.04848485,27730098495.0,1.0015278
635,600428,2019-11-29,0.0625,7556210816.0,1.1805884
663,601018,2019-11-29,0.04972376,47685709036.0,1.0577021
696,603885,2019-11-29,0.07296137,27486695916.0,1.0015527
709,600180,2019-11-29,0.04804805,6769740150.0,1.2232857
721,600233,2019-11-29,0.01933924,35277250511.0,0.8571031
808,600350,2019-11-29,0.03151261,22901149684.0,1.3993049
844,600897,2019-11-29,0.08499271,6131907900.0,1.115008
854,601006,2019-11-29,0.03530895,117893656595.0,0.7071644
856,601008,2019-11-29,0.04594595,4047156940.0,1.0830483
869,601919,2019-11-29,0.11416489999999999,57987573589.0,1.0890301
879,603535,2019-11-29,0.0443804,2609440000.0,1.2938025
945,601107,2019-11-29,0.0878553,11834692200.0,0.75282145
947,601111,2019-11-29,0.14674556,122734688440.0,0.36311942
965,603056,2019-11-29,0.02490775,10406400000.0,0.949034
992,603871,2019-11-29,0.1016158,4366880000.0,1.2844964
1028,600269,2019-11-29,0.0248139,9411690210.0,1.389193
1125,600279,2019-11-29,0.13022113,2820341502.0,1.1694231
1141,600650,2019-11-29,0.04855372,5339585768.0,1.1757795
1151,600717,2019-11-29,0.0096463,12500476438.0,1.1212273
1190,603813,2019-11-29,0.09785756,1549153540.0,1.234808
1200,600026,2019-11-29,0.10956522,23184189175.0,1.2538915
1209,600057,2019-11-29,0.05329949,8500369154.0,1.1724567
1231,600662,2019-11-29,0.01793722,4697995412.0,1.1507677
