methodID,pairName,date,premium,HighBond,LowBond,meanLine,asiaPos,usPos,asiaOP,asiaCL,usOP,usCL,exOP,exCL,operation
signal1-model1,INFO-INFY,2020-10-21,-0.00835236427320485,0.0108255677609579,-0.0246786734686391,-0.00692655285384063,1174.9,-15.18,1148.35,1142,15.34,15.5,73.89,73.68,
signal1-model1,INFO-INFY,2020-10-22,-0.0109314136125654,0.0103426299940964,-0.0250836984916057,-0.00737053424875461,1174.9,-15.18,1129.05,1146,15.35,15.28,73.86,73.89,
signal1-model1,INFO-INFY,2020-10-23,-7.49261756798347e-05,0.0108821406082834,-0.0235653210127007,-0.00634159020220866,1174.9,-15.18,1122.5,1134.45,15.22,15.15,74.06,73.9,
signal1-model1,INFO-INFY,2020-10-26,0.00335236396074934,0.0118115017647721,-0.0230594457731145,-0.00562397200417119,1174.9,-15.18,1112.45,1121,14.92,15.02,74.16,73.9,
signal1-model1,INFO-INFY,2020-10-27,-0.000481300813008123,0.0122923354390318,-0.0226134389982232,-0.00516055177959566,1174.9,-15.18,1090.85,1107,14.85,14.8,74.02,74.16,
signal1-model1,INFO-INFY,2020-10-28,0.0177749999999999,0.0148675855916153,-0.0212680867117822,-0.00320025056008347,1080,-14.5,1076.55,1080,14.38,14.5,74.45,74.02,超上限\开盘平\收盘加仓美股
signal1-model1,INFO-INFY,2020-10-29,0.00980098094699122,0.0159730392710098,-0.0211999874659858,-0.00261347409748798,1080,-14.5,1074.85,1060.2,14.28,14.46,74.53,74.45,
signal1-model1,INFO-INFY,2020-10-30,-0.00533794392523368,0.0160508779990975,-0.0208523417310217,-0.00240073186596209,1080,-14.5,1060.6,1070,14.27,14.23,74.7,74.53,
signal1-model1,INFO-INFY,2020-11-02,0.00251774647887326,0.0164191064851649,-0.0194190775840136,-0.00149998554942437,1080,-14.5,1072.3,1065,14.25,14.36,74.69,74.82,
signal1-model1,INFO-INFY,2020-11-03,-0.0117618384401115,0.0157665806915689,-0.017670275716015,-0.000951847512223042,1080,-14.5,1062.55,1077,14.3,14.23,74.85,74.69,
signal1-model1,INFO-INFY,2020-11-04,0.00220505617977529,0.0156593244029315,-0.0155256318111227,6.68462959043936e-05,1080,-14.5,1093.95,1068,14.68,14.66,74.42,74.85,
