methodID,pairName,date,premium,HighBond,LowBond,meanLine,asiaPos,usPos,asiaOP,asiaCL,usOP,usCL,exOP,exCL,operation
signal1-model1,INFO-INFY,2020-10-22,0.0171037462649657,0.0152897114533346,-0.0251350392058456,-0.00492266387625549,0,0,15.35,15.28,1129.05,1146,0.0135391280801516,0.0135336310732169,超上限\开盘平\收盘平
signal1-model1,INFO-INFY,2020-10-23,0.00845402537547368,0.0164311613729651,-0.0233920837694159,-0.00348046119822538,0,0,15.22,15.15,1122.5,1134.45,0.0135025654874426,0.013531799729364,
signal1-model1,INFO-INFY,2020-10-26,0.0112813046745071,0.017551619096501,-0.0234256361801251,-0.00293700854181203,0,0,14.92,15.02,1112.45,1121,0.0134843581445523,0.013531799729364,
signal1-model1,INFO-INFY,2020-10-27,0.0135590687775153,0.0188460888442356,-0.0235213736503121,-0.00233764240303825,0,0,14.85,14.8,1090.85,1107,0.0135098621994056,0.0134843581445523,
signal1-model1,INFO-INFY,2020-10-28,0.0163609089807972,0.020253255807963,-0.0237391738287285,-0.00174295901038276,0,0,14.38,14.5,1076.55,1080,0.0134318334452653,0.0135098621994056,
signal1-model1,INFO-INFY,2020-10-29,2.7866874365845e-06,0.0205536208298438,-0.0228061169145277,-0.00112624804234197,0,0,14.28,14.46,1074.85,1060.2,0.0134174158057158,0.0134318334452653,
signal1-model1,INFO-INFY,2020-10-30,0.0134721980866934,0.0207483748018119,-0.0228451583296276,-0.00104839176390787,0,0,14.27,14.23,1060.6,1070,0.0133868808567604,0.0134174158057158,
signal1-model1,INFO-INFY,2020-11-02,-0.0128583437762234,0.0203762540769419,-0.0215758421237174,-0.000599794023387756,0,0,14.25,14.36,1072.3,1065,0.0133886731824876,0.0133654103180968,
signal1-model1,INFO-INFY,2020-11-03,0.00890191522006112,0.020082599089029,-0.0215451434279953,-0.000731272169483155,0,0,14.3,14.23,1062.55,1077,0.0133600534402138,0.0133886731824876,
signal1-model1,INFO-INFY,2020-11-04,-0.0316695236767304,0.0210013043596961,-0.0255185332160216,-0.00225861442816276,-14.66,1068,14.68,14.66,1093.95,1068,0.013437248051599,0.0133600534402138,跌下限\收盘加仓美股
signal1-model1,INFO-INFY,2020-11-05,-0.0151621545707927,0.0207053878153839,-0.0244413145807248,-0.00186796338267045,-14.66,1068,15.01,14.93,1104,1112,0.0134879956838414,0.0134408602150538,
signal1-model1,INFO-INFY,2020-11-06,-0.0120279334783374,0.020627968512147,-0.0249537818613561,-0.00216290667460456,-14.66,1068,14.93,15.07,1112.75,1108,0.0134770889487871,0.0134861766689144,
signal1-model1,INFO-INFY,2020-11-09,-0.0248606849942907,0.0210069589485429,-0.0262546558520443,-0.0026238484517507,-14.66,1068,14.83,15.35,1136.55,1125,0.0134807225667296,0.0134517083669626,
signal1-model1,INFO-INFY,2020-11-10,0.0537493282817401,0.0306321547201221,-0.0290831749625552,0.000774489878783452,14.54,-1162.3,14.54,14.54,1091.05,1162.3,0.0134246207544637,0.0134807225667296,超上限\开盘平\收盘加仓美股
signal1-model1,INFO-INFY,2020-11-11,-0.0138069735385172,0.03056237912826,-0.0285979284551885,0.00098222533653578,14.54,-1162.3,15.09,14.85,1122.5,1098,0.0133976420150054,0.0134228187919463,
signal1-model1,INFO-INFY,2020-11-12,0.0132640552587726,0.0298970657800132,-0.028526451478943,0.000685307150535108,14.54,-1162.3,14.95,14.84,1117.75,1128.1,0.0133582687683676,0.0133958472873409,
signal1-model1,INFO-INFY,2020-11-13,-0.00511660674224301,0.0296204597144541,-0.0263754883029704,0.00162248570574185,14.54,-1162.3,15.29,15.01,1124.2,1117.75,0.0133797163500134,0.0133600534402138,
signal1-model1,INFO-INFY,2020-11-16,-0.0163855537643463,0.029562470447663,-0.0276667915743149,0.000947839436674064,14.54,-1162.3,15.46,15.29,1133.45,1137,0.0134048257372654,0.0133779264214047,
signal1-model1,INFO-INFY,2020-11-17,0.00235730171021098,0.0297387794635601,-0.0274744272228702,0.00113217612034491,14.54,-1162.3,15.28,15.16,1123.7,1144.75,0.0133886731824876,0.0134066228716986,
signal1-model1,INFO-INFY,2020-11-18,-0.00759551087326293,0.0296599009654363,-0.0277575655750934,0.000951167695171484,14.54,-1162.3,14.99,15.16,1110.55,1129,0.0134354426978369,0.0133886731824876,
signal1-model1,INFO-INFY,2020-11-19,-0.000620838038663085,0.0282025841944897,-0.0280727072345096,6.49384799900454e-05,14.54,-1162.3,14.83,14.93,1096.75,1100,0.013457139012246,0.0134354426978369,
signal1-model1,INFO-INFY,2020-11-20,-0.0147451794605611,0.0272982998250727,-0.0294883433486961,-0.00109502176181169,14.54,-1162.3,14.91,14.98,1103.35,1105.5,0.0134553283100108,0.013457139012246,
signal1-model1,INFO-INFY,2020-11-23,-0.0296773535391911,0.026434952014474,-0.0327208613594672,-0.0031429546724966,14.54,-1162.3,15.38,15.3,1139.85,1105,0.013430029546065,0.0134553283100108,
signal1-model1,INFO-INFY,2020-11-24,-0.0137781214050077,0.024658446018209,-0.0336780743814545,-0.00450981418162275,14.54,-1162.3,15.53,15.52,1140.05,1144,0.0134807225667296,0.0134282261313281,
signal1-model1,INFO-INFY,2020-11-25,0.0137663431530377,0.0243211138948444,-0.0336001988408659,-0.00463954247301073,14.54,-1162.3,15.1,15.16,1115.65,1139,0.0135080372821829,0.0134807225667296,
signal1-model1,INFO-INFY,2020-11-26,-0.00592072599819571,0.0239806115560455,-0.0338520477706301,-0.00493571810729234,14.54,-1162.3,15.1,15.16,1113.2,1118,0.0135025654874426,0.0135080372821829,
signal1-model1,INFO-INFY,2020-11-27,0.00207039337474124,0.0227973718459031,-0.033808988531683,-0.00550580834288995,14.54,-1162.3,14.92,15,1100,1115,0.0134807225667296,0.0135025654874426,
signal1-model1,INFO-INFY,2020-11-30,-0.00625014454543349,0.023011038788907,-0.033361835551608,-0.00517539838135045,14.54,-1162.3,15.22,14.91,1100,1115,0.0134661998384056,0.0134698275862069,
signal1-model1,INFO-INFY,2020-12-01,-0.0437172484024427,0.022698151279337,-0.0383108644042883,-0.00780635656247565,0,0,15.38,15.49,1137.85,1105.55,0.0135740464232388,0.0134661998384056,跌下限\开盘平\收盘平
