methodID,pairName,date,premium,HighBond,LowBond,meanLine,asiaPos,usPos,operation
signal1-model1,INFO-INFY,2020-10-06,-0.0227245991841381,0.0092710960237966,-0.0237074232137842,-0.00721816359499381,-985,13.47,
signal1-model1,INFO-INFY,2020-10-07,-0.0181688199827734,0.00799934944344339,-0.0246369008776976,-0.00831877571712713,-985,13.47,
signal1-model1,INFO-INFY,2020-10-08,-0.0178490358126722,0.00669708158644606,-0.0253594126571016,-0.00933116553532778,-985,13.47,
signal1-model1,INFO-INFY,2020-10-09,-0.0100564149226569,0.006492759047758,-0.02547996237991,-0.00949360166607601,-985,13.47,
signal1-model1,INFO-INFY,2020-10-12,-0.00589285714285726,0.00678040279824477,-0.0253460019026077,-0.00928279955218148,-985,13.47,
signal1-model1,INFO-INFY,2020-10-13,0.00794140969162993,0.00908351538902367,-0.0263813849586289,-0.00864893478480263,-985,13.47,
signal1-model1,INFO-INFY,2020-10-14,-0.00607813170773586,0.00907543119484526,-0.0263832633877697,-0.00865391609646219,-985,13.47,
signal1-model1,INFO-INFY,2020-10-15,0.0233180696229465,0.0143580409290431,-0.0298143475667081,-0.00772815331883246,1174.9,-15.18,超上限\开盘平\收盘加仓美股
signal1-model1,INFO-INFY,2020-10-16,0.00973992805755386,0.0165320477435444,-0.0303285699518504,-0.006898261104153,1174.9,-15.18,
signal1-model1,INFO-INFY,2020-10-19,0.00659024347212434,0.0178478938428044,-0.030520891703898,-0.00633649893054679,1174.9,-15.18,
signal1-model1,INFO-INFY,2020-10-20,-0.00508764566683018,0.0179025071425332,-0.0304787569020596,-0.0062881248797632,1174.9,-15.18,
signal1-model1,INFO-INFY,2020-10-21,-0.00835236427320485,0.016742941299224,-0.0305960470069053,-0.00692655285384063,1174.9,-15.18,
signal1-model1,INFO-INFY,2020-10-22,-0.0109314136125654,0.0162470180750468,-0.030988086572556,-0.00737053424875461,1174.9,-15.18,
signal1-model1,INFO-INFY,2020-10-23,-7.49261756798347e-05,0.0166233842117807,-0.029306564616198,-0.00634159020220866,1174.9,-15.18,
