sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
signal1-model1INFO-INFY-,19.29,-8.55,1.22,40.10,18.59,3,2,8.50,2.12,189,0.54,17.02,31.58,2.27,75.92
signal1-model12330-TSM-,11.59,-4.02,-0.16,37.18,11.67,3,2,6.13,1.82,177,0.39,9.65,23.12,1.89,71.38
signal1-model1ICICIBC-IBN-,36.87,-6.87,12.38,86.24,36.93,3,2,11.88,2.70,60,0.76,33.64,59.59,3.10,77.27
signal1-model1TTMT-TTM-,28.11,-6.91,-1.98,83.06,28.97,2,2,11.54,2.20,248,0.74,24.52,58.43,2.43,71.18
signal1-model1HDFCB-HDB-,13.47,-7.37,-5.28,33.65,13.24,3,3,8.05,1.61,285,0.52,13.10,25.59,1.67,61.86
signal1-model12303-UMC-,21.86,-6.60,0.01,48.69,22.90,3,2,8.62,2.34,183,0.55,22.50,33.11,2.54,72.09
signal1-model2INFO-INFY-,26.62,-3.25,7.86,50.42,26.34,2,1,8.99,2.67,138,0.58,24.68,41.31,2.96,93.75
signal1-model22330-TSM-,16.16,-1.42,3.30,41.76,16.58,3,1,6.04,2.51,55,0.39,14.36,29.58,2.68,93.83
signal1-model2ICICIBC-IBN-,43.34,-0.99,14.45,97.75,44.06,2,1,11.83,3.10,13,0.76,42.61,62.17,3.66,98.31
signal1-model2TTMT-TTM-,37.43,-3.79,0.39,112.99,38.08,2,1,12.00,2.71,114,0.77,33.00,73.36,3.12,93.59
signal1-model2HDFCB-HDB-,17.21,-5.25,-4.56,41.20,17.47,3,1,7.36,2.19,277,0.47,19.89,35.23,2.34,89.51
signal1-model22303-UMC-,28.05,-1.47,11.07,55.88,27.55,2,1,8.14,3.08,50,0.52,26.54,36.55,3.45,97.22
signal2-model1INFO-INFY-,22.94,-3.61,4.74,50.58,22.84,3,2,8.22,2.55,130,0.53,21.89,36.93,2.79,81.10
signal2-model12330-TSM-,13.73,-2.87,-0.35,41.95,13.73,3,2,5.41,2.41,121,0.35,11.60,24.31,2.54,75.94
signal2-model1ICICIBC-IBN-,33.63,-3.64,7.85,85.54,33.28,4,2,10.16,2.91,59,0.65,31.57,50.90,3.31,84.00
signal2-model1TTMT-TTM-,35.48,-5.97,5.99,97.04,36.26,3,2,11.02,2.81,123,0.71,29.96,62.53,3.22,82.66
signal2-model1HDFCB-HDB-,13.44,-3.87,-3.03,29.70,13.27,3,3,6.76,1.90,327,0.43,13.65,24.72,1.99,67.85
signal2-model12303-UMC-,20.86,-3.86,2.25,44.87,20.88,3,2,7.84,2.46,146,0.50,20.39,31.79,2.66,77.96
signal2-model2INFO-INFY-,26.90,-3.31,7.79,50.35,27.04,3,2,8.21,2.94,98,0.53,25.34,41.08,3.28,94.92
signal2-model22330-TSM-,16.19,-1.79,0.73,45.40,16.68,3,1,5.54,2.74,115,0.35,14.59,31.94,2.92,86.82
signal2-model2ICICIBC-IBN-,38.36,-1.28,9.15,98.55,38.73,4,1,10.40,3.18,21,0.67,36.41,57.16,3.69,96.36
signal2-model2TTMT-TTM-,39.76,-3.79,3.79,105.82,41.09,3,1,11.25,3.03,54,0.72,36.15,69.38,3.53,93.63
signal2-model2HDFCB-HDB-,16.57,-5.77,-5.77,41.60,16.52,3,2,6.84,2.28,311,0.44,18.12,29.36,2.42,83.52
signal2-model22303-UMC-,24.46,-2.44,9.26,45.84,24.20,3,1,7.47,2.97,70,0.48,23.62,36.47,3.27,89.57
