methodID,pairName,date,premium,HighBond,LowBond,meanLine,Hbond_price,Lbond_price,asiaPos,usPos,asiaOP,asiaCL,usOP,usCL,exOP,exCL,operation
signal1-model1,INFO-INFY,2020-11-12,-0.00144623703572355,0.0253253727337938,-0.033845509734721,-0.00426006850046357,1098.64490819781,1165.92999499563,0,0,1117.75,1128.1,14.95,14.84,74.86,74.65,
signal1-model1,INFO-INFY,2020-11-13,0.00112502795795111,0.0242808809090695,-0.0336625079199569,-0.0046908135054437,1092.48109659809,1157.98828998276,0,0,1124.2,1117.75,15.29,15.01,74.74,74.85,
signal1-model1,INFO-INFY,2020-11-16,0.00521328056288484,0.0241055045656449,-0.0336248278674562,-0.00475966165090568,1116.02515063597,1182.69543026219,0,0,1133.45,1137,15.46,15.29,74.6,74.75,
signal1-model1,INFO-INFY,2020-11-17,0.00734780519764167,0.0252289049091627,-0.0335046831245269,-0.00413788910768209,1124.78432326503,1193.13707978223,0,0,1123.7,1144.75,15.28,15.16,74.69,74.59,
signal1-model1,INFO-INFY,2020-11-18,0.0108620017714791,0.0268586539053449,-0.0332129955162407,-0.00317717080544789,1111.41216530586,1180.4701497921,0,0,1110.55,1129,14.99,15.16,74.43,74.69,
signal1-model1,INFO-INFY,2020-11-19,0.0142779090909093,0.0288557785057579,-0.0326891878463062,-0.00191670467027415,1084.41408728867,1153.40972723742,0,0,1096.75,1100,14.83,14.93,74.31,74.43,
signal1-model1,INFO-INFY,2020-11-20,-0.00315033921302577,0.0286939914392496,-0.0328349420835325,-0.00207047532214145,1071.27805661445,1139.43043225118,0,0,1103.35,1105.5,14.91,14.98,74.32,74.31,
signal1-model1,INFO-INFY,2020-11-23,0.00281556561085949,0.028648162046156,-0.0328427925254279,-0.00209731523963594,1077.2499683427,1145.74051812475,0,0,1139.85,1105,15.38,15.3,74.46,74.32,
signal1-model1,INFO-INFY,2020-11-24,0.00117884615384622,0.0287584917888223,-0.0327871075714087,-0.00201430789129322,1113.3308829446,1184.17424846781,0,0,1140.05,1144,15.53,15.52,74.18,74.47,
signal1-model1,INFO-INFY,2020-11-25,0.011427041264267,0.0277037925802482,-0.0323672042364079,-0.00233170582807987,1120.96054166312,1190.55018085751,0,0,1115.65,1139,15.1,15.16,74.03,74.18,
signal1-model1,INFO-INFY,2020-11-26,-0.000131484794275383,0.0266864458555291,-0.0323431040858155,-0.0028283291151432,1088.79688098785,1155.21628039856,0,0,1113.2,1118,15.1,15.16,74.06,74.03,
