sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
signal1-model1INFO-INFY-,19.27,-8.55,1.22,40.10,18.60,3,2,8.50,2.12,189,0.54,17.08,31.58,2.27,75.92
signal1-model12330-TSM-,11.57,-4.02,-0.16,37.18,11.70,3,2,6.13,1.82,177,0.39,9.65,23.29,1.89,71.38
signal1-model1ICICIBC-IBN-,36.84,-6.87,12.38,86.53,36.98,3,2,11.88,2.70,60,0.76,33.64,59.59,3.10,77.35
signal1-model1TTMT-TTM-,28.07,-6.91,-1.98,83.06,29.01,2,2,11.54,2.20,248,0.74,24.53,58.43,2.43,71.18
signal1-model1HDFCB-HDB-,13.50,-7.37,-5.28,33.65,13.26,3,3,8.05,1.61,285,0.52,13.11,25.65,1.68,61.95
signal1-model12303-UMC-,22.03,-6.60,0.01,48.69,22.90,3,2,8.63,2.35,183,0.55,22.46,33.11,2.55,72.17
signal1-model2INFO-INFY-,26.59,-3.25,7.86,50.42,26.36,2,1,8.99,2.67,138,0.58,24.68,41.31,2.96,93.75
signal1-model22330-TSM-,16.14,-1.42,3.30,41.76,16.60,3,1,6.03,2.51,55,0.39,14.36,29.58,2.68,93.83
signal1-model2ICICIBC-IBN-,43.31,-0.99,14.45,97.75,44.11,2,1,11.83,3.10,13,0.76,42.67,62.17,3.66,98.32
signal1-model2TTMT-TTM-,37.39,-3.79,0.39,112.99,38.16,2,1,12.00,2.71,114,0.77,33.00,74.27,3.12,93.59
signal1-model2HDFCB-HDB-,17.19,-5.25,-4.56,41.20,17.49,3,1,7.36,2.19,277,0.47,19.89,35.23,2.34,89.51
signal1-model22303-UMC-,28.22,-1.47,11.07,55.88,27.57,2,1,8.15,3.09,50,0.52,26.54,36.73,3.46,97.24
signal2-model1INFO-INFY-,22.92,-3.61,4.74,50.58,22.87,3,2,8.22,2.55,130,0.53,21.89,36.93,2.79,81.10
signal2-model12330-TSM-,13.72,-2.87,-0.35,41.95,13.76,3,2,5.41,2.40,121,0.35,11.60,24.39,2.54,75.94
signal2-model1ICICIBC-IBN-,33.61,-3.64,7.85,85.83,33.34,4,2,10.15,2.91,59,0.65,31.57,50.99,3.31,84.05
signal2-model1TTMT-TTM-,35.44,-5.97,5.99,97.04,36.31,3,2,11.02,2.81,123,0.71,29.96,62.53,3.22,82.66
signal2-model1HDFCB-HDB-,13.46,-3.87,-3.03,29.70,13.28,3,3,6.75,1.90,327,0.43,13.65,24.76,1.99,67.92
signal2-model12303-UMC-,21.03,-3.86,2.25,44.87,20.90,3,2,7.85,2.47,146,0.50,20.39,31.79,2.68,78.02
signal2-model2INFO-INFY-,26.87,-3.31,7.79,50.35,27.07,3,2,8.21,2.94,98,0.53,25.39,41.33,3.27,94.92
signal2-model22330-TSM-,16.17,-1.79,0.73,45.40,16.71,3,1,5.54,2.73,115,0.35,14.59,32.90,2.92,86.82
signal2-model2ICICIBC-IBN-,38.33,-1.28,9.15,98.55,38.78,4,1,10.39,3.18,21,0.67,36.42,57.24,3.69,96.37
signal2-model2TTMT-TTM-,39.71,-3.79,3.79,105.82,41.14,3,1,11.24,3.03,54,0.72,36.15,69.57,3.53,93.63
signal2-model2HDFCB-HDB-,16.55,-5.77,-5.77,41.60,16.54,3,2,6.84,2.27,311,0.44,18.13,29.37,2.42,83.52
signal2-model22303-UMC-,24.63,-2.44,9.26,46.36,24.23,3,1,7.49,2.98,70,0.48,23.62,36.47,3.29,89.61
