sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
signal1-model1INFO-INFY-,15.24,-8.11,-4.46,51.97,14.92,3,2,7.04,2.05,351,0.45,12.76,27.97,2.17,79.04
signal1-model12330-TSM-,0.29,-17.17,-13.81,11.23,0.96,6,3,4.72,0.09,181,0.30,1.59,5.86,0.06,55.93
signal1-model1ICICIBC-IBN-,15.64,-7.86,-4.93,34.66,14.37,3,2,6.97,2.12,172,0.45,13.67,25.08,2.24,76.07
signal1-model1TTMT-TTM-,19.89,-11.76,-2.02,63.34,19.86,3,2,8.36,2.21,141,0.54,16.06,39.14,2.38,77.38
signal1-model1HDFCB-HDB-,12.51,-5.32,-3.66,48.64,11.68,5,3,8.36,1.45,213,0.53,10.35,23.03,1.50,68.58
signal1-model12303-UMC-,5.10,-11.54,-11.54,23.05,3.81,7,3,6.71,0.78,840,0.43,2.99,11.27,0.76,54.41
signal1-model2INFO-INFY-,14.01,-13.05,-13.05,41.72,13.64,3,2,6.66,2.00,567,0.43,12.33,29.28,2.10,87.32
signal1-model22330-TSM-,3.80,-6.71,-6.21,16.87,4.08,6,2,3.81,1.00,514,0.24,4.67,9.21,1.00,73.20
signal1-model2ICICIBC-IBN-,19.09,-4.46,3.28,38.19,17.81,3,2,7.85,2.26,63,0.50,17.07,27.76,2.43,88.66
signal1-model2TTMT-TTM-,22.11,-6.14,-4.96,64.21,22.28,3,1,9.09,2.24,75,0.58,16.95,45.76,2.43,85.71
signal1-model2HDFCB-HDB-,13.49,-6.01,-4.61,35.79,11.94,5,1,8.17,1.59,156,0.52,11.36,22.70,1.65,86.93
signal1-model22303-UMC-,11.25,-5.90,-4.02,28.43,10.06,7,2,6.08,1.78,151,0.39,9.69,18.87,1.85,77.36
signal2-model1INFO-INFY-,14.19,-8.55,-5.37,41.54,14.11,3,2,6.53,2.07,287,0.42,13.23,23.78,2.17,78.68
signal2-model12330-TSM-,-0.39,-21.58,-16.32,11.28,0.26,6,4,4.29,-0.07,391,0.27,0.53,7.17,-0.09,58.63
signal2-model1ICICIBC-IBN-,13.30,-11.54,-8.69,26.49,12.50,3,3,7.54,1.69,290,0.48,12.41,22.38,1.76,75.08
signal2-model1TTMT-TTM-,17.93,-8.57,-2.77,45.90,17.86,3,2,8.87,1.90,125,0.57,16.13,34.16,2.02,77.54
signal2-model1HDFCB-HDB-,13.40,-4.47,-0.14,55.82,12.12,5,3,7.93,1.63,147,0.51,10.74,22.09,1.69,70.87
signal2-model12303-UMC-,2.80,-8.82,-6.85,12.74,2.24,7,3,6.05,0.49,724,0.39,2.37,6.54,0.46,55.35
signal2-model2INFO-INFY-,12.96,-10.31,-9.80,33.28,12.79,3,2,6.34,1.96,429,0.41,11.56,24.49,2.04,82.47
signal2-model22330-TSM-,1.85,-15.83,-12.33,11.97,2.44,6,2,3.90,0.49,412,0.25,2.72,8.96,0.47,67.39
signal2-model2ICICIBC-IBN-,14.97,-9.31,-4.96,30.44,14.29,3,2,7.74,1.84,168,0.50,13.89,25.00,1.93,79.71
signal2-model2TTMT-TTM-,17.82,-10.94,-9.95,45.51,17.90,3,2,9.08,1.85,157,0.58,16.98,36.55,1.96,80.38
signal2-model2HDFCB-HDB-,12.64,-7.30,-5.47,44.04,11.04,5,2,7.91,1.54,223,0.51,10.34,22.71,1.60,81.69
signal2-model22303-UMC-,6.50,-6.22,-3.28,18.82,5.68,7,2,5.53,1.17,339,0.35,5.21,10.48,1.17,66.53
