sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
signal1-model1INFO-INFY-,16.61,-8.11,-4.46,62.36,15.73,3,2,7.36,2.13,351,0.47,12.87,29.86,2.26,79.22
signal1-model12330-TSM-,0.27,-18.93,-15.28,11.23,0.63,6,3,4.73,0.08,181,0.30,1.49,5.86,0.06,56.28
signal1-model1ICICIBC-IBN-,16.02,-7.86,-4.93,39.74,14.81,3,2,7.04,2.15,172,0.45,13.76,25.57,2.28,76.38
signal1-model1TTMT-TTM-,20.65,-11.76,-2.02,63.34,20.23,3,2,8.46,2.26,141,0.54,16.15,39.14,2.44,77.64
signal1-model1HDFCB-HDB-,12.04,-5.68,-3.66,48.64,11.70,5,3,8.32,1.41,213,0.53,10.44,22.58,1.45,68.40
signal1-model12303-UMC-,4.18,-11.54,-11.54,22.79,4.10,7,3,6.77,0.64,840,0.43,3.20,12.49,0.62,53.47
signal1-model2INFO-INFY-,15.37,-13.05,-13.05,60.24,14.41,3,2,7.03,2.07,567,0.45,12.50,30.75,2.19,87.61
signal1-model22330-TSM-,3.04,-13.09,-13.09,16.87,3.81,6,2,4.34,0.71,514,0.28,4.51,9.21,0.70,72.73
signal1-model2ICICIBC-IBN-,19.40,-4.46,3.28,43.40,18.25,3,2,7.89,2.29,63,0.51,17.33,28.52,2.46,88.89
signal1-model2TTMT-TTM-,23.17,-6.14,-4.96,64.21,22.68,3,1,9.20,2.31,75,0.59,17.29,45.76,2.52,86.14
signal1-model2HDFCB-HDB-,13.20,-6.01,-4.61,35.79,12.19,5,1,8.10,1.57,156,0.52,11.70,22.88,1.63,86.52
signal1-model22303-UMC-,10.54,-8.06,-4.02,28.43,10.14,7,2,6.43,1.59,151,0.41,9.69,18.87,1.64,76.54
signal2-model1INFO-INFY-,15.57,-8.55,-5.37,47.99,14.61,3,2,6.89,2.14,287,0.44,13.46,25.15,2.26,78.87
signal2-model12330-TSM-,0.10,-21.43,-16.32,11.28,-0.03,6,4,4.34,0.05,391,0.28,0.50,7.16,0.02,59.71
signal2-model1ICICIBC-IBN-,13.72,-11.54,-8.69,26.49,12.53,3,3,7.60,1.73,290,0.49,12.53,22.30,1.81,75.37
signal2-model1TTMT-TTM-,18.73,-8.57,-2.77,45.90,17.94,3,2,8.95,1.96,125,0.57,16.43,33.80,2.09,77.78
signal2-model1HDFCB-HDB-,12.89,-5.01,-0.14,55.82,12.17,5,3,7.94,1.57,147,0.51,10.78,21.68,1.62,70.51
signal2-model12303-UMC-,2.66,-8.82,-6.85,14.06,2.43,7,3,6.19,0.45,724,0.40,2.41,7.07,0.43,55.24
signal2-model2INFO-INFY-,14.33,-10.31,-9.80,48.20,13.33,3,2,6.74,2.02,429,0.43,12.03,26.99,2.13,82.77
signal2-model22330-TSM-,2.37,-15.81,-12.33,11.97,2.17,6,2,3.93,0.62,412,0.25,2.67,8.95,0.60,68.53
signal2-model2ICICIBC-IBN-,15.37,-9.31,-4.96,30.44,14.28,3,2,7.79,1.88,168,0.50,13.76,24.81,1.97,80.00
signal2-model2TTMT-TTM-,18.93,-10.94,-9.95,45.51,18.02,3,2,9.19,1.93,157,0.59,17.31,36.01,2.06,80.83
signal2-model2HDFCB-HDB-,12.11,-7.30,-5.47,44.04,11.20,5,2,7.94,1.48,223,0.51,10.91,22.71,1.53,81.23
signal2-model22303-UMC-,6.27,-6.22,-3.28,18.82,5.80,7,2,5.70,1.10,339,0.36,5.48,10.53,1.10,66.02
