methodID,date,premium,HighBond,LowBond,meanLine,asiaPos,usPos,operation
signal1-model1,2020-08-06,3.89157803921569,3.97075099792566,3.74513495344197,3.85794297568382,0,0,
signal1-model1,2020-08-07,3.98605925925926,3.98322195002045,3.74238659393978,3.86280427198011,27,-4.47,超上限\收盘加仓美股
signal1-model1,2020-08-10,3.98615762376238,3.99695123576775,3.74284492685614,3.86989808131194,27,-4.47,
signal1-model1,2020-08-11,3.92082509803922,4.00131863857214,3.7515284549083,3.87642354674022,27,-4.47,
signal1-model1,2020-08-12,3.96485373737374,4.00514984314128,3.75097314079386,3.87806149196757,27,-4.47,
signal1-model1,2020-08-13,3.92628466257669,4.00620713867092,3.75110308075266,3.87865510971179,27,-4.47,
signal1-model1,2020-08-14,4.00134806866953,4.01984052952249,3.75357464602177,3.88670758777213,27,-4.47,
signal1-model1,2020-08-17,3.91190379746835,4.02224350777693,3.7559830747045,3.88911329124072,27,-4.47,
signal1-model1,2020-08-18,3.86697131147541,4.02220963324162,3.75590703561123,3.88905833442643,27,-4.47,
signal1-model1,2020-08-19,3.8,4.01991976380758,3.74744977461048,3.88368476920903,27,-4.47,
signal1-model1,2020-08-20,3.9624701754386,4.02167921825641,3.76969593230011,3.89568757527826,27,-4.47,
signal1-model1,2020-08-21,3.78278040089087,4.01196864773594,3.75858413886926,3.8852763933026,27,-4.47,
signal1-model1,2020-08-24,3.91244965831435,4.01338079208785,3.77016154571465,3.89177116890125,27,-4.47,
signal1-model1,2020-08-25,3.88068703296703,4.00778524984457,3.79012805540558,3.89895665262507,27,-4.47,
signal1-model1,2020-08-26,3.96700363636364,4.0133303938462,3.79996030206734,3.90664534795677,27,-4.47,
signal1-model1,2020-08-27,3.89602133333333,4.00818915114041,3.81778022677903,3.91298468895972,27,-4.47,
signal1-model1,2020-08-28,3.91042201834862,4.00849547205364,3.81820231774632,3.91334889489998,27,-4.47,
signal1-model1,2020-08-31,3.80851809954751,4.0083064120354,3.81862140994153,3.91346391098846,0,0,跌下限\开盘平\收盘平
signal1-model1,2020-09-01,3.86099203747073,4.00737829282942,3.81444837575172,3.91091333429057,0,0,
signal1-model1,2020-09-02,3.8399619047619,3.99979788412878,3.8079309053989,3.90386439476384,0,0,
signal1-model1,2020-09-03,3.84881090909091,3.99936542151922,3.80408665499599,3.9017260382576,0,0,
signal1-model1,2020-09-04,3.87782775119617,3.98953195989762,3.80309696581128,3.89631446285445,0,0,
signal1-model1,2020-09-07,3.5046686825054,4.02884501363063,3.71563501795257,3.8722400157916,-23.15,3.52,跌下限\收盘加仓美股
