methodID,pairName,date,premium,HighBond,LowBond,meanLine,Hbond_price,Lbond_price,asiaPos,usPos,asiaOP,asiaCL,usOP,usCL,exOP,exCL,operation
signal1-model1,INFO-INFY,2021-02-24,-0.00120000000000009,0.0455536872335611,-0.033664571305861,0.00594455796385005,1207.47811940716,1306.46477663151,0,0,1274.3,1264,17.68,17.49,72.6,72.64,
signal1-model1,INFO-INFY,2021-02-25,-0.0268627748294162,0.0458793070039268,-0.035061388858765,0.00540895907258089,1227.26206686025,1330.20690143378,0,0,1274.55,1319,17.39,17.55,73.57,72.6,
signal1-model1,INFO-INFY,2021-02-26,0.0144166666666665,0.0465935302045269,-0.0345259156010076,0.00603380730175968,1222.42519476494,1325.13375622756,0,0,1253.3,1261.2,17.12,17.2,74.3,73.57,
signal1-model1,INFO-INFY,2021-03-01,0.00608628195994632,0.0469951329636968,-0.0335125980293513,0.00674126746717273,1213.93954946309,1315.0598729052,0,0,1267,1263.3,17.66,17.42,73.82,74.24,
signal1-model1,INFO-INFY,2021-03-02,0.0184853124999997,0.0481131068106787,-0.0323968791596614,0.00785811382550866,1243.8172860627,1347.30983387879,0,0,1304.5,1280,18.02,17.92,73.74,73.82,
signal1-model1,INFO-INFY,2021-03-03,0.00960741556813427,0.0485612131152347,-0.031591993907404,0.00848460960391537,1267.2553432071,1372.1435506936,0,0,1343.55,1316.15,18.46,18.41,73.39,73.74,
signal1-model1,INFO-INFY,2021-03-04,-0.00708190476190473,0.0175393843282065,-0.0126830208233481,0.0024281817524292,1331.97124442983,1372.74373740665,0,0,1330.35,1365,18.17,18.29,73.54,73.42,
signal1-model1,INFO-INFY,2021-03-05,0.0031695195195196,0.0176319580487737,-0.0125821262622589,0.00252491589325744,1313.06980822624,1353.2485440454,0,0,1316.7,1332,18.28,18.25,73.63,73.54,
signal1-model1,INFO-INFY,2021-03-08,0.0148808696965124,0.0182998547992842,-0.0127099078520452,0.00279497347361947,1320.15259912315,1361.61722951692,0,0,1335.75,1324.6,17.98,18.29,73.92,73.54,
signal1-model1,INFO-INFY,2021-03-09,6.13995485327923e-05,0.0180748141277169,-0.0129542517011492,0.00256028121328387,1305.485197705,1346.52482145903,0,0,1345.55,1329,18.6,18.44,73.3,73.92,
signal1-model1,INFO-INFY,2021-03-10,0.00345528156054487,0.018076282869047,-0.011567940061816,0.0032541714036155,1338.99003732645,1379.14790024643,0,0,1368.15,1358.5,18.68,18.79,73.17,73.29,
signal1-model1,INFO-INFY,2021-03-11,0.00625866764814131,0.0183485843474868,-0.0106121991732661,0.00386819258711036,1342.37177820198,1381.66490314286,0,0,1368.15,1358.5,19.08,18.91,73.11,73.18,
signal1-model1,INFO-INFY,2021-03-12,0.0159787327021121,0.0196316736518876,-0.0102445544440735,0.00469355960390709,1368.08107873299,1409.37724188675,0,0,1374.85,1373,18.91,18.8,73.13,73.11,
signal1-model1,INFO-INFY,2021-03-15,0.0105117518248175,0.0201862062509317,-0.00961204064851454,0.00528708280120857,1357.00825155,1397.8371676757,0,0,1373.6,1370,19.15,18.91,72.98,73.21,
signal1-model1,INFO-INFY,2021-03-16,0.0108406887570538,0.0206839060407973,-0.00926328952310099,0.00571030825884816,1368.87041299557,1410.24753118056,0,0,1384,1382.2,19.33,19.22,72.95,72.96,
signal1-model1,INFO-INFY,2021-03-17,0.0140259525521207,0.021303679725885,-0.00915642114578503,0.00607362929004999,1381.08784683766,1423.54467456011,0,0,1387,1391,19.1,19.19,72.73,72.97,
signal1-model1,INFO-INFY,2021-03-18,-0.000389214031812135,0.021139416390827,-0.00962809647620907,0.00575565995730894,1363.19093911779,1405.54068128061,0,0,1337.1,1392.55,18.38,18.67,73.07,72.88,
signal1-model1,INFO-INFY,2021-03-19,0.00656314606741581,0.0213297018181024,-0.00923259888379994,0.00604855146715124,1315.69834658478,1356.28382452442,0,0,1344.45,1335,18.75,18.56,72.91,73.11,
signal1-model1,INFO-INFY,2021-03-22,0.013611111111111,0.0215806628837394,-0.00922746043925393,0.00617660122224274,1339.46838435383,1381.11922299205,0,0,1370.8,1350,19.07,18.96,72.88,72.98,
