sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
signal1-model1INFO-INFY-,16.61,-8.11,-4.46,62.36,16.08,3,2,7.34,2.13,351,0.47,12.99,29.90,2.26,79.18
signal1-model12330-TSM-,0.18,-20.38,-15.28,11.23,0.43,6,5,4.87,0.06,181,0.31,1.42,5.79,0.04,55.70
signal1-model1ICICIBC-IBN-,16.29,-7.86,-4.93,39.92,15.16,3,2,7.08,2.17,172,0.45,14.04,25.93,2.30,76.60
signal1-model1TTMT-TTM-,19.74,-11.76,-2.02,63.34,20.38,3,2,8.67,2.12,141,0.56,16.22,39.14,2.28,77.12
signal1-model1HDFCB-HDB-,12.57,-5.68,-3.66,48.64,11.76,5,3,8.44,1.44,213,0.54,10.57,21.99,1.49,68.60
signal1-model12303-UMC-,4.75,-11.54,-11.54,22.79,4.18,7,3,6.98,0.70,840,0.45,3.30,12.35,0.68,54.47
signal1-model2INFO-INFY-,15.09,-13.05,-13.05,60.24,14.73,3,2,6.97,2.05,567,0.45,12.73,31.04,2.16,87.61
signal1-model22330-TSM-,3.05,-13.32,-13.09,16.87,3.58,6,2,4.31,0.72,514,0.28,4.46,9.21,0.71,72.33
signal1-model2ICICIBC-IBN-,19.63,-4.46,3.28,43.59,18.61,3,2,7.91,2.31,63,0.51,17.48,29.67,2.48,89.05
signal1-model2TTMT-TTM-,22.26,-9.03,-4.96,64.21,22.92,3,1,9.38,2.19,75,0.60,17.62,45.76,2.37,85.02
signal1-model2HDFCB-HDB-,13.75,-6.01,-4.61,35.79,12.50,5,1,8.40,1.58,156,0.54,11.83,23.26,1.64,86.67
signal1-model22303-UMC-,10.90,-8.06,-4.02,28.43,10.16,7,2,6.49,1.63,151,0.42,9.89,18.87,1.68,77.11
signal2-model1INFO-INFY-,15.58,-8.55,-5.37,47.99,14.87,3,2,6.87,2.14,287,0.44,13.59,25.96,2.27,78.83
signal2-model12330-TSM-,-0.04,-21.43,-16.32,11.28,-0.08,6,5,4.47,0.01,391,0.29,0.24,7.11,-0.01,59.09
signal2-model1ICICIBC-IBN-,13.82,-11.54,-8.69,32.40,12.77,3,3,7.65,1.73,290,0.49,12.55,22.64,1.81,75.37
signal2-model1TTMT-TTM-,17.98,-9.01,-2.77,45.90,18.08,3,2,9.14,1.85,125,0.59,16.83,33.72,1.97,77.36
signal2-model1HDFCB-HDB-,13.07,-5.01,-0.14,55.82,12.27,5,3,8.05,1.57,147,0.52,10.92,20.21,1.62,70.54
signal2-model12303-UMC-,3.16,-8.82,-6.85,14.06,2.52,7,3,6.29,0.53,724,0.40,2.48,7.11,0.50,56.20
signal2-model2INFO-INFY-,14.07,-10.31,-9.80,48.20,13.62,3,2,6.68,2.01,429,0.43,12.20,27.04,2.11,82.77
signal2-model22330-TSM-,2.31,-15.81,-12.33,11.97,2.17,6,2,3.89,0.61,412,0.25,2.67,8.95,0.59,68.04
signal2-model2ICICIBC-IBN-,15.44,-9.31,-4.96,31.73,14.49,3,2,7.83,1.87,168,0.50,13.92,25.05,1.97,79.93
signal2-model2TTMT-TTM-,18.17,-10.94,-9.95,45.51,18.23,3,2,9.38,1.83,157,0.60,17.98,36.29,1.94,80.22
signal2-model2HDFCB-HDB-,12.30,-7.30,-5.47,44.04,11.36,5,2,8.05,1.48,223,0.52,11.00,22.39,1.53,81.14
signal2-model22303-UMC-,6.78,-6.22,-3.28,18.82,5.85,7,2,5.72,1.18,339,0.37,5.51,10.53,1.19,67.41
