sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
signal1-model1INFO-INFY-,8.35,-6.62,-6.62,25.09,7.32,3,2,5.72,1.43,351,0.37,7.71,13.98,1.46,81.53
signal1-model12330-TSM-,0.14,-13.77,-9.46,6.19,0.10,3,3,3.87,0.06,470,0.25,0.48,4.52,0.04,62.77
signal1-model1ICICIBC-IBN-,8.76,-3.88,-0.67,22.66,8.22,2,2,5.20,1.64,266,0.33,8.06,14.58,1.69,84.06
signal1-model1TTMT-TTM-,12.79,-12.02,-3.50,31.16,12.36,2,3,6.83,1.80,290,0.44,10.50,21.72,1.87,85.29
signal1-model1HDFCB-HDB-,6.63,-4.82,-1.31,18.20,6.02,3,2,6.05,1.09,251,0.39,5.23,12.09,1.10,69.75
signal1-model12303-UMC-,3.61,-10.61,-5.29,24.29,3.81,3,2,6.37,0.59,470,0.41,2.35,10.38,0.57,58.04
signal1-model2INFO-INFY-,9.58,-6.52,-6.52,24.06,8.79,3,1,5.47,1.70,439,0.35,10.32,15.03,1.75,93.10
signal1-model22330-TSM-,1.64,-6.08,-5.91,7.69,1.51,3,1,3.17,0.53,514,0.20,1.62,5.18,0.52,75.00
signal1-model2ICICIBC-IBN-,8.70,-3.63,-2.18,28.56,8.43,2,1,5.49,1.55,168,0.35,7.41,15.72,1.59,88.89
signal1-model2TTMT-TTM-,15.52,-6.07,-6.07,39.05,15.04,2,1,7.32,2.01,123,0.47,13.31,25.43,2.12,95.24
signal1-model2HDFCB-HDB-,11.32,-4.77,-2.81,31.06,9.92,2,1,8.85,1.25,194,0.57,8.75,20.04,1.28,86.90
signal1-model22303-UMC-,8.22,-5.30,0.04,24.92,7.77,3,1,6.63,1.23,171,0.42,5.76,16.47,1.24,76.92
signal2-model1INFO-INFY-,6.67,-7.53,-7.53,17.29,5.81,3,1,5.23,1.26,361,0.33,6.74,12.63,1.28,79.31
signal2-model12330-TSM-,-0.45,-14.73,-7.51,4.67,-0.66,3,3,3.22,-0.13,506,0.21,-0.94,2.95,-0.14,58.60
signal2-model1ICICIBC-IBN-,8.55,-7.32,-6.69,22.53,7.96,2,2,5.29,1.58,456,0.34,7.72,15.01,1.61,82.67
signal2-model1TTMT-TTM-,10.66,-9.32,-7.78,31.34,10.21,2,2,7.02,1.48,330,0.45,8.49,20.58,1.52,80.67
signal2-model1HDFCB-HDB-,6.56,-4.82,-1.31,18.20,5.38,3,2,5.47,1.19,251,0.35,5.05,9.49,1.20,75.69
signal2-model12303-UMC-,1.14,-9.45,-6.07,12.77,0.97,3,2,5.42,0.24,1220,0.35,0.36,6.06,0.21,53.46
signal2-model2INFO-INFY-,6.99,-8.28,-8.28,17.53,6.14,3,1,5.17,1.33,448,0.33,6.71,13.11,1.35,83.23
signal2-model22330-TSM-,0.53,-10.35,-7.44,5.46,0.34,3,2,2.79,0.20,483,0.18,0.65,4.05,0.19,65.57
signal2-model2ICICIBC-IBN-,8.60,-7.13,-6.37,29.44,8.10,2,2,5.56,1.51,597,0.36,7.72,17.53,1.55,83.46
signal2-model2TTMT-TTM-,11.65,-10.80,-10.24,35.59,11.04,2,2,7.48,1.51,224,0.48,9.95,21.15,1.56,84.38
signal2-model2HDFCB-HDB-,9.06,-3.93,-2.95,31.06,7.58,2,1,7.64,1.17,243,0.49,6.87,14.03,1.19,83.72
signal2-model22303-UMC-,3.72,-5.45,-5.45,21.56,3.40,3,2,6.17,0.62,475,0.40,2.30,7.56,0.60,60.63
