sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
signal1-model1INFO-INFY-,7.54,-6.62,-6.62,18.24,7.16,3,2,5.36,1.38,351,0.34,7.64,13.97,1.41,81.29
signal1-model12330-TSM-,0.14,-13.77,-9.46,6.19,0.23,3,3,3.89,0.06,470,0.25,0.51,4.52,0.04,62.96
signal1-model1ICICIBC-IBN-,8.32,-3.88,-0.67,20.89,8.08,2,2,4.95,1.64,266,0.32,8.06,14.42,1.68,83.82
signal1-model1TTMT-TTM-,12.22,-12.02,-3.50,30.12,12.17,2,3,6.68,1.76,290,0.43,10.50,21.45,1.83,85.61
signal1-model1HDFCB-HDB-,6.30,-4.82,-1.31,18.20,6.10,3,2,5.86,1.07,251,0.38,5.29,12.09,1.07,70.00
signal1-model12303-UMC-,4.28,-6.13,-5.29,24.29,3.84,3,2,6.13,0.71,470,0.39,2.28,10.38,0.70,57.35
signal1-model2INFO-INFY-,8.77,-6.52,-6.52,18.82,8.67,3,1,5.08,1.68,439,0.32,10.31,14.94,1.73,92.98
signal1-model22330-TSM-,1.66,-6.08,-5.91,7.69,1.60,3,1,3.19,0.53,514,0.20,1.85,5.18,0.52,75.00
signal1-model2ICICIBC-IBN-,8.26,-3.63,-2.18,28.56,8.31,2,1,5.25,1.54,168,0.34,7.41,15.35,1.57,88.66
signal1-model2TTMT-TTM-,14.67,-6.07,-6.07,39.05,14.84,2,1,7.13,1.96,123,0.46,13.30,24.93,2.06,95.10
signal1-model2HDFCB-HDB-,10.38,-4.77,-2.81,31.06,10.00,2,1,8.15,1.25,194,0.52,8.75,20.04,1.27,86.75
signal1-model22303-UMC-,8.34,-5.30,0.04,24.92,7.69,3,1,6.67,1.23,171,0.43,5.44,16.47,1.25,76.92
signal2-model1INFO-INFY-,5.85,-7.53,-7.53,17.29,5.75,3,1,4.81,1.21,361,0.31,6.71,12.44,1.22,79.07
signal2-model12330-TSM-,-0.36,-14.73,-7.51,4.67,-0.64,3,3,3.22,-0.10,506,0.21,-0.91,2.95,-0.11,59.09
signal2-model1ICICIBC-IBN-,8.11,-7.32,-6.69,21.72,7.82,2,2,5.05,1.57,456,0.32,7.69,14.61,1.61,82.43
signal2-model1TTMT-TTM-,10.07,-9.32,-7.78,30.00,10.00,2,2,6.88,1.43,330,0.44,8.43,20.51,1.46,80.82
signal2-model1HDFCB-HDB-,5.97,-4.82,-1.31,18.20,5.36,3,2,5.22,1.14,251,0.33,5.07,9.49,1.14,75.28
signal2-model12303-UMC-,1.40,-9.45,-6.07,12.77,1.02,3,2,5.33,0.29,1220,0.34,0.45,6.30,0.26,52.32
signal2-model2INFO-INFY-,6.17,-8.28,-8.28,17.53,6.09,3,1,4.75,1.29,448,0.30,6.59,13.04,1.30,83.01
signal2-model22330-TSM-,0.62,-10.35,-7.44,5.46,0.37,3,2,2.79,0.24,483,0.18,0.65,4.05,0.22,65.83
signal2-model2ICICIBC-IBN-,8.16,-7.13,-6.37,29.44,7.98,2,2,5.33,1.50,597,0.34,7.72,17.52,1.53,83.21
signal2-model2TTMT-TTM-,10.78,-10.80,-10.24,30.23,10.78,2,2,7.29,1.44,224,0.47,9.95,20.51,1.48,84.00
signal2-model2HDFCB-HDB-,8.48,-3.93,-2.95,31.06,7.57,2,1,7.49,1.12,243,0.48,6.87,14.03,1.13,83.33
signal2-model22303-UMC-,4.02,-5.45,-5.45,21.56,3.38,3,2,6.11,0.67,475,0.39,2.30,7.87,0.66,59.66
