methodID,pairName,date,premium,HighBond,LowBond,meanLine,asiaPos,usPos,operation
signal1-model1,INFO-INFY,2020-08-19,0.00119958762886596,0.0151118010278605,-0.0120573104102272,0.00152724530881663,0,0,
signal1-model1,INFO-INFY,2020-08-20,0.00344525547445262,0.014959345850631,-0.0120685174584782,0.00144541419607638,0,0,
signal1-model1,INFO-INFY,2020-08-21,0.00439579210498908,0.012526009660111,-0.0108280548042262,0.000848977427942393,0,0,
signal1-model1,INFO-INFY,2020-08-24,-0.00338158656630005,0.0123051233414834,-0.0112481294621376,0.000528496939672923,0,0,
signal1-model1,INFO-INFY,2020-08-25,0.00595657456812293,0.0126473808971713,-0.0113041868108681,0.0006715970431516,0,0,
signal1-model1,INFO-INFY,2020-08-26,0.0166926642160781,0.0150110025482321,-0.0110869053525032,0.00196204859786447,0,0,超上限\收盘平
signal1-model1,INFO-INFY,2020-08-27,-0.0008608333333332,0.0147616850383913,-0.0113544524259957,0.00170361630619781,0,0,
signal1-model1,INFO-INFY,2020-08-28,-0.0032649194821599,0.0142696378458969,-0.0118231458863805,0.00122324597975822,0,0,
signal1-model1,INFO-INFY,2020-08-31,0.0065782887700534,0.0147193958370503,-0.0118071709706158,0.00145611243321727,0,0,
signal1-model1,INFO-INFY,2020-09-01,0.00364108108108119,0.0125260377202726,-0.0107707217302042,0.00087765799503417,0,0,
signal1-model1,INFO-INFY,2020-09-02,0.00401189189189188,0.0123358215000175,-0.00932147696249351,0.001507172268762,0,0,
signal1-model1,INFO-INFY,2020-09-03,0.0102869025114771,0.0135016796762777,-0.00948685541392183,0.00200741213117796,0,0,
signal1-model1,INFO-INFY,2020-09-04,-0.00334725990233309,0.0132024663381347,-0.00883477471997512,0.00218384580907979,0,0,
signal1-model1,INFO-INFY,2020-09-07,-0.00561196627685623,0.0133988762736732,-0.00931891296871065,0.00203998165248127,0,0,
signal1-model1,INFO-INFY,2020-09-08,-0.0142442066777785,0.0146474661371722,-0.0113417633024982,0.00165285141733703,-929.95,12.5,跌下限\收盘加仓美股
