sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
signal1-model1INFO-INFY-,7.69,-6.62,-6.62,18.24,7.10,3,2,5.44,1.39,351,0.35,7.57,13.97,1.41,81.05
signal1-model12330-TSM-,0.23,-12.32,-7.78,6.19,0.35,3,3,3.90,0.08,470,0.25,0.56,4.52,0.06,63.64
signal1-model1ICICIBC-IBN-,8.43,-3.88,-0.67,20.89,7.95,2,2,4.98,1.65,266,0.32,7.98,14.05,1.69,83.82
signal1-model1TTMT-TTM-,12.13,-12.02,-3.50,30.12,12.05,2,3,6.70,1.74,290,0.43,10.50,21.27,1.81,85.38
signal1-model1HDFCB-HDB-,6.55,-4.82,-1.31,18.20,6.18,3,2,5.85,1.11,251,0.37,5.34,12.09,1.12,70.25
signal1-model12303-UMC-,4.64,-6.13,-5.29,24.29,3.82,3,2,6.13,0.77,470,0.39,2.28,10.38,0.76,58.21
signal1-model2INFO-INFY-,8.94,-6.52,-6.52,18.82,8.65,3,1,5.16,1.69,439,0.33,10.31,14.94,1.73,92.86
signal1-model22330-TSM-,1.68,-6.08,-5.91,7.69,1.68,3,1,3.21,0.54,514,0.21,1.85,5.18,0.52,75.00
signal1-model2ICICIBC-IBN-,8.37,-3.63,-2.18,28.56,8.19,2,1,5.29,1.55,168,0.34,7.35,15.14,1.58,88.66
signal1-model2TTMT-TTM-,14.62,-6.07,-6.07,39.05,14.76,2,1,7.16,1.94,123,0.46,13.06,24.93,2.04,95.00
signal1-model2HDFCB-HDB-,10.66,-4.77,-2.81,31.06,10.10,2,1,8.19,1.28,194,0.52,8.75,20.04,1.30,87.80
signal1-model22303-UMC-,8.76,-5.30,0.04,24.92,7.60,3,1,6.67,1.29,171,0.43,5.44,16.47,1.31,78.95
signal2-model1INFO-INFY-,5.98,-7.53,-7.53,17.29,5.80,3,1,4.90,1.21,361,0.31,6.79,12.63,1.22,78.82
signal2-model12330-TSM-,-0.52,-14.73,-7.51,4.67,-0.59,3,3,3.23,-0.14,506,0.21,-0.89,2.95,-0.16,58.28
signal2-model1ICICIBC-IBN-,8.22,-7.32,-6.69,21.72,7.69,2,2,5.08,1.58,456,0.33,7.69,14.51,1.62,82.43
signal2-model1TTMT-TTM-,9.96,-9.32,-7.78,30.00,9.84,2,2,6.90,1.41,330,0.44,8.43,20.43,1.44,80.56
signal2-model1HDFCB-HDB-,5.97,-4.82,-1.31,18.20,5.36,3,2,5.25,1.13,251,0.34,5.01,9.50,1.14,75.00
signal2-model12303-UMC-,1.40,-9.45,-6.07,12.77,1.04,3,2,5.33,0.29,1220,0.34,0.49,6.45,0.26,52.35
signal2-model2INFO-INFY-,6.31,-8.28,-8.28,17.53,6.14,3,1,4.84,1.29,448,0.31,6.71,13.04,1.30,82.78
signal2-model22330-TSM-,0.48,-10.35,-7.44,5.46,0.43,3,2,2.79,0.19,483,0.18,0.65,4.06,0.17,64.96
signal2-model2ICICIBC-IBN-,8.27,-7.13,-6.37,29.44,7.85,2,2,5.36,1.51,597,0.34,7.61,17.10,1.54,83.21
signal2-model2TTMT-TTM-,10.67,-10.80,-10.24,30.23,10.64,2,2,7.32,1.42,224,0.47,9.92,20.43,1.46,83.74
signal2-model2HDFCB-HDB-,8.52,-3.93,-2.95,31.06,7.60,2,1,7.53,1.12,243,0.48,7.06,14.11,1.13,83.06
signal2-model22303-UMC-,4.05,-5.45,-5.45,21.56,3.32,3,2,6.12,0.68,475,0.39,2.17,7.40,0.66,59.83
