sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
signal1-model1INFO-INFY-,16.61,-8.11,-4.46,62.36,16.02,3,2,7.34,2.13,351,0.47,12.98,29.90,2.26,79.28
signal1-model12330-TSM-,-0.07,-20.64,-15.28,11.23,0.50,6,5,4.87,0.01,181,0.31,1.48,5.82,-0.02,55.20
signal1-model1ICICIBC-IBN-,16.43,-7.86,-4.93,39.92,15.06,3,2,7.10,2.18,172,0.45,13.96,25.81,2.31,76.60
signal1-model1TTMT-TTM-,20.42,-11.76,-2.02,63.34,20.39,3,2,8.41,2.25,141,0.54,16.22,39.14,2.43,77.71
signal1-model1HDFCB-HDB-,12.44,-5.68,-3.66,48.64,11.73,5,3,8.44,1.43,213,0.54,10.48,22.35,1.47,68.53
signal1-model12303-UMC-,4.45,-11.54,-11.54,22.79,4.15,7,3,6.77,0.68,840,0.43,3.30,12.36,0.66,54.39
signal1-model2INFO-INFY-,15.38,-13.05,-13.05,60.24,14.68,3,2,7.02,2.08,567,0.45,12.50,31.11,2.19,87.67
signal1-model22330-TSM-,3.06,-13.32,-13.09,16.87,3.66,6,2,4.33,0.72,514,0.28,4.46,9.21,0.71,72.44
signal1-model2ICICIBC-IBN-,19.79,-4.46,3.28,43.59,18.50,3,2,7.94,2.31,63,0.51,17.37,28.54,2.49,89.05
signal1-model2TTMT-TTM-,22.91,-6.14,-4.96,64.21,22.90,3,1,9.16,2.30,75,0.59,17.51,45.76,2.50,86.21
signal1-model2HDFCB-HDB-,13.85,-6.01,-4.61,35.79,12.37,5,1,8.42,1.58,156,0.54,11.80,23.00,1.64,86.67
signal1-model22303-UMC-,10.57,-8.06,-4.02,28.43,10.15,7,2,6.41,1.60,151,0.41,9.89,18.87,1.65,76.69
signal2-model1INFO-INFY-,15.58,-8.55,-5.37,47.99,14.82,3,2,6.87,2.14,287,0.44,13.53,26.09,2.27,78.92
signal2-model12330-TSM-,-0.29,-21.43,-16.32,11.28,-0.07,6,5,4.46,-0.04,391,0.29,0.31,7.16,-0.06,58.65
signal2-model1ICICIBC-IBN-,14.15,-11.54,-8.69,32.40,12.69,3,3,7.65,1.77,290,0.49,12.53,22.49,1.85,75.59
signal2-model1TTMT-TTM-,18.49,-8.57,-2.77,45.90,18.06,3,2,8.91,1.95,125,0.57,16.64,33.80,2.08,77.62
signal2-model1HDFCB-HDB-,13.30,-5.01,-0.14,55.82,12.23,5,3,8.06,1.59,147,0.52,10.87,21.65,1.65,70.68
signal2-model12303-UMC-,2.93,-8.82,-6.85,14.06,2.48,7,3,6.18,0.50,724,0.40,2.45,7.08,0.47,56.15
signal2-model2INFO-INFY-,14.36,-10.31,-9.80,48.20,13.56,3,2,6.72,2.03,429,0.43,12.10,27.04,2.14,82.83
signal2-model22330-TSM-,2.30,-15.81,-12.33,11.97,2.16,6,2,3.91,0.60,412,0.25,2.67,8.95,0.59,68.06
signal2-model2ICICIBC-IBN-,15.78,-9.31,-4.96,31.73,14.42,3,2,7.83,1.91,168,0.50,13.89,25.05,2.01,80.21
signal2-model2TTMT-TTM-,18.69,-10.94,-9.95,45.51,18.19,3,2,9.15,1.92,157,0.59,17.95,36.29,2.04,80.60
signal2-model2HDFCB-HDB-,12.52,-7.30,-5.47,44.04,11.29,5,2,8.06,1.50,223,0.52,10.96,22.69,1.55,81.42
signal2-model22303-UMC-,6.51,-6.22,-3.28,18.82,5.81,7,2,5.69,1.14,339,0.36,5.48,10.53,1.14,67.04
