tradeDate,HKopenPrice,HKclosePrice,USopenPrice,USclosePrice,USDHKD
2020-09-22,305,311,41.08,41.77,7.75
2020-09-23,323,329,42.75,43.98,7.75
2020-09-24,340.8,338,42.02,42.45,7.7503
2020-09-28,326.8,331.4,43,44.26,7.7498
2020-09-29,335.8,340.6,44,43.52,7.7499
2020-09-30,338.4,344,44.2,43.24,7.75
2020-10-05,344,358,45.88,45.67,7.74982
2020-10-06,357.2,352.2,45.61,44.59,7.7501
2020-10-07,348.2,347.4,45.08,44.46,7.74979
2020-10-08,343.4,347.2,44.99,44.51,7.74978
2020-10-09,344,342,44.25,44.59,7.7504
2020-10-12,345,340.6,44.62,43.42,7.7504
2020-10-14,340,329,42.8,41.93,7.7511
2020-10-15,322.2,325.4,41.65,41.31,7.7499
2020-10-16,327,323,41.74,41.62,7.7502
2020-10-19,324.8,324,41.64,41.63,7.74975
2020-10-20,328.8,322.6,41.8,42.27,7.7498
2020-10-21,322.6,327.8,42.27,42.84,7.75
2020-10-22,326.4,330,43.05,43.49,7.7526
2020-10-23,333,338.8,43.59,43.57,7.74998
