date,A00700,A01299,A00005,A00939,A02318,A09988,A00388,A01810,A00941,A01398,A03988,A02269,A00669,A00002,A00883,A02628,A00001,A00003,A00016,A00027,A01109,A02313,A02319,A01177,A00175,A01113,A00011,A01928,A02382,A01093,A02388,A00386,A00688,A02007,A00066,A00017,A00006,A00288,A00857,A00012,A00267,A01044,A00101,A01997,A03328,A00762,A02018,A01038,A00019
2010-01-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-05,0.0667266851645559,NaN,0,0,0.0388356985716894,NaN,0.0354474445385183,NaN,0,0.0228951208056647,0.0344219697638775,NaN,0.0907054391994696,0.0367544569772623,0,0,0,0.031065594330399,0.0376447757739759,0,0.000847914756828628,0.0171038594520776,0.000847914756828663,0.0461513671862115,0,NaN,0,0,0.0461513671862115,0,0.0856559777046335,0,0.0461513671862115,0.0291235178248224,0.0461513671862115,0.0773260913958246,0,0.0461513671862115,0,0,0.0461513671862115,0.0461513671862115,0,0,0,0,0.0384235482272083,0.0128983280292909,0.0202160924235921
2010-01-06,0,NaN,0,0.0148477690241741,0,NaN,0.031105774516777,NaN,0,0.0324209444526174,0.0148477690241741,NaN,0,0,0,0,0,0.0148477690241741,0.0925649128269685,0,0.132156246369933,0,0.0775125539310976,0.0148477690241741,0,NaN,0.0743003712121488,0,0.105363569445285,0,0.00160155432840217,0,0,0,0.036407298046972,0.043648250976345,0,0.0148477690241741,0.0148477690241741,0.0148477690241741,0.0148477690241741,0,0.0148477690241741,0.0148477690241741,0.00243755046807004,0.0148477690241741,0.0999596410619344,0,0.107195873097533
2010-01-07,0.0460081342239848,NaN,0.0370363707337822,0,0,NaN,0,NaN,0.0348117645277663,0,0,NaN,0.00893383938026428,0.030443483926589,0,0.108662279258483,0.0460081342239848,0,0,0.0216219758945346,0.083923406920754,0.0460081342239848,0.0914121969699783,0.0124647246034758,0,NaN,0.067390966896209,0.176916485043852,0,0,0,0,0.0160877385066618,0,0.0148788336291931,0,0,0,0,0.0460081342239848,0,0.0821795046334254,0,0,0.0111485993055327,0,0,0.0180552928735596,0
2010-01-08,0.0957248406151143,NaN,0,0,0,NaN,0,NaN,0,0.0668113317171445,0,NaN,0,0.0105155919989847,0.00787031428460335,0,0.0551392949835808,0.0115346286062904,0,0,0,0,0,0.0280552943581479,0,NaN,0.0417708238670844,0,0,0,0,0,0,0,0,0.0255414126625028,0,0.276832735965066,0,0.0993472939153019,0.0141714456303137,0.0436576517567264,0.185112643617514,0,0,0,0,0.0226065985759436,0.015308097445682
2010-01-11,0.0122812947826021,NaN,0.047678840098917,0,0,NaN,0,NaN,0.0523115495391587,0,0,NaN,0,0.0436759975005187,0.000724675675168398,0,0.0193010095584349,0.0735791067692074,0,0.0261728302489349,0.000190015887302314,0.0735791067692074,0.0735791067692074,0,0,NaN,0,0,0,0.0382360345420407,0,0,0,0,0.013941832351991,0.0426135988987293,0.0366707236508595,0.170126035780005,0,0.133707067621503,0,0.0149357869256113,0.0735791067692074,0,0,0,0,0.0315427447574264,0.0215735351039673
2010-01-12,0,NaN,0.0355558609122051,0.0436346131988372,0,NaN,0,NaN,0,0.0687406434061942,0.0397222614625439,NaN,0,0,0,0.0453653100109258,0.0453284418328836,0,0.0620585131094421,0,0.0993395145356771,0,0,0,0,NaN,0.0203304486505658,0,0.0832674949152555,0,0.0391902988792266,0.0314924427380415,0.0576586617895276,0,0.00242430335440293,0.0638372298258427,0,0,0,0.0786321373892003,0,0,0.0589133762953117,0.120256981607109,0.00425146608680732,0,0,0,0
2010-01-13,0,NaN,0,0.0302977912240521,0.0724759312645689,NaN,0,NaN,0,0.0515862870579746,0.0336018136685339,NaN,0,0,0.0595054069325978,0.0148033425876669,0.0149112300090299,0,0.0839770996537165,0,0.0953562259854366,0,0,0.0197131193215517,0.0456815784196239,NaN,0,0.0227172569702716,0,0,0,0,0,0,0,0.0145884139207935,0,0.187578469400043,0.00490616419129722,0.0454728511200472,0,0,0.0679251536257709,0.00323095870830282,0.0439285803046873,0.0040587457926735,0,0,0.0836835798413598
2010-01-14,0,NaN,0,0,0,NaN,0,NaN,0,0,0.00369224345745989,NaN,0,0,0,0.0117671765377527,0.0422635011187809,0,0.138141644960839,0.0211331599651875,0,0.0477447304683755,0,0,0,NaN,0.00270705488155978,0,0.0211331599651875,0,0,0,0.00340341299299992,0.0692918152356615,0,0.0211331599651875,0.0855676570631837,0.282092873212068,0,0.0211331599651875,0,0.122170193527199,0,0.0211331599651875,0.0365290132540887,0.014139264802791,0.0211331599651875,0,0.0136904586961147
2010-01-15,0,NaN,0,0,0,NaN,0,NaN,0.094738879176124,0,0.0389838000244104,NaN,0.214124858579339,0,0,0.00149901353291119,0.0542179528253811,0.0722306568329534,0.0413014077913576,0,0,0.00149901353291119,0,0,0,NaN,0,0.112733083630807,0.00149901353291119,0,0,0,0.0304556445579614,0,0,0.0722950754516241,0.0100675845191053,0,0.024562083103227,0.0680749607637664,0.0383310798616236,0.0220066183308919,0,0,0,0.030994014855903,0,0,0.0703852590967907
