type,code,date,code2,buy,sel,w
p2,NIFTY,ADSEZ IS Equity,2020-07-14,332.350006103516,320.4,-0.0235827127639078
p2,NIFTY,APNT IS Equity,2020-07-14,1708.90002441406,1688.4,-0.0159382234807833
p2,NIFTY,AXSB IS Equity,2020-07-14,434.616658528646,417.7,0.0435023928139468
p2,NIFTY,BAF IS Equity,2020-07-14,3203.46663411458,3190.95,0.00730087268556679
p2,NIFTY,BHARTI IS Equity,2020-07-14,584.316670735677,589.35,0.00396923555692633
p2,NIFTY,BJAUT IS Equity,2020-07-14,2891.48331705729,2899.5,-0.0124354657706399
p2,NIFTY,BJFIN IS Equity,2020-07-14,6441.15006510417,6243.45,-0.0147984563873947
p2,NIFTY,BPCL IS Equity,2020-07-14,378.266672770182,373.75,-0.00992282828176102
p2,NIFTY,BRIT IS Equity,2020-07-14,3789.11669921875,3735.25,-0.01426609212026
p2,NIFTY,CIPLA IS Equity,2020-07-14,640.816670735677,632.3,-0.0286685405286924
p2,NIFTY,COAL IS Equity,2020-07-14,130.083333333333,128.25,-0.0120462704695131
p2,NIFTY,DIVI IS Equity,2020-07-14,2245.08333333333,2218.15,-0.0349121800275746
p2,NIFTY,DRRD IS Equity,2020-07-14,3903.06665039063,3983.15,-0.0217341599669674
p2,NIFTY,EIM IS Equity,2020-07-14,19615.25,1885.02,-0.0159382234807833
p2,NIFTY,GAIL IS Equity,2020-07-14,101.083333333333,99.05,-0.0184500922640222
p2,NIFTY,GRASIM IS Equity,2020-07-14,611.100016276042,596.7,-0.0217499097509848
p2,NIFTY,HCLT IS Equity,2020-07-14,605.65000406901,591.35,-0.0327951723015862
p2,NIFTY,HDFC IS Equity,2020-07-14,1818.5,1791.6,0.0406158784768974
p2,NIFTY,HDFCB IS Equity,2020-07-14,1063.64998372396,1058.85,0.0670465732763057
p2,NIFTY,HDFCLIFE IS Equity,2020-07-14,594.966674804688,598.45,0.0500557623624977
p2,NIFTY,HMCL IS Equity,2020-07-14,2670.31665039063,2611.85,0.0174849377010695
p2,NIFTY,HNDL IS Equity,2020-07-14,167.649998982747,163.8,0.0305755015032483
p2,NIFTY,HUVR IS Equity,2020-07-14,2258.33341471354,2234.75,-0.0149292622597844
p2,NIFTY,ICICIBC IS Equity,2020-07-14,350.733337402344,345.55,0.0142255130220073
p2,NIFTY,IIB IS Equity,2020-07-14,532.983337402344,510.8,0.027825964160543
p2,NIFTY,INFO IS Equity,2020-07-14,795.783325195313,783.25,0.0101879851470343
p2,NIFTY,IOCL IS Equity,2020-07-14,86.6666666666667,86.4,0.0218346499953057
p2,NIFTY,ITC IS Equity,2020-07-14,197.166666666667,195.9,-0.012081732455948
p2,NIFTY,JSTL IS Equity,2020-07-14,197.34999593099,194.05,-0.00569830678782361
p2,NIFTY,KMB IS Equity,2020-07-14,1328.76668294271,1298.3,0.00973153136780232
p2,NIFTY,LT IS Equity,2020-07-14,926.283325195313,912.9,-0.0151173973191111
p2,NIFTY,MM IS Equity,2020-07-14,552.416666666667,545.2,0.0101032377716548
p2,NIFTY,MSIL IS Equity,2020-07-14,5940.86669921875,5771.75,0.0161614450744396
p2,NIFTY,NEST IS Equity,2020-07-14,16972.6666666667,16895.8,-0.0135869530717333
p2,NIFTY,NTPC IS Equity,2020-07-14,89.6666692097982,87.65,-0.0102886142708741
p2,NIFTY,ONGC IS Equity,2020-07-14,78.533332824707,77.35,0.00981081925537894
p2,NIFTY,PWGR IS Equity,2020-07-14,168.583333333333,163.35,0.00208306101256224
p2,NIFTY,RIL IS Equity,2020-07-14,1932.33333333333,1917,-0.0133134179615544
p2,NIFTY,SBILIFE IS Equity,2020-07-14,861.983337402344,859.75,-0.00975831895132773
p2,NIFTY,SBIN IS Equity,2020-07-14,191.583333333333,186.05,-0.00539541355923136
p2,NIFTY,SRCM IS Equity,2020-07-14,22362.5833333333,22085.75,-0.0334212409160429
p2,NIFTY,SUNP IS Equity,2020-07-14,499.933329264323,492.1,-0.0189874522258552
p2,NIFTY,TATA IS Equity,2020-07-14,338.549997965495,336.65,0.0300860264668773
p2,NIFTY,TCS IS Equity,2020-07-14,2214.95003255208,2171.95,0.0069401489503335
p2,NIFTY,TECHM IS Equity,2020-07-14,596.533325195313,598.3,0.0272296679724456
p2,NIFTY,TTAN IS Equity,2020-07-14,959.25,973.8,0.0174364767998039
p2,NIFTY,TTMT IS Equity,2020-07-14,106.983332316081,105.15,0.0357923186273527
p2,NIFTY,UPLL IS Equity,2020-07-14,438.800008138021,437.5,-0.0246113769638911
p2,NIFTY,UTCEM IS Equity,2020-07-14,3786.41674804688,3770.9,-0.0117815942384342
p2,NIFTY,WPRO IS Equity,2020-07-14,228.666666666667,225,-0.0337905914235179
p2,NIFTY,ADSEZ IS Equity,2020-07-15,321.549997965495,315.15,0.0305869664764871
p2,NIFTY,APNT IS Equity,2020-07-15,1700.61665852865,1671.65,0.00435643021308402
p2,NIFTY,AXSB IS Equity,2020-07-15,424.633331298828,426.65,-0.0292895834068537
p2,NIFTY,BAF IS Equity,2020-07-15,3236.68334960938,3149.25,-0.0176339515034909
p2,NIFTY,BHARTI IS Equity,2020-07-15,587,563.6,0.0352858246487058
p2,NIFTY,BJAUT IS Equity,2020-07-15,2916.53336588542,2942.05,0.0106030928241806
p2,NIFTY,BJFIN IS Equity,2020-07-15,6314.33333333333,6168.45,-0.0177286536609525
p2,NIFTY,BPCL IS Equity,2020-07-15,377.833343505859,369.6,-0.0124395241891396
p2,NIFTY,BRIT IS Equity,2020-07-15,3749.96663411458,3723.25,0.025101203766742
p2,NIFTY,CIPLA IS Equity,2020-07-15,635.266682942708,638.2,0.0188978074251261
p2,NIFTY,COAL IS Equity,2020-07-15,128.850001017253,128,0.0133374322177827
p2,NIFTY,DIVI IS Equity,2020-07-15,2222.33333333333,2225.3,0.0309350652930594
p2,NIFTY,DRRD IS Equity,2020-07-15,3991.26668294271,4036.45,0.0264877435250048
p2,NIFTY,EIM IS Equity,2020-07-15,19066.3001302083,1856.25,-0.002227394522288
p2,NIFTY,GAIL IS Equity,2020-07-15,99.5666656494141,96.95,0.0138913684437301
p2,NIFTY,GRASIM IS Equity,2020-07-15,602.533325195313,588.9,-0.00697579012445554
p2,NIFTY,HCLT IS Equity,2020-07-15,595.09999593099,615.2,0.0165698552761985
p2,NIFTY,HDFC IS Equity,2020-07-15,1806.96667480469,1789.9,-0.00728575959869519
p2,NIFTY,HDFCB IS Equity,2020-07-15,1068.64998372396,1053.15,-0.0114122901579306
p2,NIFTY,HDFCLIFE IS Equity,2020-07-15,601.233337402344,594.8,0.0218935299822953
p2,NIFTY,HMCL IS Equity,2020-07-15,2617.08333333333,2648.05,0.041446394150499
p2,NIFTY,HNDL IS Equity,2020-07-15,166.050003051758,165.4,-0.0312773673401259
p2,NIFTY,HUVR IS Equity,2020-07-15,2238.51668294271,2275.15,0.0279216962254946
p2,NIFTY,ICICIBC IS Equity,2020-07-15,349.25,345.8,-0.0143289038526206
p2,NIFTY,IIB IS Equity,2020-07-15,518.616658528646,503.55,-0.0240423832699323
p2,NIFTY,INFO IS Equity,2020-07-15,797.666666666667,830.95,-0.0498812289419585
p2,NIFTY,IOCL IS Equity,2020-07-15,86.7000020345052,85.65,0.0135370951842317
p2,NIFTY,ITC IS Equity,2020-07-15,196.033335367839,198.7,0.0230937047039205
p2,NIFTY,JSTL IS Equity,2020-07-15,195.966669718424,194.9,-0.00866634242844594
p2,NIFTY,KMB IS Equity,2020-07-15,1303,1290,0.00694366516648285
p2,NIFTY,LT IS Equity,2020-07-15,917.733337402344,912.2,0.00939193977660655
p2,NIFTY,MM IS Equity,2020-07-15,548.883321126302,550.15,-0.00356609604667705
p2,NIFTY,MSIL IS Equity,2020-07-15,5821.86669921875,5801.3,0.00535326589347638
p2,NIFTY,NEST IS Equity,2020-07-15,16922.4329427083,16908.75,0.0217869626748696
p2,NIFTY,NTPC IS Equity,2020-07-15,88.25,88.05,0.00212168114411187
p2,NIFTY,ONGC IS Equity,2020-07-15,77.8999989827474,76.25,-0.00192420091514385
p2,NIFTY,PWGR IS Equity,2020-07-15,164.966669718424,163.55,-0.0101336920364956
p2,NIFTY,RIL IS Equity,2020-07-15,1939.09997558594,1844,-0.0122700462678892
p2,NIFTY,SBILIFE IS Equity,2020-07-15,864.550008138021,855.85,0.0170174082181867
p2,NIFTY,SBIN IS Equity,2020-07-15,187.966664632161,183.8,-0.00933560957075172
p2,NIFTY,SRCM IS Equity,2020-07-15,22137.68359375,21843.25,0.0296760794717282
p2,NIFTY,SUNP IS Equity,2020-07-15,494.116668701172,495.1,0.0150210766916212
p2,NIFTY,TATA IS Equity,2020-07-15,341.549997965495,339.3,-0.0161755595280608
p2,NIFTY,TCS IS Equity,2020-07-15,2185.31665039063,2233.9,0.00788805214203244
p2,NIFTY,TECHM IS Equity,2020-07-15,605.016662597656,615.3,-0.00652781487630179
p2,NIFTY,TTAN IS Equity,2020-07-15,978.883321126302,967.95,0.0106270351279488
p2,NIFTY,TTMT IS Equity,2020-07-15,106.550000508626,103.2,-0.0317858285478137
p2,NIFTY,UPLL IS Equity,2020-07-15,439.266662597656,437.55,-0.00729516826941708
p2,NIFTY,UTCEM IS Equity,2020-07-15,3789.73331705729,3820.65,0.0202276233363931
p2,NIFTY,WPRO IS Equity,2020-07-15,238.200002034505,262.75,-0.16779681094456
p2,NIFTY,ADSEZ IS Equity,2020-07-16,316.416666666667,311.2,-0.00334841947095669
p2,NIFTY,APNT IS Equity,2020-07-16,1678.16666666667,1693.2,2.77641725373174e-05
p2,NIFTY,AXSB IS Equity,2020-07-16,428.783345540365,434,-0.0255853218252848
p2,NIFTY,BAF IS Equity,2020-07-16,3165.04996744792,3204.8,-0.0165640563009793
p2,NIFTY,BHARTI IS Equity,2020-07-16,561.716674804688,562.75,0.00272421631017473
p2,NIFTY,BJAUT IS Equity,2020-07-16,2944.23331705729,2942.3,0.0143247127920665
p2,NIFTY,BJFIN IS Equity,2020-07-16,6173.31673177083,6264.9,-0.000784430878633983
p2,NIFTY,BPCL IS Equity,2020-07-16,371.383331298828,393.9,-0.0123505982962028
p2,NIFTY,BRIT IS Equity,2020-07-16,3730.61669921875,3854.75,0.011332886407251
p2,NIFTY,CIPLA IS Equity,2020-07-16,640,674.5,0.00726795932664561
p2,NIFTY,COAL IS Equity,2020-07-16,127.416666666667,126.15,0.0232027497814969
p2,NIFTY,DIVI IS Equity,2020-07-16,2237.28336588542,2204.5,-0.00431991501684092
p2,NIFTY,DRRD IS Equity,2020-07-16,4027.21671549479,4152.15,0.0210724276439592
p2,NIFTY,EIM IS Equity,2020-07-16,18623.68359375,1863.95,0.00971792058592484
p2,NIFTY,GAIL IS Equity,2020-07-16,97.533332824707,96.75,-0.0026791776602118
p2,NIFTY,GRASIM IS Equity,2020-07-16,591.033325195313,583.05,-0.00129118024808182
p2,NIFTY,HCLT IS Equity,2020-07-16,632.883341471354,627.75,-0.0650721441882407
p2,NIFTY,HDFC IS Equity,2020-07-16,1780.58333333333,1787.8,0.0125923390744166
p2,NIFTY,HDFCB IS Equity,2020-07-16,1051.55000813802,1062.55,0.0149628798514142
p2,NIFTY,HDFCLIFE IS Equity,2020-07-16,594.583333333333,599.85,0.0211388376645084
p2,NIFTY,HMCL IS Equity,2020-07-16,2659.86669921875,2714.8,0.014074967764239
p2,NIFTY,HNDL IS Equity,2020-07-16,164.183334350586,166.05,0.0268336462927009
p2,NIFTY,HUVR IS Equity,2020-07-16,2271.63338216146,2287.85,0.0164249895942855
p2,NIFTY,ICICIBC IS Equity,2020-07-16,347.049997965495,344.65,-0.00452691695156147
p2,NIFTY,IIB IS Equity,2020-07-16,502.616668701172,518.6,-0.013418056175272
p2,NIFTY,INFO IS Equity,2020-07-16,902.333333333333,911,-0.265854283340112
p2,NIFTY,IOCL IS Equity,2020-07-16,85.2999979654948,84.25,0.0244990590383892
p2,NIFTY,ITC IS Equity,2020-07-16,198.033335367839,193.85,0.0165741594619257
p2,NIFTY,JSTL IS Equity,2020-07-16,194.366663614909,201.15,0.0322460651533491
p2,NIFTY,KMB IS Equity,2020-07-16,1283.75,1322.65,0.0202573947650799
p2,NIFTY,LT IS Equity,2020-07-16,910.216654459635,921.15,0.013597761089972
p2,NIFTY,MM IS Equity,2020-07-16,547.316670735677,570.9,0.0360062970015137
p2,NIFTY,MSIL IS Equity,2020-07-16,5800.20003255208,5875.35,0.0120695562736961
p2,NIFTY,NEST IS Equity,2020-07-16,16891.9166666667,17495.65,0.013111827255083
p2,NIFTY,NTPC IS Equity,2020-07-16,87.6499989827474,86.75,0.0107924929480917
p2,NIFTY,ONGC IS Equity,2020-07-16,76.3833338419596,76.15,0.00989775635972133
p2,NIFTY,PWGR IS Equity,2020-07-16,162.916666666667,162.2,-0.00313936136619644
p2,NIFTY,RIL IS Equity,2020-07-16,1838.86665852865,1843.4,0.0110527306490942
p2,NIFTY,SBILIFE IS Equity,2020-07-16,857.833312988281,865.2,0.0157810676248937
p2,NIFTY,SBIN IS Equity,2020-07-16,184.483332316081,186.25,-0.00558365279239686
p2,NIFTY,SRCM IS Equity,2020-07-16,21946.5833333333,21731.1,-0.0127368443794899
p2,NIFTY,SUNP IS Equity,2020-07-16,496.183329264323,499.7,0.0104047908106264
p2,NIFTY,TATA IS Equity,2020-07-16,337.133331298828,341.65,0.0295773711233068
p2,NIFTY,TCS IS Equity,2020-07-16,2251,2234.75,0.00122979925754498
p2,NIFTY,TECHM IS Equity,2020-07-16,628.016662597656,599.4,-0.0479600636005793
p2,NIFTY,TTAN IS Equity,2020-07-16,968.866658528646,961.35,0.0146457426697453
p2,NIFTY,TTMT IS Equity,2020-07-16,103.666666666667,102.95,-0.00809036265740888
p2,NIFTY,UPLL IS Equity,2020-07-16,440.033325195313,433.45,-0.00669521485155005
p2,NIFTY,UTCEM IS Equity,2020-07-16,3817.19995117188,3816.25,0.0127545202781306
p2,NIFTY,WPRO IS Equity,2020-07-16,261.216664632161,261.9,0.0198033109782154
p2,NIFTY,ADSEZ IS Equity,2020-07-17,312.40000406901,313,-0.000333642680479724
p2,NIFTY,APNT IS Equity,2020-07-17,1699.06665039063,1717.9,0.00836557885863524
p2,NIFTY,AXSB IS Equity,2020-07-17,434.84999593099,433.1,0.014499712717334
p2,NIFTY,BAF IS Equity,2020-07-17,3222.2666015625,3301.3,0.00513722167305788
p2,NIFTY,BHARTI IS Equity,2020-07-17,563.183329264323,566.75,0.0109109764447219
p2,NIFTY,BJAUT IS Equity,2020-07-17,2945.20003255208,2995,-0.000600837676259365
p2,NIFTY,BJFIN IS Equity,2020-07-17,6307.86669921875,6361.6,-0.017782469361186
p2,NIFTY,BPCL IS Equity,2020-07-17,403.583333333333,443.8,-0.140777915227181
p2,NIFTY,BRIT IS Equity,2020-07-17,3911,3785,-0.0532350119862559
