date,A00700,A00939,A02318,A00941,A09988,A01398,A03690,A01810,A03988,A03968,A00883,A02628,A01109,A02313,A02319,A01177,A00175,A02020,A02382,A01093,A00960,A01918,A00291,A00386,A02007,A01288,A02688,A00914,A00586,A02601,A00788,A00857,A01088,A00384,A00813,A02202,A00267,A01044,A02328,A00270,A03328,A01658,A01193,A00762,A00728,A00151,A00998,A01988,A00656,A00966
2010-01-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-05,0.0802575445466356,0,0.0484433193477963,0,NaN,0.0302604870855045,NaN,NaN,0.0434087408186077,0.112834626136347,0,0,0.00511204796853621,0.0236546077174552,0.00511204796853625,0.056788034154049,0,0,0.056788034154049,0,0,NaN,0,0,0.0373649910705282,NaN,0,0.056788034154049,NaN,0,NaN,0,0,0,0.00117621827316552,NaN,0.056788034154049,0.056788034154049,0.00898591963449438,0.0936029524169309,0,NaN,0.00685290565918224,0,0.0221253726511512,0.00530099124526592,0.134779022535569,0.056788034154049,0,0
2010-01-06,0,0.0332039072985405,0,0,NaN,0.046301014727767,NaN,NaN,0.0332039072985405,0.0739714023660144,0.0200663142203817,0.01146471875233,0.12063271243467,0.000385286751944403,0.0799073288456191,0.0332039072985405,0,0.0332039072985405,0.100664405088764,0.0143568502662389,0.0332039072985405,NaN,0,0.00813009396058176,0,NaN,0,0.0332039072985405,NaN,0,NaN,0.0332039072985405,0,0,0.0212991135708531,NaN,0.0332039072985405,0,0,0.0708146273054786,0.0239546986787712,NaN,0,0.0332039072985405,0.0332039072985405,0,0.0332039072985405,0.0428084527466399,0,0
2010-01-07,0.043108499279381,0,0,0.033123985299903,NaN,0,NaN,NaN,0,0.0257008193246604,0,0.0989811797947865,0.0769199560772453,0.043108499279381,0.0835981858038958,0.0131957104592296,0,0.0804994853045713,0,0,0,NaN,0.043108499279381,0,0,NaN,0.0933046175049781,0,NaN,0.0645686259585533,NaN,0,0,0.0597644839633304,0,NaN,0,0.0753648076461822,0.00508705564287124,0,0.0120220379392435,NaN,0,0,0,0,0.0759232750746227,0.043108499279381,0,0.0295117770884026
2010-01-08,0.15713071395379,0,0,0,NaN,0.117056830359825,NaN,NaN,0.0194172748449525,0.0696161423695465,0.0353650689123812,0,0.00755678726620123,0.0194172748449525,0.000185241182932099,0.0633412839289723,0.0194172748449525,0.0194172748449525,0.0194172748449525,0,0,NaN,0.0194172748449525,0,0,NaN,0.0663225515138621,0,NaN,0,NaN,0,0.0194172748449525,0,0.0194172748449525,NaN,0.0440983847112121,0.0849660219152348,0,0,0,NaN,0.0194172748449525,0,0.080936955223759,0,0.0986685450577112,0,0,0
2010-01-11,0.0301121748234442,0,0,0.06521495582097,NaN,0,NaN,NaN,0,0,0.0199781031802048,0,0.019509256665093,0.08386460989734,0.08386460989734,0,0.0164633115485182,0.0715555075393097,0,0.0528720486030164,0.0754496599216691,NaN,0.000793949881099558,0,0.0155793600947627,NaN,0.11563730431349,0.0767878171043439,NaN,0,NaN,0.00121777977914248,0,0.0514237980752443,0,NaN,0.0167889216854693,0.0324399156015725,0,0.0532816419240868,0,NaN,0,0.00121777977914248,0.0638578844508602,0,0.00816938231244801,0.0439202271014324,0,0
2010-01-12,0,0.0575806849817454,0.00158561248777028,0,NaN,0.0793327054417534,NaN,NaN,0.0541909991448479,0.010303487782904,0.010303487782904,0.059080171445981,0.105843757382837,0.010303487782904,0.010303487782904,0,0,0,0.0919188597893253,0.010303487782904,0.010303487782904,NaN,0,0.0470606331013515,0.010303487782904,NaN,0.010303487782904,0,NaN,0,NaN,0,0,0.0244650591812782,0.0363290889262106,NaN,0,0,0.0780521703707584,0.0928236865299724,0.0234588817860597,NaN,0,0,0.010303487782904,0.0554966992400116,0.0794426245781528,0.010303487782904,0,0.010303487782904
2010-01-13,0,0.0349290098148465,0.0772904365068404,0,NaN,0.0563100155866809,NaN,NaN,0.0382473900098045,0.0379092312661279,0.0642635482865987,0.0193672294847374,0.100270158385951,0,0,0.0242983418331418,0.0503796478208003,0,0,0,0.0403739123189914,NaN,0,0,0,NaN,0.027093136609659,0.0273155340719804,NaN,0.0179421856947523,NaN,0.00942704253736011,0,0,0.0945225199929074,NaN,0,0,0.041536215696435,0,0.0486190319883867,NaN,0,0.00857594165106542,0.0557779991012575,0,0.057092406740068,0,0.0684590646016076,0
2010-01-14,0,0.00738024147963872,0,0,NaN,0.0185962214765208,NaN,NaN,0.0251201148333344,0.120747535379278,0,0.033857416173601,0,0.0727861264244289,0,0,0,0,0.0439916697630405,0,0.0439916697630405,NaN,0,0,0.0961006691883201,NaN,0.0286717299523533,0,NaN,0,NaN,0.0208232069416474,0.0249290104796151,0.0289019895687464,0.0439916697630405,NaN,0,0.153316539700651,0,0.0439916697630405,0.0606504096235554,NaN,0,0.0364240814042927,0.0218453450072961,0.0298910135515185,0,0,0.0439916697630405,0
2010-01-15,0,0,0,0.148818661301684,NaN,0.00797452060359845,NaN,NaN,0.0746775720788979,0,0.00897889109277034,0.0248316577326726,0,0.0248316577326726,0,0,0.00046391495203078,0,0.0248316577326726,0.00188394658260431,0.0248316577326726,NaN,0.0567945411202688,0.00998313875321663,0,NaN,0,0,NaN,0.0248316577326726,NaN,0.0555000941294946,0.090027472854391,0.0248316577326726,0,NaN,0.0738096083962528,0.0521019294317845,0,0.00193731335272075,0,NaN,0,0.0640530445190442,0,0.0607607383289489,0,0.00147562432014758,0.0409175532937498,0.100851488492359
