date,signal_I1,I50_I1,I300_I1,signal_I2,I300_I2,I500_I2,signal_I3,I50_I3,I500_I3
2004-04-26,-1,1276.94926381034,-1276.95,NaN,NaN,NaN,NaN,NaN,NaN
2004-04-27,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-04-28,-1,1258.10923206078,-1258.11,NaN,NaN,NaN,NaN,NaN,NaN
2004-04-29,-1,1233.59962282634,-1233.6,NaN,NaN,NaN,NaN,NaN,NaN
2004-04-30,-1,1239.71933183139,-1239.72,NaN,NaN,NaN,NaN,NaN,NaN
2004-05-10,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-05-11,-1,1212.56915318708,-1212.57,NaN,NaN,NaN,NaN,NaN,NaN
2004-05-12,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-05-13,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-05-14,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-05-17,1,-1195.18801689051,1195.19,NaN,NaN,NaN,NaN,NaN,NaN
2004-05-18,1,-1209.60825279429,1209.61,NaN,NaN,NaN,NaN,NaN,NaN
2004-05-19,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-05-20,-1,1201.70923530984,-1201.71,NaN,NaN,NaN,NaN,NaN,NaN
2004-05-21,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-05-24,-1,1200.78934352187,-1200.79,NaN,NaN,NaN,NaN,NaN,NaN
2004-05-25,-1,1177.7095600788,-1177.71,NaN,NaN,NaN,NaN,NaN,NaN
2004-05-26,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-05-27,1,-1208.67846137933,1208.68,NaN,NaN,NaN,NaN,NaN,NaN
2004-05-28,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-05-31,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-06-01,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-06-02,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-06-03,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-06-04,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-06-07,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-06-08,1,-1160.32810375482,1160.33,NaN,NaN,NaN,NaN,NaN,NaN
2004-06-09,-1,1137.5495433508,-1137.55,NaN,NaN,NaN,NaN,NaN,NaN
2004-06-10,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-06-11,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-06-14,-1,1115.40918129386,-1115.41,NaN,NaN,NaN,NaN,NaN,NaN
2004-06-15,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-06-16,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-06-17,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-06-18,1,-1103.39807587522,1103.4,NaN,NaN,NaN,NaN,NaN,NaN
2004-06-21,1,-1109.38789878635,1109.39,NaN,NaN,NaN,NaN,NaN,NaN
2004-06-22,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-06-23,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-06-24,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-06-25,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-06-28,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-06-29,-1,1084.61951633784,-1084.62,NaN,NaN,NaN,NaN,NaN,NaN
2004-06-30,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-07-01,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-07-02,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-07-05,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-07-06,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-07-07,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-07-08,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-07-09,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-07-12,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-07-13,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-07-14,-1,1088.77933475153,-1088.78,NaN,NaN,NaN,NaN,NaN,NaN
2004-07-15,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-07-16,1,-1132.79834228688,1132.8,NaN,NaN,NaN,NaN,NaN,NaN
2004-07-19,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-07-20,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-07-21,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
