date,signal_I1,HSI_I1,HSCEI_I1,signal_I2,NKY_I2,TPX_I2,signal_I3,TAMSCI_I3,TWSE_I3
2005-03-25,0,-0,0,-1,1193.55323332638,-1193.77,1,-6065.81266312729,6065.91
2005-03-28,0,-0,0,1,-1194.20907341671,1194.04,-1,6048.64041372379,-6048.74
2005-03-29,0,-0,0,-1,1175.56118328082,-1175.62,1,-5961.14414865748,5961.24
2005-03-30,0,-0,0,1,-1169.30674597975,1169.11,-1,5957.88129805388,-5957.98
2005-03-31,0,-0,0,-1,1182.02242900957,-1182.18,1,-6005.7834935389,6005.88
2005-04-01,1,-4866.56992858271,4866.57,1,-1186.56763916165,1186.5,1,-6028.65467490348,6028.75
2005-04-04,0,-0,0,-1,1183.00460862375,-1183.15,-1,6019.82960902869,-6019.93
2005-04-05,0,-0,0,1,-1190.04544459477,1189.79,0,-0,0
2005-04-06,0,-0,0,-1,1196.17708794569,-1196.23,-1,6013.39075389067,-6013.49
2005-04-07,0,-0,0,-1,1196.68593309539,-1196.83,0,-0,0
2005-04-08,0,-0,0,1,-1201.41502519886,1201.3,1,-6023.97263578964,6024.07
2005-04-11,0,-0,0,-1,1190.00750557748,-1190.12,1,-5979.32391901256,5979.42
2005-04-12,0,-0,0,1,-1179.47906854019,1179.28,1,-5993.79465229841,5993.89
2005-04-13,0,-0,0,-1,1176.37552192941,-1176.39,0,-0,0
2005-04-14,-1,4797.54999931397,-4797.55,1,-1168.44875250714,1168.42,-1,5976.58077251826,-5976.68
2005-04-15,0,-0,0,-1,1150.5573246373,-1150.67,0,-0,0
2005-04-18,-1,4572.35000419131,-4572.35,-1,1109.2968739792,-1109.49,0,-0,0
2005-04-19,1,-4654.15994729179,4654.16,-1,1126.39359864756,-1126.71,-1,5748.25110278602,-5748.35
2005-04-20,0,-0,0,-1,1131.33154288851,-1131.53,1,-5692.91500229712,5693.01
2005-04-21,0,-0,0,-1,1123.13265294278,-1123.32,1,-5721.89308093564,5721.99
2005-04-22,0,-0,0,-1,1130.78653075816,-1130.89,1,-5746.99311151343,5747.09
2005-04-25,0,-0,0,1,-1132.27314829521,1132.17,-1,5758.21091697841,-5758.31
2005-04-26,0,-0,0,-1,1131.10320412062,-1131.31,1,-5805.15456119701,5805.25
2005-04-27,0,-0,0,-1,1130.13515497668,-1130.3,1,-5778.17629221973,5778.27
2005-04-28,-1,4698.59000052531,-4698.59,1,-1129.9700310608,1129.93,1,-5842.17513348926,5842.27
2005-04-29,0,-0,0,0,-0,0,-1,5817.97000811825,-5818.07
2005-05-02,0,-0,0,-1,1131.61726528937,-1131.8,0,-0,0
2005-05-03,0,-0,0,-1,1131.78697007521,-1131.8,1,-5818.12287389763,5818.22
2005-05-04,0,-0,0,0,-0,0,1,-5803.58538828968,5803.68
2005-05-05,0,-0,0,0,-0,0,1,-5927.40538595296,5927.5
2005-05-06,0,-0,0,1,-1150.80082781196,1150.76,1,-5967.86399328752,5967.96
2005-05-09,0,-0,0,-1,1152.21464007746,-1152.48,-1,5966.75109518653,-5966.85
2005-05-10,0,-0,0,1,-1149.67812786397,1149.58,0,-0,0
2005-05-11,0,-0,0,1,-1145.32692914734,1145.3,-1,5917.03039986055,-5917.13
2005-05-12,0,-0,0,1,-1140.52049903987,1140.49,1,-5934.50373609231,5934.6
2005-05-13,0,-0,0,1,-1135.01332121525,1134.82,1,-5981.38344138906,5981.48
2005-05-16,0,-0,0,1,-1123.45467069995,1123.37,1,-5925.78329376366,5925.88
2005-05-17,0,-0,0,-1,1111.74701888123,-1111.81,1,-5893.91284694084,5894.01
2005-05-18,0,-0,0,1,-1109.45234211039,1109.19,-1,5890.73070343719,-5890.83
2005-05-19,0,-0,0,1,-1131.61561279247,1131.42,1,-5970.61411887247,5970.71
2005-05-20,0,-0,0,-1,1129.64924239807,-1129.81,-1,5954.59073787317,-5954.69
2005-05-23,-1,4566.14000539668,-4566.14,1,-1137.9941500723,1137.69,-1,5885.34948014343,-5885.45
2005-05-24,0,-0,0,-1,1136.25886766885,-1136.32,1,-5909.00405560249,5909.1
2005-05-25,0,-0,0,-1,1124.65667316622,-1124.7,1,-5888.43292254446,5888.53
2005-05-26,0,-0,0,1,-1123.67995435236,1123.5,0,-0,0
2005-05-27,0,-0,0,1,-1132.89856803299,1132.34,1,-5991.45279963767,5991.55
2005-05-30,0,-0,0,-1,1141.66631497553,-1141.76,0,-0,0
2005-05-31,0,-0,0,-1,1144.21913497244,-1144.33,-1,6011.45944524988,-6011.56
2005-06-01,-1,4547.91000200011,-4547.91,0,-0,0,-1,5971.51619867444,-5971.62
2005-06-02,0,-0,0,-1,1148.55052524371,-1148.85,-1,6039.38011703578,-6039.48
2005-06-03,0,-0,0,1,-1147.91496719379,1147.72,0,-0,0
2005-06-06,1,-4637.82993896251,4637.83,-1,1145.33959614744,-1145.37,-1,6137.46838805448,-6137.57
2005-06-07,0,-0,0,-1,1141.16874433084,-1141.26,0,-0,0
2005-06-08,0,-0,0,-1,1148.47841693131,-1148.54,1,-6161.56118928199,6161.66
2005-06-09,-1,4664.77000155939,-4664.77,-1,1138.57575080238,-1138.75,-1,6145.81950310828,-6145.92
2005-06-10,1,-4732.83994813089,4732.84,1,-1149.25707323516,1148.97,1,-6192.25133917889,6192.35
2005-06-13,0,-0,0,1,-1149.6828861499,1149.66,0,-0,0
