,indexID,ticker,porgFullName,secShortName,exchangeCD,tradeDate,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,turnoverValue,CHG,CHGPct
0,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-01-07,1316.46,,,,1302.08,,,-14.38,-0.010923
1,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-01-08,1302.08,,,,1292.71,,,-9.37,-0.007196
2,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-01-09,1292.71,,,,1272.65,,,-20.06,-0.015518
3,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-01-10,1272.65,,,,1281.26,,,8.61,0.006765
4,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-01-11,1281.26,,,,1249.81,,,-31.45,-0.024546
5,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-01-14,1249.81,,,,1205.15,,,-44.66,-0.035733
6,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-01-15,1205.15,,,,1186.43,,,-18.72,-0.015533
7,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-01-16,1186.43,,,,1201.88,,,15.45,0.013022
8,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-01-17,1201.88,,,,1152.15,,,-49.73,-0.041377
9,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-01-18,1152.15,,,,1149.48,,,-2.67,-0.002317
10,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-01-21,1149.48,,,,1108.61,,,-40.87,-0.035555
11,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-01-22,1108.61,,,,1109.99,,,1.38,0.001245
12,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-01-23,1109.99,,,,1183.15,,,73.16,0.065911
13,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-01-24,1183.15,,,,1189.58,,,6.43,0.005435
14,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-01-25,1189.58,,,,1189.43,,,-0.15,-0.000126
15,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-01-28,1189.43,,,,1112.84,,,-76.59,-0.064392
16,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-01-29,1112.84,,,,1140.38,,,27.54,0.024747
17,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-01-30,1140.38,,,,1145.86,,,5.48,0.004805
18,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-01-31,1145.86,,,,1221.76,,,75.9,0.066238
19,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-02-01,1221.76,,,,1215.74,,,-6.02,-0.004927
20,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-02-04,1215.74,,,,1236.97,,,21.23,0.017463
21,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-02-05,1236.97,,,,1246.84,,,9.87,0.007979
22,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-02-06,1246.84,,,,1216.79,,,-30.05,-0.024101
23,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-02-07,1216.79,,,,1241.02,,,24.23,0.019913
24,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-02-08,1241.02,,,,1235.09,,,-5.93,-0.004778
25,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-02-25,1235.09,,,,1254.61,,,19.52,0.015805
26,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-02-26,1254.61,,,,1253.12,,,-1.49,-0.001188
27,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-02-27,1253.12,,,,1256.0,,,2.88,0.002298
28,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-02-28,1256.0,,,,1244.6,,,-11.4,-0.009076
29,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-03-01,1244.6,,,,1227.23,,,-17.37,-0.013956
30,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-03-04,1227.23,,,,1245.87,,,18.64,0.015189
31,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-03-05,1245.87,,,,1275.61,,,29.74,0.023871
32,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-03-06,1275.61,,,,1288.44,,,12.83,0.010058
33,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-03-07,1288.44,,,,1328.39,,,39.95,0.031006
34,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-03-08,1328.39,,,,1351.85,,,23.46,0.01766
35,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-03-11,1351.85,,,,1377.04,,,25.19,0.018634
36,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-03-12,1377.04,,,,1362.4,,,-14.64,-0.010631
37,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-03-13,1362.4,,,,1343.14,,,-19.26,-0.014137
38,000300.ZICN,000300,中证指数有限公司,沪深300,XSHG,2002-03-14,1343.14,,,,1376.33,,,33.19,0.024711
