,indexID,ticker,porgFullName,secShortName,exchangeCD,tradeDate,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,turnoverValue,CHG,CHGPct
0,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2005-01-04,1000.0,996.682,984.795,996.682,986.927,232376203,1329187122.0,-13.073,-0.013073
1,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2005-01-05,986.927,986.57,985.677,1008.855,1003.633,348610113,1919861791.0,16.706,0.016927
2,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2005-01-06,1003.633,1003.49,990.792,1003.49,994.595,293390559,1629216031.0,-9.038,-0.009005
3,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2005-01-07,994.595,993.434,990.446,1009.0,997.606,339162698,1906530712.0,3.011,0.003027
4,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2005-01-10,997.606,996.928,993.123,1006.457,1006.337,294940533,1650218869.0,8.731,0.008752
5,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2005-01-11,1006.337,1006.211,999.86,1009.501,1008.343,313611521,1778497883.0,2.006,0.001993
6,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2005-01-12,1008.343,1008.01,998.361,1008.743,1008.62,319639380,1825638693.0,0.277,0.000275
7,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2005-01-13,1008.62,1008.098,1005.348,1014.841,1013.07,471573361,2716827481.0,4.45,0.004412
8,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2005-01-14,1013.07,1012.699,999.266,1019.48,1000.169,401693734,2284638759.0,-12.901,-0.012735
9,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2005-01-17,1000.169,990.987,974.333,991.022,977.522,435860320,2418653726.0,-22.647,-0.022643
10,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2005-01-18,977.522,977.603,974.149,991.839,991.419,451613258,2523669419.0,13.897,0.014217
11,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2005-01-19,991.419,991.291,981.227,991.291,986.241,425524931,2304569213.0,-5.178,-0.005223
12,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2005-01-20,986.241,983.198,966.887,983.198,972.463,465204848,2588992483.0,-13.778,-0.01397
13,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2005-01-21,972.463,971.501,951.427,989.718,988.519,618525583,3412342279.0,16.056,0.016511
14,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2005-01-24,988.519,1009.947,998.37,1009.947,1008.175,732335514,4105828975.0,19.656,0.019884
15,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2005-01-25,1008.175,1006.0,989.946,1006.0,999.553,469480344,2651186737.0,-8.622,-0.008552
16,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2005-01-26,999.553,997.638,985.669,997.638,987.955,411390082,2238628613.0,-11.598,-0.011603
17,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2005-01-27,987.955,986.146,970.354,986.146,971.373,412321375,2214822674.0,-16.582,-0.016784
18,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2005-01-28,971.373,971.373,949.112,971.941,952.413,407237328,2106037353.0,-18.96,-0.019519
19,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2005-01-31,952.413,948.439,921.58,948.439,922.653,409509905,2058937471.0,-29.76,-0.031247
20,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2005-02-01,922.653,919.8,911.933,929.688,913.331,419974568,2076599356.0,-9.322,-0.010103
21,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2005-02-02,913.331,913.025,913.025,964.423,964.243,655356622,3522826077.0,50.912,0.055743
22,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2005-02-03,964.243,963.746,944.764,967.936,945.312,637130084,3476526549.0,-18.931,-0.019633
23,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2005-02-04,945.312,944.447,943.472,963.81,962.028,519301391,2874284614.0,16.716,0.017683
24,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2005-02-16,962.028,967.432,965.939,979.304,972.337,469332268,2555290412.0,10.309,0.010716
25,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2005-02-17,972.337,971.838,964.324,977.44,977.272,403195849,2081885379.0,4.935,0.005075
26,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2005-02-18,977.272,977.12,964.554,977.12,964.769,411281145,2134898913.0,-12.503,-0.012794
27,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2005-02-21,964.769,965.001,964.471,981.887,981.819,476520314,2568576863.0,17.05,0.017673
28,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2005-02-22,981.819,982.418,980.505,1008.671,1007.688,957578905,5328306279.0,25.869,0.026348
29,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2005-02-23,1007.688,1008.293,1002.801,1023.33,1019.258,1020182334,5822771921.0,11.57,0.011482
30,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2005-02-24,1019.258,1018.292,1012.445,1024.873,1024.446,868323283,4874675166.0,5.188,0.00509
31,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2005-02-25,1024.446,1024.569,1023.744,1035.474,1024.118,965076125,5608389732.0,-0.328,-0.00032
32,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2005-02-28,1024.118,1023.191,1014.941,1026.037,1020.847,702805156,4174609104.0,-3.271,-0.003194
33,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2005-03-01,1020.847,1020.595,1011.561,1023.96,1021.162,667563690,3803211754.0,0.315,0.000309
34,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2005-03-02,1021.162,1021.357,1005.335,1028.329,1006.148,745797116,4197819828.0,-15.014,-0.014703
