tradeDate,rocp,orocp,lrocp,hrocp,ma,macp,dif,dea,macd,difrocp,dearocp,macdrocp,rsi,rsirocp,vrocp,up,mid,low,vmarocp,vmacp,rocpvrocp,sigma,code,chgPct,nextPct,preClosePrice,closePrice,nextPrice
2008-01-09,,,,,,,,,,,,,,,,,,,,,,,AU,0.06338400000000001,-0.0428,,223.3,215.12
2008-01-10,-0.03663233318405735,-0.036588006061918116,-0.03686677483324323,-0.035239620762803646,,,,,,,,,,,-0.14771081670078873,,,,,,0.005410991852272515,,AU,-0.0428,0.0019,223.3,215.12,218.1
2008-01-11,0.01385273335812565,-0.020224719101123594,0.00842302292934025,-0.016244110388153488,,,,,,,,,,,-0.029156129036526816,,,,,,-0.00040389208129811086,,AU,0.0019,0.0106,215.12,218.1,220.1
2008-01-14,0.009170105456212746,0.003899082568807313,0.009744779582366563,0.00465264790402778,,,,,,,,,,,-0.28086141851602997,,,,,,-0.002575528826373498,,AU,0.0106,0.0206,218.1,220.1,223.8
2008-01-15,0.016810540663334924,0.008453278501256543,0.012408088235294197,0.019750283768444923,220.084,-0.01660411081322613,,,,,,,,,0.4244509560472006,,,,,-0.034962942816345925,0.00713525005622285,,AU,0.0206,-0.032360700000000006,220.1,223.8,215.89
2008-01-16,-0.03534405719392326,-0.0004531037607611886,-0.022242396731729484,-0.017809439002671415,218.602,0.012561952846357022,,,,,,,,,0.06924384830981946,226.7273238828044,219.385,212.04267611719558,-0.02114217537530777,-0.11663169496195508,-0.0024473585349896053,,AU,-0.032360700000000006,-0.00478139,223.8,215.89,216.47
2008-01-17,0.0026865533373477816,-0.029782411604714384,-0.008820798514391855,-0.017225747960108718,218.872,0.011096225804961496,,,,,,,,,-0.330745956575689,224.7448099912377,218.24666666666667,211.74852334209564,-0.06243551784865942,0.2612891772376618,-0.0008885666534527017,,AU,-0.00478139,-0.0037,215.89,216.47,214.7
2008-01-18,-0.008176652653947477,-0.0001401672662710888,-0.0050585480093677405,-0.008763837638376409,218.19200000000006,0.01626455519329332,,,,,,,,,-0.063759043965662,224.84334399999148,218.17666666666665,211.50998933334182,-0.07015047599549588,0.25279453849601774,0.000521335556054984,,AU,-0.0037,0.0022,216.47,214.7,214.2
2008-01-21,-0.002328830926874709,0.0032710280373831244,0.0064965634121082,0.006654257794322972,217.01200000000009,0.01312791783380064,,,,,,,,,-0.24488942087495114,224.94711049885535,217.52666666666667,210.106222834478,-0.047519182711890685,0.5908159043897954,0.0005703060569980232,,AU,0.0022,-0.0407993,214.7,214.2,206.42
2008-01-22,-0.036321195144724566,-0.031206334420121048,-0.04246959775491119,-0.03157213516387007,213.53600000000012,0.0344734037399483,,,,,,,,,0.6777327853929865,226.35969805628613,215.2466666666667,204.13363527704726,-0.02805693448373507,-0.14335048133245054,-0.0246160647542364,,AU,-0.0407993,0.0237,214.2,206.42,212.51
2008-01-23,0.02950295514000583,0.019230769230769232,0.030187573270808944,0.022673031026252982,212.86000000000013,0.001646981318526829,,,,,,,,,-0.21979042662165796,220.7112997488532,213.36500000000004,206.01870025114687,-0.09921753296945043,-0.00636846592772351,-0.006484467096821518,,AU,0.0237,0.0193,206.42,212.51,216.7
2008-01-24,0.019716719213213486,0.004811320754717029,0.008108108108108145,0.01320886814469084,212.90600000000012,-0.01750807568066391,-4.914136070858831,,,,,,,,-0.04957566319380745,221.09459808021475,213.50000000000009,205.90540191978542,-0.013201407270014984,0.031703529898899255,-0.000977469431001144,,AU,0.0193,0.0251,212.51,216.7,219.8
2008-01-25,0.014305491462851974,0.03323631583888829,0.026856685950801838,0.01990049751243778,213.9260000000001,-0.026724294813466377,-4.27939588946964,,,-0.1291661794131514,,,47.16298100158578,,0.24776150450919052,223.04914698567916,214.05500000000006,205.06085301432097,0.048889959130161385,-0.13632958801498132,0.003544350087579586,,AU,0.0251,0.00236568,216.7,219.8,220.33
2008-01-28,0.002411282984531397,-0.002271694684234439,0.004030780505679715,0.0025745257452574216,215.1520000000001,-0.02350111196841062,-5.072512340961055,,,0.18533374148511134,,,56.89451900549109,0.2063384840660964,-0.1356456889447682,225.37774986324334,214.99333333333337,204.6089168034234,0.061227743482475526,0.06141727261130255,-0.0003270801416775582,,AU,0.00236568,0.0085,219.8,220.33,222.56
2008-01-29,0.010121181863568238,0.018214936247723135,0.015328467153284734,0.010496913997387091,218.38000000000005,-0.01878145219266692,-0.89967138021305,,,-0.8226379119971554,,,56.03387621210458,-0.015126989531336876,-0.2356824825292311,228.37906203484343,216.38666666666668,204.39427129848994,-0.09278344320319223,0.2672626542432636,-0.002385385267735592,,AU,0.0085,-0.0146,220.33,222.56,220.1
2008-01-30,-0.011053199137311322,-0.011627906976744162,-0.011457584471603215,-0.010031208203299152,219.89800000000005,-0.0009177646524304469,2.1547399414372137,,,-3.3950299952044185,,,50.61733397501314,-0.09666549243511635,-0.23525764082948317,225.7679867317437,218.66666666666666,211.56534660158962,-0.08199696626459735,0.530113165884626,0.00260034955266234,,AU,-0.0146,-0.0077,222.56,220.1,219.35
2008-01-31,-0.0034075420263516582,-0.004524886877828055,-0.00813599381846276,-0.004548525106957979,220.42800000000003,0.004914520173239258,4.9079365004865565,-3.1014079886251285,8.009344489111685,1.277739603793188,,,44.90029204423628,-0.1129463265212473,0.18478461296637225,223.58033685186638,219.80666666666664,216.0329964814669,-0.05397214806263078,0.2195711827356867,-0.000629661334506039,,AU,-0.0077,-0.0033,220.1,219.35,218.75
