tradeDate,rocp,orocp,lrocp,hrocp,ma,macp,dif,dea,macd,difrocp,dearocp,macdrocp,rsi,rsirocp,vrocp,up,mid,low,vmarocp,vmacp,rocpvrocp,sigma,code,chgPct,nextPct,preClosePrice,closePrice,nextPrice
2018-08-17,,,,,,,,,,,,,,,,,,,,,,,TS,-0.00201288,0.00075651,99.36,99.16,99.215
2018-08-20,0.0005546591367487578,-0.003018108651911583,0.00025233409033551825,-0.0014586791408882453,,,,,,,,,,,-0.6637310523436196,,,,,,-0.00036814449252625664,,TS,0.00075651,-0.00025199,99.16,99.215,99.185
2018-08-21,-0.0003023736330192122,0.0008577194752775779,0.00020181634712422033,-0.00025186379206131054,,,,,,,,,,,-0.2748971060341048,,,,,,8.312163665799986e-05,,TS,-0.00025199,5.041e-05,99.215,99.185,99.2
2018-08-22,0.00015123254524374217,0.0005041084841457595,0.0007062146892654679,0.0005542399355066945,,,,,,,,,,,-0.08493334466522205,,,,,,-1.2844685889785541e-05,,TS,5.041e-05,0.00080649,99.185,99.2,99.275
2018-08-23,0.0007560483870968028,0.00045346903814180186,0.0003528581510232543,-0.00010071507704708545,99.207,-0.0006849660035256817,,,,,,,,,-0.32003529021261234,,,,,2.3716727716727717,-0.00024196216497930276,,TS,0.00080649,0.00065494,99.2,99.275,99.31
2018-08-24,0.00035255603122635697,0.00025181305398877605,0.0006550768455531563,0.0010072522159548178,99.23700000000001,-0.000735071996777699,,,,,,,,,-0.40901062148097284,99.33825727393419,99.22416666666668,99.11007605939916,-0.5862968059679873,1.4620689655172416,-0.00014419916143875754,,TS,0.00065494,-0.00055374,99.275,99.31,99.27
2018-08-27,-0.0004027791763166474,-0.00035244952419325105,-0.0008560781548998686,-0.0008049909438518645,99.248,-0.00022161781001300856,,,,,,,,,0.41962320956203897,99.34144442884772,99.2425,99.14355557115229,-0.20903361344537819,0.3466467958271237,-0.00016901549071074597,,TS,-0.00055374,0.0,99.31,99.27,99.275
2018-08-28,5.036768409398271e-05,-0.0005540445250326645,-0.00020160274179724833,0.00015105740181269454,99.26599999999999,-9.065726517264721e-05,,,,,,,,,-0.14356580566258104,99.35022410142848,99.2525,99.15477589857151,-0.1693227091633466,0.3076655052264809,-7.231077146310996e-06,,TS,0.0,0.0002115,99.27,99.275,99.31
2018-08-29,0.00035255603122635697,0.0005543516605351268,0.0004032867873165503,5.03448623067558e-05,99.288,-0.00022152854697417754,,,,,,,,,-0.5651494400067594,99.35374892054548,99.27333333333335,99.19291774612122,-0.27045030642152945,1.6076190476190477,-0.0001992468436185812,,TS,0.0002115,0.00055382,99.275,99.31,99.365
2018-08-30,0.0005538213674352292,0.0006547798932204868,0.0007558578987150702,0.0011578735400725845,99.306,-0.0005937704423086349,,,,,,,,,0.9943122922759596,99.37333620683964,99.30083333333334,99.22833045982705,-0.10445580715850994,-0.07992495309568484,0.0005506713933659292,,TS,0.00055382,0.00030198,99.31,99.365,99.375
2018-08-31,0.00010063905801846844,0.00025167362963714386,0.00015105740181269454,-0.00035198873636040214,99.31899999999999,-0.0005635220125787331,,,,,,,,,-0.504066760050978,99.40576097665452,99.31750000000001,99.2292390233455,-0.09176182707993476,0.8635983263598326,-5.0728803909951784e-05,,TS,0.00030198,-0.0005534,99.365,99.375,99.33
2018-09-03,-0.00045283018867926247,-0.0001006441223833043,-5.03448623067558e-05,-0.0003521126760564467,99.33099999999999,1.0067451927822048e-05,0.07639824556805763,,,,,,,,-0.5013964991900254,99.40924524806591,99.32083333333337,99.23242141860082,-0.2528064660978895,2.0814814814814815,0.00022704747133134087,,TS,-0.0005534,-0.00035241,99.375,99.33,99.28
2018-09-04,-0.0005033725963958237,-0.00035228988424757516,-0.00045312657335617464,-0.0005031952900920562,99.332,0.0005237711522964594,0.079044299947995,,,0.03463501498316726,,,63.351661932065205,,-0.16514867741462683,99.40658329203839,99.32250000000003,99.23841670796168,-0.29086538461538464,1.6222222222222222,8.313131854153702e-05,,TS,-0.00035241,0.0,99.33,99.28,99.275
2018-09-05,-5.036261079769795e-05,-0.00025172431153392213,0.00010074044225059301,0.0,99.32499999999999,0.0005036514731803873,0.0797982468980507,,,0.00953828360238176,,,57.51442070245286,-0.09214030147893955,0.2080561367910258,99.40658329203839,99.32250000000003,99.23841670796168,-0.085593220338983,0.9798165137614679,-1.0478250241279038e-05,,TS,0.0,-0.00010073,99.28,99.275,99.27
2018-09-06,-5.0365147318153244e-05,0.0,-0.00010073029463616333,-0.0001006897246135116,99.306,0.00036264732547598835,0.04563653496616382,,,-0.42810103304063163,,,61.35196042536225,0.06672308746292785,0.7168781478387529,99.41036727785423,99.31583333333337,99.22129938881251,-0.3049119555143652,-0.2647058823529412,-3.610567352506363e-05,,TS,-0.00010073,-0.00025181,99.275,99.27,99.255
2018-09-07,-0.00015110305228166184,-0.0003021452311411133,-0.00020148088450104289,-0.00025174966013801603,99.282,0.0002720265981562745,-0.0035145567941299305,,,-1.0770119115470909,,,57.34981454766546,-0.06523256714128316,0.6528466311007742,99.38887833441255,99.29750000000003,99.2061216655875,0.16133333333333325,-0.5161111111111112,-9.864711863112709e-05,,TS,-0.00025181,-0.00015111,99.27,99.255,99.25
