indexMethod,dealDate,symbol,weight
as51-ETE,2011-06-30,QBE,0.0129735481586496
as51-ETE,2011-06-30,GMG,0.0128826551745557
as51-ETE,2011-06-30,BSL,0.0114663397656444
as51-ETE,2011-06-30,JBH,0.0113296961751632
as51-ETE,2011-06-30,FMG,0.0110531927663432
as51-ETE,2011-06-30,IPL,0.010806928271101
as51-ETE,2011-06-30,IFL,0.0102752596307838
as51-ETE,2011-06-30,HLS,0.00945862773498367
as51-ETE,2011-06-30,AWC,0.00761164867417515
as51-ETE,2011-06-30,ILU,0.00739010391146866
as51-ETE,2011-06-30,SFR,0.00590235264271249
as51-ETE,2011-06-30,LYC,0.00479095282045103
as51-ETE,2011-09-30,BHP,0.149939822753579
as51-ETE,2011-09-30,WBC,0.0787879036952777
as51-ETE,2011-09-30,CBA,0.0765565843682537
as51-ETE,2011-09-30,ANZ,0.0631299301474764
as51-ETE,2011-09-30,NCM,0.0439105095557514
as51-ETE,2011-09-30,RIO,0.0423205031090227
as51-ETE,2011-09-30,WES,0.0420206842951334
as51-ETE,2011-09-30,WOW,0.0407893122447548
as51-ETE,2011-09-30,NAB,0.0399602464742009
as51-ETE,2011-09-30,TLS,0.0335454250603877
as51-ETE,2011-09-30,WPL,0.0320792973657707
as51-ETE,2011-09-30,CSL,0.0289308579323649
as51-ETE,2011-09-30,QBE,0.0252372863761474
as51-ETE,2011-09-30,SUN,0.0248977022721764
as51-ETE,2011-09-30,AMC,0.0233542140851289
as51-ETE,2011-09-30,STO,0.021934854788194
as51-ETE,2011-09-30,ASX,0.0194722115338186
as51-ETE,2011-09-30,IPL,0.018362102018379
as51-ETE,2011-09-30,BXB,0.0169301975512877
as51-ETE,2011-09-30,SEK,0.0161181080309946
as51-ETE,2011-09-30,SGP,0.0138342079002725
as51-ETE,2011-09-30,OSH,0.0135321351290932
as51-ETE,2011-09-30,AGL,0.0134926562029376
as51-ETE,2011-09-30,CQR,0.012958379919096
as51-ETE,2011-09-30,QAN,0.0128480951750004
as51-ETE,2011-09-30,HLS,0.0117367678148267
as51-ETE,2011-09-30,MIN,0.0116807830479338
as51-ETE,2011-09-30,MQG,0.011537146416678
as51-ETE,2011-09-30,CPU,0.0107796506874505
as51-ETE,2011-09-30,ILU,0.010489500527627
as51-ETE,2011-09-30,FMG,0.0104730525556129
as51-ETE,2011-09-30,IRE,0.0103035581753528
as51-ETE,2011-09-30,GMG,0.0101982047842576
as51-ETE,2011-09-30,CSR,0.007858108005761
as51-ETE,2011-12-30,BHP,0.132979943643448
as51-ETE,2011-12-30,WBC,0.0735222127895918
as51-ETE,2011-12-30,CBA,0.066757361595521
as51-ETE,2011-12-30,ANZ,0.0647518086116141
as51-ETE,2011-12-30,NAB,0.0516675540827336
as51-ETE,2011-12-30,WOW,0.0459958648358636
as51-ETE,2011-12-30,RIO,0.0457169154437
as51-ETE,2011-12-30,TLS,0.0408988614045168
as51-ETE,2011-12-30,WES,0.0354958411981188
as51-ETE,2011-12-30,WPL,0.0299581603665752
as51-ETE,2011-12-30,NCM,0.0277698407791182
as51-ETE,2011-12-30,CSL,0.0264620730153541
as51-ETE,2011-12-30,AMP,0.0256220574549039
as51-ETE,2011-12-30,MTS,0.0229741182087047
as51-ETE,2011-12-30,SGP,0.0224581875006943
as51-ETE,2011-12-30,CWN,0.021836191968032
as51-ETE,2011-12-30,QBE,0.0198818611047342
as51-ETE,2011-12-30,STO,0.0192569401766318
as51-ETE,2011-12-30,QAN,0.0174777686159813
as51-ETE,2011-12-30,IPL,0.0174435249840446
as51-ETE,2011-12-30,GPT,0.0168335700846992
as51-ETE,2011-12-30,ASX,0.0166171600222237
as51-ETE,2011-12-30,SEK,0.0163265150574679
as51-ETE,2011-12-30,WOR,0.0156282075551513
as51-ETE,2011-12-30,CGF,0.0154869446062686
as51-ETE,2011-12-30,BXB,0.0145950474505898
as51-ETE,2011-12-30,SUN,0.0145809715226889
as51-ETE,2011-12-30,OZL,0.0138985549689954
as51-ETE,2011-12-30,PPT,0.0123075918485696
as51-ETE,2011-12-30,ABP,0.0119500882786216
as51-ETE,2011-12-30,AWC,0.010864092956763
as51-ETE,2011-12-30,RSG,0.0100334480769211
as51-ETE,2011-12-30,CTD,0.00784807581497654
as51-ETE,2011-12-30,IFL,0.00750396942018259
as51-ETE,2011-12-30,CPU,0.00659867455599919
as51-ETE,2012-03-30,BHP,0.152702662651327
as51-ETE,2012-03-30,CBA,0.0786321702342251
as51-ETE,2012-03-30,WBC,0.0734745553672761
as51-ETE,2012-03-30,ANZ,0.0721598392512566
as51-ETE,2012-03-30,NAB,0.0469663481610504
as51-ETE,2012-03-30,TLS,0.0432973537210774
as51-ETE,2012-03-30,WES,0.03847831635602
as51-ETE,2012-03-30,WOW,0.0355157345252186
as51-ETE,2012-03-30,RIO,0.0353236316500788
as51-ETE,2012-03-30,WPL,0.0313430415218836
as51-ETE,2012-03-30,AMP,0.0288645837700699
as51-ETE,2012-03-30,MTS,0.0268760313371865
as51-ETE,2012-03-30,CSL,0.0262364151637322
as51-ETE,2012-03-30,NCM,0.0256535554261122
as51-ETE,2012-03-30,ORG,0.0238542985183435
as51-ETE,2012-03-30,BXB,0.0190258313611961
as51-ETE,2012-03-30,CWN,0.0190149293732927
as51-ETE,2012-03-30,SGP,0.0178144943252361
as51-ETE,2012-03-30,CSR,0.0176153519301027
as51-ETE,2012-03-30,SGR,0.0148426732633712
as51-ETE,2012-03-30,WOR,0.0147401248494953
as51-ETE,2012-03-30,RMD,0.0145505348367609
as51-ETE,2012-03-30,CGF,0.0137408837859552
as51-ETE,2012-03-30,STO,0.0127119158418892
as51-ETE,2012-03-30,QBE,0.0126133443507492
as51-ETE,2012-03-30,IPL,0.0114197014573474
as51-ETE,2012-03-30,QAN,0.0113872090125608
as51-ETE,2012-03-30,SGM,0.0111755925113706
as51-ETE,2012-03-30,MQG,0.0110647747269192
as51-ETE,2012-03-30,AMC,0.0110075221758232
as51-ETE,2012-03-30,AZJ,0.00995264765778996
as51-ETE,2012-03-30,GMG,0.0097134308335641
as51-ETE,2012-03-30,CPU,0.00902630928967728
as51-ETE,2012-03-30,FMG,0.00730944479851727
as51-ETE,2012-03-30,LYC,0.00470923148725806
as51-ETE,2012-03-30,WGX,0.00373686234129198
as51-ETE,2012-03-30,GOR,0.00344865213497288
as51-ETE,2012-06-29,BHP,0.138074982555986
as51-ETE,2012-06-29,CBA,0.0874954704226165
as51-ETE,2012-06-29,WBC,0.0660480574573203
