indexMethod,dealDate,symbol,weight
SP500-ETE,2011-02-28,RTN,0.0202242351968598
SP500-ETE,2011-02-28,GS,0.0194365496428846
SP500-ETE,2011-02-28,CSX,0.0193907210446118
SP500-ETE,2011-02-28,WFC,0.0193439131031393
SP500-ETE,2011-02-28,PM,0.0192513833519589
SP500-ETE,2011-02-28,PFE,0.0191623526232474
SP500-ETE,2011-02-28,NKE,0.0190528564980976
SP500-ETE,2011-02-28,BAC,0.0186278922290533
SP500-ETE,2011-02-28,DVN,0.018585822502888
SP500-ETE,2011-02-28,PLD,0.0173560935393354
SP500-ETE,2011-02-28,IBM,0.0173129714091793
SP500-ETE,2011-02-28,ADI,0.0168969649688961
SP500-ETE,2011-02-28,HBAN,0.0163272873422369
SP500-ETE,2011-02-28,INTC,0.0161093415286609
SP500-ETE,2011-02-28,BBBY,0.0145318881098737
SP500-ETE,2011-02-28,NOV,0.014497362044607
SP500-ETE,2011-02-28,MO,0.014255343572213
SP500-ETE,2011-02-28,VMC,0.0138763928061278
SP500-ETE,2011-02-28,FAST,0.0136308919424002
SP500-ETE,2011-02-28,CSCO,0.0133429051834004
SP500-ETE,2011-02-28,DOW,0.0130754466081705
SP500-ETE,2011-03-31,UTX,0.0511682547960363
SP500-ETE,2011-03-31,XOM,0.0455387720083097
SP500-ETE,2011-03-31,MRK,0.0409736844289283
SP500-ETE,2011-03-31,T,0.0393139050977035
SP500-ETE,2011-03-31,JCI,0.0385943117299355
SP500-ETE,2011-03-31,CL,0.0370265890419403
SP500-ETE,2011-03-31,GOOGL,0.0356063707701506
SP500-ETE,2011-03-31,JNJ,0.0340933601582817
SP500-ETE,2011-03-31,WELL,0.0326209700254071
SP500-ETE,2011-03-31,SLB,0.0287856747572896
SP500-ETE,2011-03-31,WFC,0.0284911568252845
SP500-ETE,2011-03-31,MSFT,0.0274505268910044
SP500-ETE,2011-03-31,PM,0.027388724697622
SP500-ETE,2011-03-31,KO,0.0272796862106083
SP500-ETE,2011-03-31,AAPL,0.0271709644113721
SP500-ETE,2011-03-31,GE,0.0260904610701245
SP500-ETE,2011-03-31,BAC,0.0257342712106531
SP500-ETE,2011-03-31,CVX,0.0254646113577403
SP500-ETE,2011-03-31,CAH,0.0238577110616009
SP500-ETE,2011-03-31,MDLZ,0.0228230211502227
SP500-ETE,2011-03-31,AVP,0.0226496468396936
SP500-ETE,2011-03-31,HRS,0.0210572722100275
SP500-ETE,2011-03-31,NKE,0.0204980490711833
SP500-ETE,2011-03-31,HD,0.0203665646473842
SP500-ETE,2011-03-31,KSS,0.020126516056123
SP500-ETE,2011-03-31,SPG,0.0201090161094604
SP500-ETE,2011-03-31,PX,0.0197191636333386
SP500-ETE,2011-03-31,JPM,0.0194477844720793
SP500-ETE,2011-03-31,AMAT,0.0194016002029119
SP500-ETE,2011-03-31,IBM,0.0183533535835266
SP500-ETE,2011-03-31,F,0.0181084052881997
SP500-ETE,2011-03-31,OXY,0.0180646525989296
SP500-ETE,2011-03-31,ROK,0.0172100333216353
SP500-ETE,2011-03-31,MON,0.0155397405534863
SP500-ETE,2011-03-31,NOC,0.0151513450458872
SP500-ETE,2011-03-31,BEN,0.0149246800743314
SP500-ETE,2011-03-31,CSCO,0.0138646544330793
SP500-ETE,2011-03-31,GILD,0.0135422671321412
SP500-ETE,2011-03-31,VLO,0.013250190385833
SP500-ETE,2011-03-31,FAST,0.0131420366405332
SP500-ETE,2011-04-29,PG,0.0398686845886484
SP500-ETE,2011-04-29,UTX,0.0374041096396871
SP500-ETE,2011-04-29,BRK.B,0.035252448163914
SP500-ETE,2011-04-29,T,0.0352232693988873
SP500-ETE,2011-04-29,CSX,0.0340489803900623
SP500-ETE,2011-04-29,JNJ,0.0335533133566104
SP500-ETE,2011-04-29,AMZN,0.0326011411089157
SP500-ETE,2011-04-29,MCD,0.0311948260859456
SP500-ETE,2011-04-29,BAC,0.0306235607712807
SP500-ETE,2011-04-29,WFC,0.0297547075636412
SP500-ETE,2011-04-29,NOV,0.0288001212882211
SP500-ETE,2011-04-29,ORCL,0.0284979267778928
SP500-ETE,2011-04-29,COP,0.0273926015777635
SP500-ETE,2011-04-29,SIAL,0.026986988625497
SP500-ETE,2011-04-29,D,0.0254405890133128
SP500-ETE,2011-04-29,PEP,0.0242550113015202
SP500-ETE,2011-04-29,IBM,0.0242526665257078
SP500-ETE,2011-04-29,DD,0.0241378924280283
SP500-ETE,2011-04-29,CME,0.0241320773498395
SP500-ETE,2011-04-29,CVX,0.0237296380074643
SP500-ETE,2011-04-29,DIS,0.0228174211024529
SP500-ETE,2011-04-29,AAPL,0.0225135225478202
SP500-ETE,2011-04-29,MSFT,0.0219909696732895
SP500-ETE,2011-04-29,HNZ,0.0219206131952429
SP500-ETE,2011-04-29,PFE,0.0216433660244269
SP500-ETE,2011-04-29,INTC,0.021571107087278
SP500-ETE,2011-04-29,HRS,0.0215161091367747
SP500-ETE,2011-04-29,WMT,0.0213064985783662
SP500-ETE,2011-04-29,GS,0.0212000851566652
SP500-ETE,2011-04-29,OXY,0.0211961387108408
SP500-ETE,2011-04-29,BEN,0.0207916197999276
SP500-ETE,2011-04-29,APA,0.020247304032725
SP500-ETE,2011-04-29,C,0.0196570781372231
SP500-ETE,2011-04-29,MMM,0.0191620021096793
SP500-ETE,2011-04-29,ECL,0.0187482277319887
