,Time,Trade_Profit,Cost,N_Trade,PnL
0,2018-05-29 16:13:00,0.0,0.0,0,0.0
1,2018-05-29 16:14:00,0.0,0.0,0,0.0
2,2018-05-29 16:15:00,0.0,0.0,0,0.0
3,2018-05-29 16:16:00,0.0,0.0,0,0.0
4,2018-05-29 16:17:00,0.0,0.0,0,0.0
5,2018-05-29 16:18:00,0.0,0.0,0,0.0
6,2018-05-29 16:19:00,0.0,0.0,0,0.0
7,2018-05-29 16:20:00,0.0,0.0,0,0.0
8,2018-05-29 16:21:00,0.0,0.0,0,0.0
9,2018-05-29 16:22:00,0.0,0.0,0,0.0
10,2018-05-29 16:23:00,0.0,0.0,0,0.0
11,2018-05-29 16:24:00,0.0,0.0,0,0.0
12,2018-05-29 16:25:00,0.0,0.0,0,0.0
13,2018-05-29 16:26:00,0.0,0.0,0,0.0
14,2018-05-29 16:27:00,0.0,0.0,0,0.0
15,2018-05-29 16:28:00,0.0,0.0,0,0.0
16,2018-05-29 16:29:00,0.0,0.0,0,0.0
17,2018-05-29 16:30:00,0.0,0.0,0,0.0
18,2018-05-29 16:31:00,0.0,0.0,0,0.0
19,2018-05-29 16:32:00,0.0,0.0,0,0.0
20,2018-05-29 16:33:00,0.0,0.0,0,0.0
21,2018-05-29 16:34:00,0.0,0.0,0,0.0
22,2018-05-29 16:35:00,0.0,0.0,0,0.0
23,2018-05-29 16:36:00,0.0,0.0,0,0.0
24,2018-05-29 16:37:00,0.0,0.0,0,0.0
25,2018-05-29 16:38:00,0.0,0.0,0,0.0
26,2018-05-29 16:39:00,0.0,0.0,0,0.0
27,2018-05-29 16:40:00,0.0,0.0,0,0.0
28,2018-05-29 16:41:00,0.0,0.0,0,0.0
29,2018-05-29 16:42:00,0.0,0.0,0,0.0
30,2018-05-29 16:43:00,0.0,0.0,0,0.0
31,2018-05-29 16:44:00,0.0,0.0,0,0.0
32,2018-05-29 16:45:00,0.0,0.0,0,0.0
33,2018-05-29 16:46:00,0.0,0.0,0,0.0
34,2018-05-29 16:47:00,0.0,0.0,0,0.0
35,2018-05-29 16:48:00,0.0,0.0,0,0.0
36,2018-05-29 16:49:00,0.0,0.0,0,0.0
37,2018-05-29 16:50:00,0.0,0.0,0,0.0
38,2018-05-29 16:51:00,0.0,0.0,0,0.0
39,2018-05-29 16:52:00,0.0,0.0,0,0.0
40,2018-05-29 16:53:00,0.0,0.0,0,0.0
41,2018-05-29 16:54:00,0.0,0.0,0,0.0
42,2018-05-29 16:55:00,0.0,0.0,0,0.0
43,2018-05-29 16:56:00,0.0,0.0,0,0.0
44,2018-05-29 16:57:00,0.0,0.0,0,0.0
45,2018-05-29 16:58:00,0.0,0.0,0,0.0
46,2018-05-29 16:59:00,0.0,0.0,0,0.0
47,2018-05-29 17:00:00,0.0,0.0,0,0.0
48,2018-05-29 17:01:00,0.0,0.0,0,0.0
49,2018-05-29 17:02:00,0.0,0.0,0,0.0
50,2018-05-29 17:03:00,0.0,0.0,0,0.0
51,2018-05-29 17:04:00,0.0,0.0,0,0.0
52,2018-05-29 17:05:00,0.0,0.0,0,0.0
53,2018-05-29 17:06:00,0.0,0.0,0,0.0
54,2018-05-29 17:07:00,0.0,0.0,0,0.0
55,2018-05-29 17:08:00,0.0,0.0,0,0.0
56,2018-05-29 17:09:00,0.0,0.0,0,0.0
57,2018-05-29 17:10:00,0.0,0.0,0,0.0
58,2018-05-29 17:11:00,0.0,0.0,0,0.0
59,2018-05-29 17:12:00,0.0,0.0,0,0.0
60,2018-05-29 17:13:00,0.0,0.0,0,0.0
61,2018-05-29 17:14:00,0.0,0.0,0,0.0
62,2018-05-29 17:15:00,0.0,0.0,0,0.0
63,2018-05-29 17:16:00,0.0,0.0,0,0.0
64,2018-05-29 17:17:00,0.0,0.0,0,0.0
65,2018-05-29 17:18:00,0.0,0.0,0,0.0
66,2018-05-29 17:19:00,0.0,0.0,0,0.0
67,2018-05-29 17:20:00,0.0,0.0,0,0.0
68,2018-05-29 17:21:00,0.0,0.0,0,0.0
69,2018-05-29 17:22:00,0.0,0.0,0,0.0
70,2018-05-29 17:23:00,0.0,0.0,0,0.0
71,2018-05-29 17:24:00,0.0,0.0,0,0.0
72,2018-05-29 17:25:00,0.0,0.0,0,0.0
73,2018-05-29 17:26:00,0.0,0.0,0,0.0
74,2018-05-29 17:27:00,0.0,0.0,0,0.0
75,2018-05-29 17:28:00,0.0,0.0,0,0.0
76,2018-05-29 17:29:00,0.0,0.0,0,0.0
77,2018-05-29 17:30:00,0.0,0.0,0,0.0
78,2018-05-29 17:31:00,0.0,0.0,0,0.0
79,2018-05-29 17:32:00,0.0,0.0,0,0.0
80,2018-05-29 17:33:00,0.0,0.0,0,0.0
81,2018-05-29 17:34:00,0.0,0.0,0,0.0
82,2018-05-29 17:35:00,0.0,0.0,0,0.0
83,2018-05-29 17:36:00,0.0,0.0,0,0.0
84,2018-05-29 17:37:00,0.0,0.0,0,0.0
85,2018-05-29 17:38:00,0.0,0.0,0,0.0
86,2018-05-29 17:39:00,0.0,0.0,0,0.0
87,2018-05-29 17:40:00,0.0,0.0,0,0.0
88,2018-05-29 17:41:00,0.0,0.0,0,0.0
89,2018-05-29 17:42:00,0.0,0.0,0,0.0
90,2018-05-29 17:43:00,0.0,0.0,0,0.0
91,2018-05-29 17:44:00,0.0,0.0,0,0.0
92,2018-05-29 17:45:00,0.0,0.0,0,0.0
93,2018-05-29 17:46:00,0.0,0.0,0,0.0
94,2018-05-29 17:47:00,0.0,0.0,0,0.0
95,2018-05-29 17:48:00,0.0,0.0,0,0.0
96,2018-05-29 17:49:00,0.0,0.0,0,0.0
97,2018-05-29 17:50:00,0.0,0.0,0,0.0
98,2018-05-29 17:51:00,0.0,0.0,0,0.0
99,2018-05-29 17:52:00,0.0,0.0,0,0.0
100,2018-05-29 17:53:00,0.0,0.0,0,0.0
101,2018-05-29 17:54:00,0.0,0.0,0,0.0
102,2018-05-29 17:55:00,0.0,0.0,0,0.0
103,2018-05-29 17:56:00,0.0,0.0,0,0.0
104,2018-05-29 17:57:00,0.0,0.0,0,0.0
105,2018-05-29 17:58:00,0.0,0.0,0,0.0
106,2018-05-29 17:59:00,0.0,0.0,0,0.0
107,2018-05-29 18:00:00,0.0,0.0,0,0.0
108,2018-05-29 18:01:00,0.0,0.0,0,0.0
109,2018-05-29 18:02:00,0.0,0.0,0,0.0
110,2018-05-29 18:03:00,0.0,0.0,0,0.0
111,2018-05-29 18:04:00,0.0,0.0,0,0.0
