secID,ticker,exchangeCD,secShortName,secShortNameEN,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,settlePrice,closePrice,turnoverVol,turnoverValue,openInt,chg,chg1,chgPct,mainCon,smainCon
NR2002.XSIE,nr2002,XSIE,20号胶2002,TSR 20 2002,2019-08-12,NR,L0,9260.0,9260.0,9805.0,10175.0,9720.0,9865.0,9820.0,43809.0,4322460000.0,9728.0,560.0,605.0,0.06047519999999999,1.0,0.0
NR2002.XSIE,nr2002,XSIE,20号胶2002,TSR 20 2002,2019-08-13,NR,L0,9865.0,9820.0,9780.0,9980.0,9775.0,9855.0,9855.0,9478.0,934412000.0,8932.0,-10.0,-10.0,-0.00101368,1.0,0.0
NR2002.XSIE,nr2002,XSIE,20号胶2002,TSR 20 2002,2019-08-14,NR,L0,9855.0,9855.0,9840.0,10220.0,9785.0,9965.0,9995.0,18558.0,1849310000.0,11507.0,140.0,110.0,0.014206,1.0,0.0
NR2002.XSIE,nr2002,XSIE,20号胶2002,TSR 20 2002,2019-08-15,NR,L0,9965.0,9995.0,9935.0,9980.0,9850.0,9905.0,9865.0,6098.0,604070000.0,11523.0,-100.0,-60.0,-0.0100351,1.0,0.0
NR2002.XSIE,nr2002,XSIE,20号胶2002,TSR 20 2002,2019-08-16,NR,L0,9905.0,9865.0,9860.0,9940.0,9830.0,9880.0,9875.0,5077.0,501676000.0,11352.0,-30.0,-25.0,-0.00302877,1.0,0.0
NR2002.XSIE,nr2002,XSIE,20号胶2002,TSR 20 2002,2019-08-19,NR,L0,9880.0,9875.0,9885.0,10080.0,9885.0,9995.0,10030.0,6610.0,660978000.0,12748.0,150.0,115.0,0.0151822,1.0,0.0
NR2002.XSIE,nr2002,XSIE,20号胶2002,TSR 20 2002,2019-08-20,NR,L0,9995.0,10030.0,10030.0,10035.0,9945.0,9985.0,9975.0,2545.0,254239000.0,12504.0,-20.0,-10.0,-0.002001,1.0,0.0
NR2002.XSIE,nr2002,XSIE,20号胶2002,TSR 20 2002,2019-08-21,NR,L0,9985.0,9975.0,9960.0,9975.0,9835.0,9875.0,9890.0,4546.0,449066000.0,11878.0,-95.0,-110.0,-0.00951427,1.0,0.0
NR2002.XSIE,nr2002,XSIE,20号胶2002,TSR 20 2002,2019-08-22,NR,L0,9875.0,9890.0,9890.0,9925.0,9815.0,9875.0,9910.0,1828.0,180568000.0,11574.0,35.0,0.0,0.0035443000000000007,1.0,0.0
NR2002.XSIE,nr2002,XSIE,20号胶2002,TSR 20 2002,2019-08-23,NR,L0,9875.0,9910.0,9860.0,9905.0,9780.0,9820.0,9815.0,3156.0,310050000.0,10851.0,-60.0,-55.0,-0.00607595,1.0,0.0
