sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
多空-弹簧策略-上证综指,16.14,-14.24,-11.78,62.94,18.53,12,15,7.60,2.01,360,0.49,11.74,49.40,2.12,54.16
多空-弹簧策略-沪深300,4.80,-13.82,-8.08,23.64,4.36,13,8,4.72,1.02,581,0.30,4.03,13.55,1.02,53.65
多空-弹簧策略-中证500,6.32,-17.30,-14.40,26.34,6.22,14,11,5.38,1.17,420,0.34,5.66,20.42,1.18,53.88
多空-弹簧策略-A股市场,23.45,-20.10,-15.48,119.91,27.74,13,10,8.34,2.57,202,0.53,18.80,77.57,2.81,57.23
多空-动量上涨加减速-上证综指,15.55,-17.31,-11.78,85.26,15.79,11,10,11.45,1.32,192,0.73,9.04,54.03,1.36,52.85
多空-动量上涨加减速-沪深300,9.32,-27.39,-24.54,85.69,8.99,14,11,15.96,0.64,611,1.02,4.48,39.57,0.58,52.02
多空-动量上涨加减速-中证500,7.83,-25.31,-14.73,99.24,9.53,11,9,12.92,0.65,1581,0.83,5.33,27.97,0.61,51.52
多空-动量上涨加减速-A股市场,11.77,-15.04,-11.50,61.37,11.89,15,12,9.23,1.25,231,0.59,7.78,32.57,1.27,53.64
多空-动量下跌加减速-上证综指,6.94,-27.08,-16.55,78.89,8.12,13,12,12.14,0.61,401,0.78,6.10,19.12,0.57,52.40
多空-动量下跌加减速-沪深300,2.36,-43.37,-29.49,54.88,3.54,11,12,15.93,0.23,814,1.02,2.93,25.65,0.15,50.41
多空-动量下跌加减速-中证500,6.18,-33.07,-24.77,42.48,7.86,13,10,14.04,0.50,494,0.90,6.79,28.75,0.44,51.83
多空-动量下跌加减速-A股市场,9.28,-27.66,-12.91,72.25,10.40,14,12,9.58,0.97,545,0.61,5.81,24.46,0.97,54.30
