tradeDate,Index,com_ticker,buyPrice,ma,lo
2020-09-30,TPX,22200,5320.5354991006,5306.5175,5410
2020-09-30,TPX,36320,450.866065815714,467.9,460
2020-09-30,TPX,83630,3112.55657371625,3068.8405,3190
2020-09-30,TPX,34330,1096.41669637921,1074.904,1116
2020-09-30,TPX,74510,2700.11343102986,2767.868,2742
2020-09-30,TPX,86090,346.423936318502,349.3,355
2020-09-30,TPX,78390,3428.91919288206,3383.68,3500
2020-09-30,TPX,78210,2708.11299536625,2622.7635,2744
2020-09-30,TPX,95360,2696.72620884188,2627.3975,2760
2020-09-30,TPX,65080,1613.24480680248,1649.4495,1646
2020-09-30,TPX,16620,1629.05742764371,1749.307,1660
2020-09-30,TPX,66510,2010.99776731538,2013.7075,2058
2020-09-30,TPX,81730,2608.68652034052,2403.4,2670
2020-09-30,TPX,62580,6330.60200523197,6116,6460
2020-09-30,TPX,80680,2867.95598923039,2815.55,2911
2020-09-30,TPX,79810,1427.02755094072,1353.8025,1454
2020-09-30,TPX,75950,3591.17323144207,3528.639,3665
2020-09-30,TPX,83680,328.07537760692,322.38885,334
2020-09-30,TPX,94120,438.546268464463,448.6365,450
2020-09-30,TPX,37080,4845.77960762956,4600.7705,4945
2020-09-30,TPX,26810,1668.18470064078,1693.609,1703
2020-09-30,TPX,44710,4848.18809510375,4926.732,4915
2020-09-30,TPX,33020,2651.00235043012,2670.75,2713
2020-09-30,TPX,36680,857.684946510343,937.1,882
2020-09-30,TPX,49800,1101.32957212785,1103.5665,1121
2020-09-30,TPX,19410,2281.2552895475,2261.7025,2312
2020-09-30,TPX,38440,2577.46019013745,2568.53,2653
2020-09-30,TPX,96810,759.023948053634,796.9,776
2020-09-30,TPX,80980,1323.327689505,1347.9825,1347
2020-09-30,TPX,71980,1766.955172163,1719.5255,1829
2020-09-30,TPX,61830,1725.33134744365,1737.55,1772
2020-09-30,TPX,30020,3993.3244272828,4044.75,4065
2020-09-30,TPX,30970,9742.84572339685,9860.5,9990
2020-09-30,TPX,19260,1587.59869899444,1608.9,1613
2020-09-30,TPX,52730,5870.55449177339,5934.397,6030
2020-09-30,TPX,23790,2020.18647236766,2228.65,2077
2020-09-30,TPX,96030,1750.92610674844,1931.15,1821
2020-09-30,TPX,25900,5190.16003731621,5315.75,5280
2020-09-30,TPX,83970,3181.90422315316,3084.4875,3245
2020-09-30,TPX,46170,983.985980994935,1009.67655,1008
2020-09-30,TPX,45740,2151.2027486832,2397.563,2221
2020-09-30,TPX,88180,1688.87935592249,1620.7065,1714
2020-09-30,TPX,30760,1915.74193762897,1882.2,1954
2020-09-30,TPX,76110,1821.09707047543,1854.35,1858
2020-09-30,TPX,69960,791.712290434813,799.15835,807
2020-09-30,TPX,80790,4319.22171465376,4362.5,4390
2020-09-30,TPX,79150,1280.99265832358,1266.05,1316
2020-09-30,TPX,88480,147.472591213897,172.1,154
2020-09-30,TPX,68750,2713.87119427741,2511.45,2784
2020-09-30,TPX,87710,2279.31044355314,2287.25,2350
2020-09-30,TPX,67070,2418.05280906291,2413.3,2473
2020-09-30,TPX,66520,1902.84079249104,1931.1,1941
2020-09-30,TPX,90390,4987.65676275176,4980.9535,5090
2020-09-30,TPX,43690,11563.1521603375,11157,11890
2020-09-30,TPX,40250,6888.38685775057,6462,7080
2020-09-30,TPX,69140,1610.80903279719,1490.7,1652
2020-09-30,TPX,69290,2619.55943528246,2641.9,2679
2020-09-30,TPX,45530,2092.89297964276,2129.063,2128
2020-09-30,TPX,36730,535.093754586199,528.55,545
2020-09-30,TPX,79940,751.325283792761,747.402,767
2020-09-30,TPX,77340,2857.43818874868,2731.575,2921
2020-09-30,TPX,95430,936.665809675259,900.25,952
2020-09-30,TPX,62350,2086.40862934674,2150,2135
2020-09-30,TPX,51860,2270.15072586631,2295.7135,2324
2020-09-30,TPX,51220,4177.96807558175,4236.093,4260
2020-09-30,TPX,67410,1020.82277823544,1046.9235,1038
2020-09-30,TPX,90680,3548.5991322971,3346.187,3625
2020-09-30,TPX,57410,1739.87270016702,1944.3,1782
2020-09-30,TPX,39020,2025.90125652807,1924.35,2097
2020-09-30,TPX,19610,1154.34992994185,1165.215,1171
2020-09-30,TPX,68040,944.217594356416,956.4013,964
2020-09-30,TPX,66410,1080.57538124912,1118.059,1101
2020-09-30,TPX,86000,341.477236732482,341.21265,349
2020-09-30,TPX,47220,2162.79141144407,2053,2208
2020-09-30,TPX,97150,2794.06189826768,2797.8,2873
2020-09-30,TPX,62220,1632.36614371255,1633.21,1676
2020-09-30,TPX,41870,2669.62013573172,2685.2,2744
2020-09-30,TPX,61010,1189.43686904264,1206.799,1221
